modality,char,family,n_boot,converged_rate,mu_median,mu_lo95,mu_hi95,lambda_median,lambda_lo95,lambda_hi95
audio,あ,,1000,1.0,19.49691,19.09486,19.90191,0.9645,0.91667,1.0
audio,か,,1000,1.0,34.19495,23.22958,40.93016,1.0,0.83541,1.0
audio,が,,1000,0.999,32.35697,-65.0,84.35562,0.0083,0.0,0.10714
audio,し,,1000,1.0,22.55442,14.49444,30.69421,0.27315,0.19202,0.3658
audio,つ,,1000,1.0,8.73012,-22.47747,37.97493,0.68889,0.54944,1.0
audio,ぱ,,1000,1.0,15.11967,14.74047,25.77831,0.43114,0.33914,0.547
audio,ま,,1000,1.0,46.57175,42.31274,49.77209,0.90196,0.83569,0.95834
audio,ら,,1000,1.0,46.5064,36.08976,51.01189,0.41584,0.31772,0.52241
visual,あ,blur,1000,1.0,45.56071,36.72835,53.70422,1.0,0.96747,1.0
visual,あ,fade,1000,1.0,1.27259,0.87783,1.64502,1.0,0.94181,1.0
visual,あ,reveal,1000,1.0,1.29761,0.71787,2.14978,1.0,0.8912,1.0
visual,あ,wipe,1000,1.0,23.03626,15.38715,34.3308,1.0,1.0,1.0
visual,か,blur,1000,1.0,45.65227,37.97673,51.74626,1.0,1.0,1.0
visual,か,fade,1000,1.0,1.47472,1.06579,2.45404,0.96366,0.8933,1.0
visual,か,reveal,1000,1.0,1.64678,1.05447,2.29342,1.0,0.93928,1.0
visual,か,wipe,1000,1.0,37.70948,25.82202,76.23273,0.94177,0.77605,1.0
visual,が,blur,1000,1.0,56.16326,46.1146,63.23924,1.0,0.9387,1.0
visual,が,fade,1000,1.0,1.87189,1.53739,2.43914,0.96059,0.89388,1.0
visual,が,reveal,1000,1.0,3.13621,1.17881,4.6778,0.89485,0.70002,1.0
visual,が,wipe,1000,1.0,61.76733,30.75142,97.05979,1.0,1.0,1.0
visual,し,blur,1000,1.0,33.41775,26.54322,38.14593,0.96642,0.87097,1.0
visual,し,fade,1000,1.0,1.40201,1.09243,1.81253,1.0,0.95731,1.0
visual,し,reveal,1000,1.0,1.23917,0.68418,1.67479,0.97724,0.9,1.0
visual,し,wipe,1000,1.0,17.06576,12.53621,22.77232,1.0,1.0,1.0
visual,つ,blur,1000,1.0,31.64081,21.9185,38.49444,1.0,1.0,1.0
visual,つ,fade,1000,1.0,1.55769,0.64087,2.30894,1.0,0.9716,1.0
visual,つ,reveal,1000,1.0,1.42275,0.91681,2.28792,1.0,0.92115,1.0
visual,つ,wipe,1000,1.0,30.2633,11.76913,53.54392,0.94221,0.59988,1.0
visual,ぱ,blur,1000,1.0,67.82117,57.27759,76.90792,1.0,0.79896,1.0
visual,ぱ,fade,1000,1.0,2.74986,2.12388,3.49763,0.96726,0.88848,1.0
visual,ぱ,reveal,1000,1.0,3.46348,2.06515,5.16854,0.87649,0.73796,1.0
visual,ぱ,wipe,1000,1.0,55.72086,29.3793,99.00448,0.9375,0.75,1.0
visual,ま,blur,1000,1.0,44.68225,37.79564,50.32938,1.0,1.0,1.0
visual,ま,fade,1000,1.0,1.37158,1.05439,1.8504,0.93167,0.83561,1.0
visual,ま,reveal,1000,1.0,2.37266,1.4099,3.28193,1.0,0.9283,1.0
visual,ま,wipe,1000,1.0,3.96489,3.85325,4.10117,0.95171,0.89794,1.0
visual,ら,blur,1000,1.0,47.58614,40.01597,54.52515,1.0,1.0,1.0
visual,ら,fade,1000,1.0,1.68301,1.40275,1.98314,1.0,1.0,1.0
visual,ら,reveal,1000,1.0,0.9909,0.70213,1.7633,0.88904,0.78901,1.0
visual,ら,wipe,1000,1.0,24.81138,20.4611,26.34319,0.88235,0.68745,1.0
