modality,char,n_full,acc_full,n_floor,acc_floor
audio,あ,31,0.9677,14,0.0
audio,い,4,0.75,1,0.0
audio,う,3,1.0,8,0.125
audio,え,3,1.0,4,0.25
audio,お,4,0.75,6,0.5
audio,か,27,1.0,18,0.2778
audio,が,32,0.0312,16,0.0
audio,き,6,0.5,3,1.0
audio,ぎ,8,0.125,4,0.0
audio,く,5,0.4,3,0.0
audio,ぐ,7,0.0,4,0.0
audio,け,4,1.0,5,0.0
audio,げ,4,0.25,0,
audio,こ,5,0.8,4,1.0
audio,ご,3,0.6667,2,0.0
audio,さ,3,1.0,3,0.0
audio,ざ,6,0.5,7,0.0
audio,し,26,0.4231,23,0.0
audio,じ,9,0.1111,3,0.0
audio,す,8,0.375,4,0.0
audio,ず,4,0.0,2,0.0
audio,せ,6,1.0,5,0.0
audio,ぜ,4,0.75,2,0.0
audio,そ,5,0.4,1,0.0
audio,ぞ,4,0.25,5,0.0
audio,た,7,0.8571,3,0.0
audio,だ,10,0.1,6,0.0
audio,ち,3,1.0,2,0.0
audio,つ,29,0.8621,22,0.3182
audio,て,4,0.75,4,0.0
audio,で,6,0.5,3,0.0
audio,と,4,0.5,3,0.0
audio,ど,6,0.0,4,0.0
audio,な,3,1.0,3,0.0
audio,に,9,0.6667,3,0.0
audio,ぬ,7,0.5714,4,0.0
audio,ね,6,1.0,2,0.0
audio,の,6,0.6667,1,0.0
audio,は,3,1.0,10,0.0
audio,ば,8,0.125,3,0.0
audio,ぱ,23,0.6087,17,0.0
audio,ひ,4,0.25,0,
audio,び,9,0.3333,3,0.0
audio,ぴ,7,0.0,4,0.0
audio,ふ,4,0.25,1,0.0
audio,ぶ,7,0.4286,3,0.0
audio,ぷ,5,0.8,1,0.0
audio,へ,6,0.1667,2,0.0
audio,べ,7,0.1429,5,0.0
audio,ぺ,11,0.1818,4,0.0
audio,ほ,6,0.1667,8,0.0
audio,ぼ,3,0.0,8,0.125
audio,ぽ,5,0.4,2,0.0
audio,ま,28,0.9286,26,0.0
audio,み,7,0.7143,3,0.0
audio,む,3,1.0,1,0.0
audio,め,3,0.3333,2,0.0
audio,も,8,0.375,3,0.0
audio,や,1,1.0,4,0.0
audio,ゆ,7,0.4286,1,0.0
audio,よ,4,1.0,3,0.0
audio,ら,33,0.2424,16,0.0
audio,り,3,0.3333,4,0.0
audio,る,3,0.6667,3,0.0
audio,れ,6,1.0,6,0.0
audio,ろ,5,0.2,8,0.0
audio,わ,0,,2,0.0
visual,あ,49,0.9796,26,0.0769
visual,い,7,1.0,6,0.1667
visual,う,8,1.0,9,0.2222
visual,え,6,1.0,8,0.0
visual,お,7,1.0,6,0.1667
visual,か,46,1.0,21,0.0476
visual,が,47,0.9787,37,0.027
visual,き,7,1.0,5,0.2
visual,ぎ,7,1.0,6,0.0
visual,く,10,1.0,4,0.0
visual,ぐ,8,1.0,5,0.0
visual,け,6,1.0,10,0.0
visual,げ,10,1.0,5,0.0
visual,こ,5,1.0,7,0.1429
visual,ご,10,1.0,4,0.25
visual,さ,9,1.0,14,0.2857
visual,ざ,9,1.0,9,0.0
visual,し,43,1.0,38,0.1053
visual,じ,9,0.8889,5,0.0
visual,す,10,0.9,4,0.0
visual,ず,13,1.0,6,0.3333
visual,せ,14,1.0,4,0.0
visual,ぜ,8,0.875,9,0.0
visual,そ,9,1.0,7,0.0
visual,ぞ,7,0.8571,3,0.3333
visual,た,6,1.0,5,0.0
visual,だ,8,1.0,5,0.0
visual,ち,9,1.0,9,0.1111
visual,ぢ,10,1.0,4,0.0
visual,つ,54,1.0,29,0.069
visual,づ,8,1.0,8,0.0
visual,て,11,1.0,5,0.2
visual,で,6,1.0,11,0.0
visual,と,11,1.0,2,0.0
visual,ど,12,1.0,9,0.0
visual,な,9,1.0,6,0.0
visual,に,7,0.8571,5,0.0
visual,ぬ,7,1.0,10,0.0
visual,ね,7,1.0,5,0.0
visual,の,8,1.0,4,0.25
visual,は,12,1.0,9,0.1111
visual,ば,10,1.0,7,0.1429
visual,ぱ,62,0.9839,31,0.0323
visual,ひ,10,1.0,8,0.125
visual,び,9,1.0,4,0.0
visual,ぴ,10,1.0,2,0.0
visual,ふ,6,1.0,6,0.0
visual,ぶ,11,1.0,8,0.125
visual,ぷ,8,1.0,8,0.0
visual,へ,8,1.0,5,0.4
visual,べ,11,1.0,4,0.0
visual,ぺ,16,0.9375,14,0.0714
visual,ほ,8,1.0,6,0.1667
visual,ぼ,7,1.0,9,0.1111
visual,ぽ,11,1.0,5,0.0
visual,ま,50,0.98,37,0.0811
visual,み,16,0.9375,8,0.125
visual,む,4,1.0,7,0.1429
visual,め,8,1.0,7,0.1429
visual,も,12,0.9167,5,0.2
visual,や,8,1.0,3,0.0
visual,ゆ,12,1.0,7,0.1429
visual,よ,15,1.0,1,0.0
visual,ら,54,1.0,27,0.037
visual,り,5,1.0,12,0.25
visual,る,9,1.0,7,0.2857
visual,れ,9,1.0,6,0.1667
visual,ろ,9,1.0,6,0.0
visual,わ,9,1.0,8,0.0
visual,を,16,1.0,8,0.125
visual,ゔ,8,0.875,8,0.0
