target_char,response_char,count
あ,あ,30
あ,ん,1
い,い,3
い,え,1
う,う,3
え,え,3
お,お,3
お,あ,1
か,か,27
が,か,28
が,た,2
が,と,1
が,が,1
き,ち,3
き,き,3
ぎ,き,6
ぎ,つ,1
ぎ,ぎ,1
く,く,2
く,ち,1
く,か,1
く,き,1
ぐ,く,6
ぐ,う,1
け,け,4
げ,け,3
げ,げ,1
こ,こ,4
こ,か,1
ご,ご,2
ご,か,1
さ,さ,3
ざ,ざ,3
ざ,ち,1
ざ,さ,1
ざ,ぞ,1
し,ち,14
し,し,11
し,つ,1
じ,ち,8
じ,じ,1
す,つ,5
す,す,3
ず,つ,3
ず,そ,1
せ,せ,6
ぜ,ぜ,3
ぜ,ち,1
そ,す,2
そ,そ,2
そ,さ,1
ぞ,そ,2
ぞ,ふ,1
ぞ,ぞ,1
た,た,6
た,あ,1
だ,た,9
だ,だ,1
ち,ち,3
つ,つ,25
つ,ち,1
つ,す,1
つ,ん,1
つ,さ,1
て,て,3
て,え,1
で,で,3
で,て,2
で,え,1
と,と,2
と,ち,1
と,か,1
ど,と,4
ど,わ,1
ど,ば,1
な,な,3
に,に,6
に,い,3
ぬ,ぬ,4
ぬ,な,3
ね,ね,6
の,の,4
の,ら,1
の,ち,1
は,は,3
ば,ぱ,3
ば,た,3
ば,ば,1
ば,あ,1
ぱ,ぱ,14
ぱ,た,7
ぱ,あ,1
ぱ,ば,1
ひ,ち,1
ひ,き,1
ひ,し,1
ひ,ひ,1
び,り,5
び,び,3
び,み,1
ぴ,り,4
ぴ,い,2
ぴ,ね,1
ふ,ぺ,1
ふ,つ,1
ふ,う,1
ふ,ふ,1
ぶ,ぶ,3
ぶ,う,3
ぶ,る,1
ぷ,ぷ,4
ぷ,ぶ,1
へ,け,3
へ,く,1
へ,て,1
へ,へ,1
べ,え,5
べ,べ,1
べ,れ,1
ぺ,て,7
ぺ,で,2
ぺ,ぺ,2
ほ,は,2
ほ,ぱ,2
ほ,こ,1
ほ,ほ,1
ぼ,ば,3
ぽ,ぱ,3
ぽ,ぽ,2
ま,ま,26
ま,あ,1
ま,ろ,1
み,み,5
み,お,1
み,に,1
む,む,3
め,れ,2
め,め,1
も,ま,4
も,も,3
も,わ,1
や,や,1
ゆ,ゆ,3
ゆ,え,2
ゆ,ち,1
ゆ,い,1
よ,よ,4
ら,な,21
ら,ら,8
ら,が,1
ら,い,1
ら,よ,1
ら,お,1
り,り,1
り,ぎ,1
り,い,1
る,る,2
る,め,1
れ,れ,6
ろ,の,2
ろ,あ,1
ろ,ろ,1
ろ,が,1
