target_char,response_char,count
あ,あ,48
あ,ね,1
い,い,7
う,う,8
え,え,6
お,お,7
か,か,46
が,が,46
が,な,1
き,き,7
ぎ,ぎ,7
く,く,10
ぐ,ぐ,8
け,け,6
げ,げ,10
こ,こ,5
ご,ご,10
さ,さ,9
ざ,ざ,9
し,し,43
じ,じ,8
じ,し,1
す,す,9
す,く,1
ず,ず,13
せ,せ,14
ぜ,ぜ,7
ぜ,ね,1
そ,そ,9
ぞ,ぞ,6
ぞ,ね,1
た,た,6
だ,だ,8
ち,ち,9
ぢ,ぢ,10
つ,つ,54
づ,づ,8
て,て,11
で,で,6
と,と,11
ど,ど,12
な,な,9
に,に,6
に,ね,1
ぬ,ぬ,7
ね,ね,7
の,の,8
は,は,12
ば,ば,10
ぱ,ぱ,61
ぱ,ぶ,1
ひ,ひ,10
び,び,9
ぴ,ぴ,10
ふ,ふ,6
ぶ,ぶ,11
ぷ,ぷ,8
へ,へ,8
べ,べ,11
ぺ,ぺ,15
ぺ,べ,1
ほ,ほ,8
ぼ,ぼ,7
ぽ,ぽ,11
ま,ま,49
ま,に,1
み,み,15
み,む,1
む,む,4
め,め,8
も,も,11
も,ね,1
や,や,8
ゆ,ゆ,12
よ,よ,15
ら,ら,54
り,り,5
る,る,9
れ,れ,9
ろ,ろ,9
わ,わ,9
を,を,16
ゔ,ゔ,7
ゔ,う,1
