char,gate_ms,n_correct,n_trials,accuracy
あ,10,0,35,0.0
あ,20,25,33,0.7576
あ,30,32,33,0.9697
あ,35,35,35,1.0
あ,50,30,33,0.9091
あ,65,34,34,1.0
あ,90,32,34,0.9412
あ,full,31,33,0.9394
か,10,4,33,0.1212
か,20,13,35,0.3714
か,25,17,33,0.5152
か,35,16,33,0.4848
か,45,21,35,0.6
か,60,25,33,0.7576
か,85,33,34,0.9706
か,full,32,34,0.9412
が,10,0,34,0.0
が,20,0,33,0.0
が,25,0,35,0.0
が,35,1,33,0.0303
が,45,0,33,0.0
が,60,0,35,0.0
が,85,1,33,0.0303
が,full,1,34,0.0294
し,10,2,33,0.0606
し,20,2,34,0.0588
し,30,9,34,0.2647
し,35,7,33,0.2121
し,40,9,35,0.2571
し,50,14,33,0.4242
し,60,4,33,0.1212
し,full,15,35,0.4286
つ,10,14,35,0.4
つ,20,16,33,0.4848
つ,30,24,34,0.7059
つ,35,14,34,0.4118
つ,50,21,33,0.6364
つ,65,23,35,0.6571
つ,85,22,33,0.6667
つ,full,28,33,0.8485
ぱ,10,0,34,0.0
ぱ,15,6,34,0.1765
ぱ,25,12,33,0.3636
ぱ,30,14,35,0.4
ぱ,40,13,33,0.3939
ぱ,50,16,33,0.4848
ぱ,70,17,35,0.4857
ぱ,full,21,33,0.6364
ま,10,0,33,0.0
ま,25,1,35,0.0286
ま,35,1,33,0.0303
ま,50,25,34,0.7353
ま,65,29,34,0.8529
ま,85,29,33,0.8788
ま,125,34,35,0.9714
ま,full,28,33,0.8485
ら,10,0,33,0.0
ら,25,1,33,0.0303
ら,35,2,35,0.0571
ら,50,9,33,0.2727
ら,65,17,34,0.5
ら,85,14,34,0.4118
ら,110,11,33,0.3333
ら,full,18,35,0.5143
