char,family,axis,level,n_correct,n_trials,accuracy
あ,blur,progress_pct,26.0,4,16,0.25
あ,blur,progress_pct,38.0,5,15,0.3333
あ,blur,progress_pct,48.0,10,15,0.6667
あ,blur,progress_pct,56.0,9,16,0.5625
あ,blur,progress_pct,64.0,11,15,0.7333
あ,blur,progress_pct,72.0,15,16,0.9375
あ,blur,progress_pct,84.0,14,15,0.9333
あ,blur,progress_pct,100.0,15,15,1.0
あ,fade,progress_pct,0.4,1,16,0.0625
あ,fade,progress_pct,0.8,4,14,0.2857
あ,fade,progress_pct,1.4,11,15,0.7333
あ,fade,progress_pct,2.2,13,16,0.8125
あ,fade,progress_pct,3.5,13,14,0.9286
あ,fade,progress_pct,6.0,16,16,1.0
あ,fade,progress_pct,12.0,14,14,1.0
あ,fade,progress_pct,100.0,15,15,1.0
あ,reveal,progress_pct,0.1,0,16,0.0
あ,reveal,progress_pct,0.25,2,16,0.125
あ,reveal,progress_pct,0.5,4,15,0.2667
あ,reveal,progress_pct,1.0,8,16,0.5
あ,reveal,progress_pct,2.0,12,16,0.75
あ,reveal,progress_pct,4.0,14,16,0.875
あ,reveal,progress_pct,9.0,16,16,1.0
あ,reveal,progress_pct,100.0,15,15,1.0
あ,wipe,progress_pct,0.5,4,15,0.2667
あ,wipe,progress_pct,1.0,0,15,0.0
あ,wipe,progress_pct,2.0,1,15,0.0667
あ,wipe,progress_pct,4.0,3,16,0.1875
あ,wipe,progress_pct,8.0,5,14,0.3571
あ,wipe,progress_pct,14.0,5,15,0.3333
あ,wipe,progress_pct,25.0,8,16,0.5
あ,wipe,progress_pct,100.0,14,14,1.0
か,blur,progress_pct,26.0,4,15,0.2667
か,blur,progress_pct,38.0,5,16,0.3125
か,blur,progress_pct,48.0,8,16,0.5
か,blur,progress_pct,56.0,8,15,0.5333
か,blur,progress_pct,64.0,15,16,0.9375
か,blur,progress_pct,72.0,16,16,1.0
か,blur,progress_pct,84.0,16,16,1.0
か,blur,progress_pct,100.0,16,16,1.0
か,fade,progress_pct,0.4,1,14,0.0714
か,fade,progress_pct,0.8,4,16,0.25
か,fade,progress_pct,1.4,8,15,0.5333
か,fade,progress_pct,2.2,11,15,0.7333
か,fade,progress_pct,3.5,15,16,0.9375
か,fade,progress_pct,6.0,11,14,0.7857
か,fade,progress_pct,12.0,15,15,1.0
か,fade,progress_pct,100.0,16,16,1.0
か,reveal,progress_pct,0.1,0,15,0.0
か,reveal,progress_pct,0.25,0,16,0.0
か,reveal,progress_pct,0.5,4,14,0.2857
か,reveal,progress_pct,1.0,6,15,0.4
か,reveal,progress_pct,2.0,10,16,0.625
か,reveal,progress_pct,4.0,13,14,0.9286
か,reveal,progress_pct,9.0,16,16,1.0
か,reveal,progress_pct,100.0,14,14,1.0
か,wipe,progress_pct,0.5,0,15,0.0
か,wipe,progress_pct,1.0,0,16,0.0
か,wipe,progress_pct,2.0,0,15,0.0
か,wipe,progress_pct,4.0,0,15,0.0
か,wipe,progress_pct,8.0,1,16,0.0625
か,wipe,progress_pct,14.0,2,15,0.1333
か,wipe,progress_pct,25.0,2,16,0.125
か,wipe,progress_pct,100.0,14,15,0.9333
が,blur,progress_pct,26.0,6,14,0.4286
が,blur,progress_pct,38.0,1,15,0.0667
が,blur,progress_pct,48.0,3,16,0.1875
が,blur,progress_pct,56.0,7,14,0.5
が,blur,progress_pct,64.0,8,15,0.5333
が,blur,progress_pct,72.0,13,16,0.8125
が,blur,progress_pct,84.0,14,14,1.0
が,blur,progress_pct,100.0,15,16,0.9375
が,fade,progress_pct,0.4,0,15,0.0
が,fade,progress_pct,0.8,0,16,0.0
が,fade,progress_pct,1.4,2,16,0.125
が,fade,progress_pct,2.2,12,15,0.8
が,fade,progress_pct,3.5,13,15,0.8667
が,fade,progress_pct,6.0,15,16,0.9375
が,fade,progress_pct,12.0,15,15,1.0
が,fade,progress_pct,100.0,16,16,1.0
が,reveal,progress_pct,0.1,0,16,0.0
が,reveal,progress_pct,0.25,0,14,0.0
が,reveal,progress_pct,0.5,0,15,0.0
が,reveal,progress_pct,1.0,1,15,0.0667
が,reveal,progress_pct,2.0,7,15,0.4667
が,reveal,progress_pct,4.0,8,16,0.5
が,reveal,progress_pct,9.0,13,14,0.9286
が,reveal,progress_pct,100.0,14,15,0.9333
が,wipe,progress_pct,0.5,0,16,0.0
が,wipe,progress_pct,1.0,0,15,0.0
が,wipe,progress_pct,2.0,0,16,0.0
が,wipe,progress_pct,4.0,0,16,0.0
が,wipe,progress_pct,8.0,0,15,0.0
が,wipe,progress_pct,14.0,0,16,0.0
が,wipe,progress_pct,25.0,0,16,0.0
が,wipe,progress_pct,100.0,16,16,1.0
し,blur,progress_pct,26.0,2,15,0.1333
し,blur,progress_pct,38.0,13,16,0.8125
し,blur,progress_pct,48.0,12,15,0.8
し,blur,progress_pct,56.0,14,15,0.9333
し,blur,progress_pct,64.0,15,16,0.9375
し,blur,progress_pct,72.0,15,15,1.0
し,blur,progress_pct,84.0,15,15,1.0
し,blur,progress_pct,100.0,15,16,0.9375
し,fade,progress_pct,0.4,1,15,0.0667
し,fade,progress_pct,0.8,3,16,0.1875
し,fade,progress_pct,1.4,8,14,0.5714
し,fade,progress_pct,2.2,13,15,0.8667
し,fade,progress_pct,3.5,15,16,0.9375
し,fade,progress_pct,6.0,14,14,1.0
し,fade,progress_pct,12.0,15,15,1.0
し,fade,progress_pct,100.0,16,16,1.0
し,reveal,progress_pct,0.1,0,16,0.0
し,reveal,progress_pct,0.25,3,16,0.1875
し,reveal,progress_pct,0.5,4,16,0.25
し,reveal,progress_pct,1.0,8,15,0.5333
し,reveal,progress_pct,2.0,11,16,0.6875
し,reveal,progress_pct,4.0,16,16,1.0
し,reveal,progress_pct,9.0,14,15,0.9333
し,reveal,progress_pct,100.0,16,16,1.0
し,wipe,progress_pct,0.5,1,14,0.0714
し,wipe,progress_pct,1.0,2,15,0.1333
し,wipe,progress_pct,2.0,5,16,0.3125
し,wipe,progress_pct,4.0,2,14,0.1429
し,wipe,progress_pct,8.0,2,15,0.1333
し,wipe,progress_pct,14.0,5,15,0.3333
し,wipe,progress_pct,25.0,12,15,0.8
し,wipe,progress_pct,100.0,16,16,1.0
つ,blur,progress_pct,26.0,8,17,0.4706
つ,blur,progress_pct,38.0,9,16,0.5625
つ,blur,progress_pct,48.0,13,16,0.8125
つ,blur,progress_pct,56.0,14,16,0.875
つ,blur,progress_pct,64.0,15,15,1.0
つ,blur,progress_pct,72.0,16,16,1.0
つ,blur,progress_pct,84.0,16,16,1.0
つ,blur,progress_pct,100.0,15,15,1.0
つ,fade,progress_pct,0.4,3,16,0.1875
つ,fade,progress_pct,0.8,6,14,0.4286
つ,fade,progress_pct,1.4,9,16,0.5625
つ,fade,progress_pct,2.2,11,16,0.6875
つ,fade,progress_pct,3.5,10,14,0.7143
つ,fade,progress_pct,6.0,14,15,0.9333
つ,fade,progress_pct,12.0,15,15,1.0
つ,fade,progress_pct,100.0,15,15,1.0
つ,reveal,progress_pct,0.1,1,16,0.0625
つ,reveal,progress_pct,0.25,1,14,0.0714
つ,reveal,progress_pct,0.5,5,16,0.3125
つ,reveal,progress_pct,1.0,4,14,0.2857
つ,reveal,progress_pct,2.0,12,15,0.8
つ,reveal,progress_pct,4.0,14,16,0.875
つ,reveal,progress_pct,9.0,14,14,1.0
つ,reveal,progress_pct,100.0,15,15,1.0
つ,wipe,progress_pct,0.5,2,16,0.125
つ,wipe,progress_pct,1.0,0,15,0.0
つ,wipe,progress_pct,2.0,0,16,0.0
つ,wipe,progress_pct,4.0,0,15,0.0
つ,wipe,progress_pct,8.0,2,15,0.1333
つ,wipe,progress_pct,14.0,5,16,0.3125
つ,wipe,progress_pct,25.0,4,15,0.2667
つ,wipe,progress_pct,100.0,14,15,0.9333
ぱ,blur,progress_pct,26.0,1,15,0.0667
ぱ,blur,progress_pct,38.0,3,16,0.1875
ぱ,blur,progress_pct,48.0,4,14,0.2857
ぱ,blur,progress_pct,56.0,4,15,0.2667
ぱ,blur,progress_pct,64.0,6,15,0.4
ぱ,blur,progress_pct,72.0,7,15,0.4667
ぱ,blur,progress_pct,84.0,12,16,0.75
ぱ,blur,progress_pct,100.0,13,14,0.9286
ぱ,fade,progress_pct,0.4,0,16,0.0
ぱ,fade,progress_pct,0.8,0,16,0.0
ぱ,fade,progress_pct,1.4,5,15,0.3333
ぱ,fade,progress_pct,2.2,5,16,0.3125
ぱ,fade,progress_pct,3.5,11,16,0.6875
ぱ,fade,progress_pct,6.0,14,15,0.9333
ぱ,fade,progress_pct,12.0,15,16,0.9375
ぱ,fade,progress_pct,100.0,16,16,1.0
ぱ,reveal,progress_pct,0.1,0,16,0.0
ぱ,reveal,progress_pct,0.25,0,15,0.0
ぱ,reveal,progress_pct,0.5,1,15,0.0667
ぱ,reveal,progress_pct,1.0,2,16,0.125
ぱ,reveal,progress_pct,2.0,3,15,0.2
ぱ,reveal,progress_pct,4.0,8,15,0.5333
ぱ,reveal,progress_pct,9.0,14,16,0.875
ぱ,reveal,progress_pct,100.0,13,15,0.8667
ぱ,wipe,progress_pct,0.5,0,16,0.0
ぱ,wipe,progress_pct,1.0,0,14,0.0
ぱ,wipe,progress_pct,2.0,1,15,0.0667
ぱ,wipe,progress_pct,4.0,0,16,0.0
ぱ,wipe,progress_pct,8.0,0,14,0.0
ぱ,wipe,progress_pct,14.0,0,15,0.0
ぱ,wipe,progress_pct,25.0,0,16,0.0
ぱ,wipe,progress_pct,100.0,13,14,0.9286
ま,blur,progress_pct,26.0,2,15,0.1333
ま,blur,progress_pct,38.0,7,16,0.4375
ま,blur,progress_pct,48.0,8,14,0.5714
ま,blur,progress_pct,56.0,11,16,0.6875
