age_band,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
20代,audio,,42,2,0.3333,17.69824,0.38889,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者2人<20)
20代,visual,fade,18,3,0.7778,1.33372,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
20代,visual,reveal,18,3,0.3889,1.86383,0.83338,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
20代,visual,blur,18,3,0.7222,38.33174,1.0,True,参考(参加者3人<20)
20代,visual,wipe,19,3,0.2105,35.92095,1.0,True,参考(参加者3人<20)
20代,visual,ALL,73,3,0.5205,20.58902,1.0,True,参考(参加者3人<20)
30代,audio,,252,12,0.4286,20.916,0.56856,True,参考(参加者12人<20)
30代,visual,fade,114,19,0.6579,1.69148,0.96771,True,参考(参加者19人<20)
30代,visual,reveal,114,19,0.5702,1.51754,1.0,True,参考(参加者19人<20)
30代,visual,blur,114,19,0.7193,43.4016,1.0,True,参考(参加者19人<20)
30代,visual,wipe,114,19,0.2982,23.06662,1.0,True,参考(参加者19人<20)
30代,visual,ALL,456,19,0.5614,15.70288,1.0,True,参考(参加者19人<20)
40代,audio,,399,19,0.4286,26.73746,0.64039,True,参考(参加者19人<20)
40代,visual,fade,321,52,0.648,1.67229,0.97938,True,
40代,visual,reveal,318,52,0.5031,2.01174,0.97058,True,
40代,visual,blur,319,52,0.6646,46.8851,0.98934,True,
40代,visual,wipe,318,52,0.2516,27.61299,0.97425,True,
40代,visual,ALL,1276,52,0.5172,1.57499,0.69462,True,
50代,audio,,714,34,0.3838,33.08973,0.65036,True,
50代,visual,fade,396,66,0.6566,1.57555,0.95841,True,
50代,visual,reveal,396,66,0.4697,1.52498,0.89268,True,
50代,visual,blur,396,66,0.6818,44.35282,1.0,True,
50代,visual,wipe,396,66,0.2803,25.09167,0.96249,True,
50代,visual,ALL,1584,66,0.5221,21.83712,1.0,True,
60代,audio,,336,16,0.4077,37.07651,0.74744,True,参考(参加者16人<20)
60代,visual,fade,78,13,0.6795,1.53674,0.96096,True,参考(参加者13人<20)
60代,visual,reveal,78,13,0.4615,1.3397,0.82906,True,参考(参加者13人<20)
60代,visual,blur,78,13,0.6154,46.79896,1.0,True,参考(参加者13人<20)
60代,visual,wipe,78,13,0.1667,46.27989,1.0,True,参考(参加者13人<20)
60代,visual,ALL,312,13,0.4808,29.40661,1.0,True,参考(参加者13人<20)
70代,audio,,126,6,0.3175,71.6919,1.0,True,参考(参加者6人<20)
70代,visual,fade,54,9,0.537,3.09324,1.0,True,参考(参加者9人<20)
70代,visual,reveal,54,9,0.4444,2.034,0.91839,True,参考(参加者9人<20)
70代,visual,blur,54,9,0.6296,50.00664,1.0,True,参考(参加者9人<20)
70代,visual,wipe,54,9,0.2222,20.8484,0.64909,True,参考(参加者9人<20)
70代,visual,ALL,216,9,0.4583,31.76053,1.0,True,参考(参加者9人<20)
(未回答),audio,,21,1,0.3333,61.56928,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
(未回答),visual,fade,1,1,0.0,,0.0,False,水準が1つしかなく mu・sigma は推定不可(観測正答率のみ);参考(参加者1人<20)
(未回答),visual,reveal,0,0,,,,False,データなし
(未回答),visual,blur,1,1,1.0,,1.0,False,水準が1つしかなく mu・sigma は推定不可(観測正答率のみ);参考(参加者1人<20)
(未回答),visual,wipe,0,0,,,,False,データなし
(未回答),visual,ALL,2,1,0.5,18.62769,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
