read_difficulty,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
多少ある（時々読み間違える等）,audio,,21,1,0.3333,27.51551,0.5,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
多少ある（時々読み間違える等）,visual,fade,18,3,0.6667,1.40411,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
多少ある（時々読み間違える等）,visual,reveal,18,3,0.5,1.50127,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
多少ある（時々読み間違える等）,visual,blur,18,3,0.7778,34.87141,1.0,True,参考(参加者3人<20)
多少ある（時々読み間違える等）,visual,wipe,18,3,0.1111,18.27511,0.5,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
多少ある（時々読み間違える等）,visual,ALL,72,3,0.5139,1.35692,0.70684,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
支障なし,audio,,1869,89,0.3981,30.79359,0.64729,True,
支障なし,visual,fade,963,159,0.6511,1.64984,0.96487,True,
支障なし,visual,reveal,960,159,0.4885,1.61469,0.91535,True,
支障なし,visual,blur,961,159,0.6712,45.7298,1.0,True,
支障なし,visual,wipe,961,159,0.2622,27.31748,0.96674,True,
支障なし,visual,ALL,3845,159,0.5183,22.29338,1.0,True,
(未回答),audio,,0,0,,,,False,データなし
(未回答),visual,fade,1,1,0.0,,0.0,False,水準が1つしかなく mu・sigma は推定不可(観測正答率のみ);参考(参加者1人<20)
(未回答),visual,reveal,0,0,,,,False,データなし
(未回答),visual,blur,1,1,1.0,,1.0,False,水準が1つしかなく mu・sigma は推定不可(観測正答率のみ);参考(参加者1人<20)
(未回答),visual,wipe,0,0,,,,False,データなし
(未回答),visual,ALL,2,1,0.5,18.62769,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
