cut,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
baseline_全部,visual,fade,982,163,0.6507,1.64361,0.96483,True,
baseline_全部,visual,reveal,978,162,0.4888,1.58596,0.91393,True,
baseline_全部,visual,blur,980,163,0.6735,45.54566,1.0,True,
baseline_全部,visual,wipe,979,162,0.2594,27.12743,0.95886,True,
baseline_全部,visual,ALL,3919,163,0.5182,22.29711,1.0,True,
clamped以外(狙った値で止まらなかった行)を除外,visual,fade,982,163,0.6507,1.64361,0.96483,True,
clamped以外(狙った値で止まらなかった行)を除外,visual,reveal,978,162,0.4888,1.58596,0.91393,True,
clamped以外(狙った値で止まらなかった行)を除外,visual,blur,980,163,0.6735,45.54566,1.0,True,
clamped以外(狙った値で止まらなかった行)を除外,visual,wipe,979,162,0.2594,27.12743,0.95886,True,
clamped以外(狙った値で止まらなかった行)を除外,visual,ALL,3919,163,0.5182,22.29711,1.0,True,
