cut,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
baseline_全部,visual,fade,982,163,0.6507,1.64361,0.96483,True,
baseline_全部,visual,reveal,978,162,0.4888,1.58596,0.91393,True,
baseline_全部,visual,blur,980,163,0.6735,45.54566,1.0,True,
baseline_全部,visual,wipe,979,162,0.2594,27.12743,0.95886,True,
baseline_全部,visual,ALL,3919,163,0.5182,22.29711,1.0,True,
gap>33msの試行を除外,visual,fade,966,162,0.648,1.63528,0.96339,True,
gap>33msの試行を除外,visual,reveal,952,161,0.4832,1.53284,0.90527,True,
gap>33msの試行を除外,visual,blur,906,154,0.6733,45.3017,1.0,True,
gap>33msの試行を除外,visual,wipe,959,161,0.2617,26.7926,0.95806,True,
gap>33msの試行を除外,visual,ALL,3783,162,0.5147,22.07085,1.0,True,
gap>50msの試行を除外,visual,fade,981,163,0.6514,1.64043,0.96473,True,
gap>50msの試行を除外,visual,reveal,970,162,0.4856,1.56311,0.90988,True,
gap>50msの試行を除外,visual,blur,951,160,0.6761,45.10996,1.0,True,
gap>50msの試行を除外,visual,wipe,978,162,0.2597,27.09909,0.95884,True,
gap>50msの試行を除外,visual,ALL,3880,163,0.5173,22.08615,1.0,True,
