family,progress_pct_level,n,mean_dev_pt,sd_dev_pt,median_dev_pt,p05_dev_pt,p95_dev_pt
blur,26.0,122,0.0,0.0,0.0,0.0,0.0
blur,38.0,125,0.0,0.0,0.0,0.0,0.0
blur,48.0,122,0.0,0.0,0.0,0.0,0.0
blur,56.0,121,0.0,0.0,0.0,0.0,0.0
blur,64.0,122,0.0,0.0,0.0,0.0,0.0
blur,72.0,125,0.0,0.0,0.0,0.0,0.0
blur,84.0,122,0.0,0.0,0.0,0.0,0.0
blur,100.0,121,0.0,0.0,0.0,0.0,0.0
blur,ALL,980,0.0,0.0,0.0,0.0,0.0
fade,0.4,123,0.0,0.0,0.0,0.0,0.0
fade,0.8,123,0.0,0.0,0.0,0.0,0.0
fade,1.4,122,0.0,0.0,0.0,0.0,0.0
fade,2.2,125,-0.0,0.0,-0.0,-0.0,-0.0
fade,3.5,122,0.0,0.0,0.0,0.0,0.0
fade,6.0,121,0.0,0.0,0.0,0.0,0.0
fade,12.0,121,0.0,0.0,0.0,0.0,0.0
fade,100.0,125,0.0,0.0,0.0,0.0,0.0
fade,ALL,982,0.0,0.0,0.0,-0.0,0.0
reveal,0.1,125,0.0,0.0,0.0,0.0,0.0
reveal,0.25,122,0.05,0.0,0.05,0.05,0.05
reveal,0.5,121,0.0,0.0,0.0,0.0,0.0
reveal,1.0,121,0.0,0.0,0.0,0.0,0.0
reveal,2.0,125,0.0,0.0,0.0,0.0,0.0
reveal,4.0,122,0.0,0.0,0.0,0.0,0.0
reveal,9.0,121,0.0,0.0,0.0,0.0,0.0
reveal,100.0,121,0.0,0.0,0.0,0.0,0.0
reveal,ALL,978,0.006,0.017,0.0,0.0,0.05
wipe,0.5,121,0.0,0.0,0.0,0.0,0.0
wipe,1.0,121,0.0,0.0,0.0,0.0,0.0
wipe,2.0,125,0.0,0.0,0.0,0.0,0.0
wipe,4.0,122,0.0,0.0,0.0,0.0,0.0
wipe,8.0,122,0.0,0.0,0.0,0.0,0.0
wipe,14.0,121,0.0,0.0,0.0,0.0,0.0
wipe,25.0,125,0.0,0.0,0.0,0.0,0.0
wipe,100.0,122,0.0,0.0,0.0,0.0,0.0
wipe,ALL,979,0.0,0.0,0.0,0.0,0.0
