refresh_hz_band,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
100超(異常値の疑い),visual,fade,60,10,0.7333,1.0658,0.97132,True,参考(参加者10人<20)
100超(異常値の疑い),visual,reveal,60,10,0.5833,1.31326,1.0,True,参考(参加者10人<20)
100超(異常値の疑い),visual,blur,60,10,0.65,50.84524,1.0,True,参考(参加者10人<20)
100超(異常値の疑い),visual,wipe,60,10,0.2167,27.05074,1.0,True,参考(参加者10人<20)
100超(異常値の疑い),visual,ALL,240,10,0.5458,17.50088,1.0,True,参考(参加者10人<20)
45-65(標準的な画面),visual,fade,777,128,0.6409,1.67137,0.95685,True,
45-65(標準的な画面),visual,reveal,774,128,0.4832,1.49655,0.89747,True,
45-65(標準的な画面),visual,blur,775,129,0.6813,44.40821,1.0,True,
45-65(標準的な画面),visual,wipe,775,128,0.2645,27.21062,0.97004,True,
45-65(標準的な画面),visual,ALL,3101,129,0.5176,22.41649,1.0,True,
45未満(低フレームレート機),visual,fade,121,21,0.6529,1.81731,1.0,True,
45未満(低フレームレート機),visual,reveal,120,20,0.475,2.4469,0.96912,True,
45未満(低フレームレート機),visual,blur,121,21,0.6612,46.08649,1.0,True,
45未満(低フレームレート機),visual,wipe,120,20,0.2583,22.91601,0.84818,True,
45未満(低フレームレート機),visual,ALL,482,22,0.5124,23.1174,1.0,True,
65-100,visual,fade,18,3,0.8333,0.87307,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
65-100,visual,reveal,18,3,0.5556,1.46453,1.0,True,参考(参加者3人<20)
65-100,visual,blur,18,3,0.4444,64.61648,1.0,True,参考(参加者3人<20)
65-100,visual,wipe,18,3,0.2222,37.64139,1.0,True,参考(参加者3人<20)
65-100,visual,ALL,72,3,0.5139,0.82658,0.6107,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
計測異常(0以下),visual,fade,6,1,0.5,2.8507,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
計測異常(0以下),visual,reveal,6,1,0.3333,3.34679,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
計測異常(0以下),visual,blur,6,1,0.8333,44.13445,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
計測異常(0以下),visual,wipe,6,1,0.1667,80.62152,1.0,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
計測異常(0以下),visual,ALL,24,1,0.4583,2.84773,0.73331,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者1人<20)
