device_type,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
スマホ(touch),audio,,588,28,0.3605,44.29673,0.75516,True,
スマホ(touch),visual,fade,399,67,0.6541,1.69225,0.98709,True,
スマホ(touch),visual,reveal,396,65,0.5328,1.80326,1.0,True,
スマホ(touch),visual,blur,398,66,0.7588,32.41596,1.0,True,
スマホ(touch),visual,wipe,396,65,0.2374,30.91755,0.98037,True,
スマホ(touch),visual,ALL,1589,67,0.5463,17.89853,1.0,True,
PC等(touch以外),audio,,1302,62,0.414,26.2537,0.61568,True,
PC等(touch以外),visual,fade,583,98,0.6484,1.65224,0.95718,True,
PC等(touch以外),visual,reveal,582,97,0.4588,1.71458,0.88875,True,
PC等(touch以外),visual,blur,582,97,0.6151,51.24977,0.98349,True,
PC等(touch以外),visual,wipe,583,97,0.2744,24.56571,0.94467,True,
PC等(touch以外),visual,ALL,2330,98,0.4991,25.57915,1.0,True,
