cut,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
baseline_全部,audio,,1890,90,0.3974,30.73751,0.64514,True,
baseline_全部,visual,fade,982,163,0.6507,1.64361,0.96483,True,
baseline_全部,visual,reveal,978,162,0.4888,1.58596,0.91393,True,
baseline_全部,visual,blur,980,163,0.6735,45.54566,1.0,True,
baseline_全部,visual,wipe,979,162,0.2594,27.12743,0.95886,True,
baseline_全部,visual,ALL,3919,163,0.5182,22.29711,1.0,True,
再開した試行そのものを除外,audio,,1849,89,0.3975,30.28813,0.63934,True,
再開した試行そのものを除外,visual,fade,861,143,0.6492,1.64275,0.96234,True,
再開した試行そのものを除外,visual,reveal,858,143,0.4872,1.5396,0.90558,True,
再開した試行そのものを除外,visual,blur,859,143,0.6868,44.3767,1.0,True,
再開した試行そのものを除外,visual,wipe,859,143,0.2596,27.14062,0.95345,True,
再開した試行そのものを除外,visual,ALL,3437,143,0.5208,21.83402,1.0,True,
一度でも再開した参加者を除外,audio,,1848,88,0.3977,30.21045,0.63873,True,
一度でも再開した参加者を除外,visual,fade,855,142,0.6491,1.63644,0.96147,True,
一度でも再開した参加者を除外,visual,reveal,852,142,0.4894,1.52041,0.90677,True,
一度でも再開した参加者を除外,visual,blur,853,142,0.687,44.4086,1.0,True,
一度でも再開した参加者を除外,visual,wipe,853,142,0.2567,27.40427,0.95306,True,
一度でも再開した参加者を除外,visual,ALL,3413,142,0.5207,21.8504,1.0,True,
