modality,decile,rel_pos_lo,rel_pos_hi,n_trials,n_participants,accuracy
audio,1,0.0,0.1,202,85,0.4554
audio,2,0.1,0.2,213,86,0.3756
audio,3,0.2,0.3,214,88,0.4065
audio,4,0.3,0.4,200,85,0.405
audio,5,0.4,0.5,219,87,0.4475
audio,6,0.5,0.6,199,89,0.4925
audio,7,0.6,0.7,204,88,0.4265
audio,8,0.7,0.8,213,88,0.4131
audio,9,0.8,0.9,224,87,0.442
audio,10,0.9,1.0,272,90,0.4228
visual,1,0.0,0.1,322,148,0.4876
visual,2,0.1,0.2,365,150,0.5205
visual,3,0.2,0.3,393,155,0.4987
visual,4,0.3,0.4,392,157,0.4541
visual,5,0.4,0.5,357,153,0.5154
visual,6,0.5,0.6,409,156,0.5159
visual,7,0.6,0.7,399,159,0.5614
visual,8,0.7,0.8,369,158,0.5447
visual,9,0.8,0.9,391,160,0.5448
visual,10,0.9,1.0,522,163,0.5307
