modality,subset,decile,rel_pos_lo,rel_pos_hi,n_trials,n_participants,rate_resp_in_frequent_set,rate_resp_in_target_set
audio,全試行,1,0.0,0.1,472,90,0.5869,0.3517
audio,全試行,2,0.1,0.2,520,90,0.6,0.3077
audio,全試行,3,0.2,0.3,557,90,0.5996,0.3375
audio,全試行,4,0.3,0.4,555,90,0.6324,0.3405
audio,全試行,5,0.4,0.5,538,90,0.5985,0.3346
audio,全試行,6,0.5,0.6,552,90,0.5942,0.3442
audio,全試行,7,0.6,0.7,545,90,0.6202,0.3394
audio,全試行,8,0.7,0.8,533,90,0.5966,0.3114
audio,全試行,9,0.8,0.9,554,90,0.5921,0.3231
audio,全試行,10,0.9,1.0,574,90,0.6063,0.3153
audio,誤答のみ,1,0.0,0.1,312,88,0.375,0.2276
audio,誤答のみ,2,0.1,0.2,344,90,0.3953,0.2238
audio,誤答のみ,3,0.2,0.3,386,90,0.4223,0.2617
audio,誤答のみ,4,0.3,0.4,361,90,0.4349,0.2742
audio,誤答のみ,5,0.4,0.5,338,90,0.3609,0.2456
audio,誤答のみ,6,0.5,0.6,356,89,0.3708,0.2388
audio,誤答のみ,7,0.6,0.7,353,90,0.4136,0.272
audio,誤答のみ,8,0.7,0.8,336,89,0.3601,0.2143
audio,誤答のみ,9,0.8,0.9,355,89,0.3634,0.2254
audio,誤答のみ,10,0.9,1.0,377,90,0.4005,0.252
audio,全試行,half:前半(rel_pos<=0.5),,,2642,90,0.6041,0.3342
audio,全試行,half:後半(rel_pos>0.5),,,2758,90,0.6019,0.3267
audio,誤答のみ,half:前半(rel_pos<=0.5),,,1741,90,0.3992,0.2476
audio,誤答のみ,half:後半(rel_pos>0.5),,,1777,90,0.3821,0.2409
visual,全試行,1,0.0,0.1,861,162,0.6318,0.2892
visual,全試行,2,0.1,0.2,940,162,0.6553,0.2915
visual,全試行,3,0.2,0.3,1001,162,0.6803,0.2877
visual,全試行,4,0.3,0.4,998,163,0.6333,0.2635
visual,全試行,5,0.4,0.5,984,163,0.6565,0.2785
visual,全試行,6,0.5,0.6,1007,162,0.6475,0.2761
visual,全試行,7,0.6,0.7,987,162,0.69,0.3029
visual,全試行,8,0.7,0.8,999,162,0.6847,0.2843
visual,全試行,9,0.8,0.9,991,163,0.7033,0.2977
visual,全試行,10,0.9,1.0,1027,163,0.7089,0.3028
visual,誤答のみ,1,0.0,0.1,469,158,0.3241,0.1727
visual,誤答のみ,2,0.1,0.2,479,158,0.3236,0.1587
visual,誤答のみ,3,0.2,0.3,526,160,0.3916,0.1863
visual,誤答のみ,4,0.3,0.4,535,158,0.3159,0.1439
visual,誤答のみ,5,0.4,0.5,495,160,0.3172,0.1556
visual,誤答のみ,6,0.5,0.6,523,158,0.3212,0.1358
visual,誤答のみ,7,0.6,0.7,457,159,0.3304,0.1597
visual,誤答のみ,8,0.7,0.8,485,158,0.3505,0.1464
visual,誤答のみ,9,0.8,0.9,474,157,0.3797,0.1624
visual,誤答のみ,10,0.9,1.0,491,160,0.391,0.169
visual,全試行,half:前半(rel_pos<=0.5),,,4784,163,0.652,0.2818
visual,全試行,half:後半(rel_pos>0.5),,,5011,163,0.6869,0.2928
visual,誤答のみ,half:前半(rel_pos<=0.5),,,2504,163,0.3351,0.1633
visual,誤答のみ,half:後半(rel_pos>0.5),,,2430,162,0.3543,0.1543
