participant_id,group,n_trials,age_band,read_difficulty,hear_difficulty,audio_device,touch,refresh_hz_median,audio_check_misses
22zvh6,acal,70,30代,支障なし,支障なし,有線ヘッドホン,True,58.0,0
2svajw,aprime,70,60代,支障なし,支障なし,,False,61.0,0
2vrc3s,acal,70,50代,支障なし,支障なし,スピーカー,True,53.0,0
2x7avj,aprime,70,40代,支障なし,支障なし,,True,55.0,0
2yhsey,aprime,70,50代,支障なし,支障なし,,True,61.0,0
2zgfq6,acal,70,50代,支障なし,支障なし,スピーカー,True,63.0,0
34pk2a,aprime,70,30代,支障なし,支障なし,,False,62.0,0
38a9qz,aprime,70,40代,支障なし,多少ある（聞き返すことがある等）,,False,119.0,0
3d5qw7,aprime,70,50代,支障なし,支障なし,,False,62.0,0
3f2h8t,acal,70,60代,支障なし,支障なし,スピーカー,False,122.0,0
3j6g3v,acal,70,50代,支障なし,支障なし,スピーカー,True,56.0,2
3r75am,aprime,70,40代,支障なし,支障なし,,True,58.0,0
3vxx5c,aprime,70,50代,支障なし,支障なし,,False,61.0,0
48nspu,acal,70,40代,支障なし,支障なし,スピーカー,False,43.0,0
4b3ute,aprime,70,50代,支障なし,支障なし,,False,45.0,0
4cbcbt,aprime,70,40代,支障なし,支障なし,,False,51.0,0
4e28p4,acal,70,50代,支障なし,支障なし,スピーカー,False,60.0,0
4g5j75,aprime,70,70代,支障なし,多少ある（聞き返すことがある等）,,False,45.0,0
4jtpbj,aprime,70,50代,支障なし,支障なし,,False,60.0,0
4qvmg6,acal,70,50代,支障なし,支障なし,無線,False,79.0,0
4r2xz4,acal,70,20代,支障なし,支障なし,スピーカー,False,58.0,0
4sevzn,acal,70,30代,支障なし,多少ある（聞き返すことがある等）,有線ヘッドホン,False,59.0,0
4wacpa,aprime,70,50代,支障なし,支障なし,,False,57.0,0
52caav,aprime,70,40代,支障なし,支障なし,,True,56.0,0
53bs9x,acal,70,40代,支障なし,多少ある（聞き返すことがある等）,スピーカー,True,31.0,0
53kee2,acal,70,30代,支障なし,多少ある（聞き返すことがある等）,スピーカー,False,99.0,0
56rctp,acal,70,70代,支障なし,支障なし,無線,True,122.0,0
5cbe5h,aprime,70,50代,支障なし,支障なし,,True,49.0,0
5eqper,aprime,70,50代,支障なし,支障なし,,True,55.0,0
5gccuk,aprime,70,50代,支障なし,支障なし,,False,47.0,0
5mk55k,aprime,70,50代,支障なし,支障なし,,False,61.0,0
5rue3f,aprime,70,40代,支障なし,支障なし,,False,60.0,0
5wq2ku,aprime,70,70代,支障なし,支障なし,,True,43.0,0
62hmq8,aprime,70,40代,支障なし,支障なし,,False,61.0,0
62wurq,aprime,6,,,,,True,58.0,0
6avefq,aprime,70,50代,支障なし,支障なし,,True,57.0,0
6qrr66,aprime,70,50代,支障なし,支障なし,,True,63.0,0
6uzyh7,aprime,70,50代,支障なし,支障なし,,True,40.0,0
6x4tck,aprime,70,40代,支障なし,支障なし,,False,60.0,0
6xdvt6,aprime,70,50代,支障なし,支障なし,,True,59.0,0
6xt88w,acal,70,50代,支障なし,支障なし,有線ヘッドホン,False,57.0,0
746gmf,acal,70,50代,支障なし,支障なし,スピーカー,False,58.0,0
759u5k,acal,70,50代,支障なし,支障なし,スピーカー,False,51.0,0
75a86d,aprime,140,40代,支障なし,支障なし,,True,62.0,0
79tbh8,aprime,70,40代,支障なし,支障なし,,True,71.0,0
7fkd3f,aprime,70,50代,支障なし,支障なし,,True,55.0,0
7r46cp,aprime,70,50代,支障なし,支障なし,,False,59.0,0
7smzpz,aprime,70,30代,支障なし,支障なし,,False,47.0,0
7yk3p4,aprime,70,40代,支障なし,支障なし,,True,57.0,0
7z5aej,aprime,70,50代,支障なし,多少ある（聞き返すことがある等）,,True,63.0,0
849zh8,aprime,70,40代,支障なし,支障なし,,True,61.0,0
84n9ua,aprime,70,40代,支障なし,支障なし,,False,57.0,0
89ke9n,aprime,70,50代,支障なし,支障なし,,False,60.0,0
8b32hh,aprime,70,20代,支障なし,支障なし,,False,49.0,0
8ed82z,aprime,70,70代,支障なし,多少ある（聞き返すことがある等）,,False,62.0,0
8f3ez4,acal,70,50代,支障なし,支障なし,スピーカー,True,83.0,0
8rvfmc,acal,70,30代,支障なし,支障なし,スピーカー,False,61.0,0
8smmyb,aprime,70,30代,支障なし,支障なし,,False,65.0,0
8tczuu,acal,70,50代,支障なし,支障なし,有線ヘッドホン,False,58.0,0
8yeta4,acal,70,60代,支障なし,多少ある（聞き返すことがある等）,スピーカー,True,61.0,0
8yf73q,aprime,70,50代,支障なし,支障なし,,True,61.0,0
95bmgh,aprime,70,70代,支障なし,多少ある（聞き返すことがある等）,,False,61.0,0
97judq,aprime,70,50代,支障なし,支障なし,,True,61.0,0
9cd7fm,aprime,70,30代,支障なし,支障なし,,True,31.0,0
9f23es,acal,70,60代,支障なし,支障なし,スピーカー,False,57.0,0
9jqmjp,acal,70,40代,支障なし,支障なし,スピーカー,False,57.0,0
9k6dqu,aprime,70,40代,支障なし,支障なし,,False,29.0,0
9sz9ff,acal,70,50代,支障なし,支障なし,有線ヘッドホン,False,45.0,0
9zsycx,aprime,70,50代,支障なし,支障なし,,True,52.0,0
9ztyjc,aprime,70,40代,支障なし,支障なし,,False,139.0,0
a5qcj2,acal,70,60代,支障なし,支障なし,有線ヘッドホン,False,54.0,0
a6qs9c,acal,70,30代,支障なし,多少ある（聞き返すことがある等）,有線ヘッドホン,False,60.0,0
a9d6cq,acal,70,30代,支障なし,支障なし,スピーカー,True,61.0,1
aetzbt,acal,70,60代,支障なし,支障なし,スピーカー,True,58.0,0
apvegd,aprime,76,40代,支障なし,支障なし,,True,59.0,0
as95xe,aprime,70,50代,支障なし,支障なし,,False,59.0,0
au53mq,acal,70,40代,支障なし,支障なし,スピーカー,False,15.0,0
b5f668,aprime,70,40代,支障なし,多少ある（聞き返すことがある等）,,False,145.0,0
b83gas,acal,70,70代,支障なし,支障なし,有線ヘッドホン,False,60.0,0
b97rk4,acal,70,60代,支障なし,多少ある（聞き返すことがある等）,スピーカー,False,41.0,0
bkwdqn,aprime,70,50代,支障なし,支障なし,,False,13.0,0
bn7cuk,aprime,70,30代,支障なし,支障なし,,False,61.0,0
byaecm,acal,70,60代,支障なし,多少ある（聞き返すことがある等）,スピーカー,False,58.0,0
bycpjd,aprime,70,40代,支障なし,支障なし,,True,28.0,0
c2sgzy,acal,70,40代,支障なし,支障なし,無線,False,41.0,0
c8b6m7,aprime,70,60代,支障なし,支障なし,,False,62.0,0
c93a3f,aprime,70,50代,支障なし,支障なし,,False,45.0,0
c9hg3s,aprime,70,50代,支障なし,支障なし,,False,40.0,0
ca2uap,acal,70,50代,支障なし,多少ある（聞き返すことがある等）,スピーカー,True,52.0,0
cd42kj,acal,70,30代,支障なし,支障なし,無線,False,3.0,0
chvqd3,acal,70,50代,支障なし,支障なし,有線ヘッドホン,False,60.0,0
ckzpvv,aprime,70,40代,支障なし,支障なし,,False,59.0,0
d3njj2,aprime,70,50代,支障なし,支障なし,,True,48.0,0
d6a5m2,aprime,70,50代,支障なし,多少ある（聞き返すことがある等）,,True,55.0,0
d6mkwc,aprime,70,50代,支障なし,支障なし,,False,56.0,0
ddw23c,aprime,70,40代,支障なし,支障なし,,False,143.0,0
dp8m84,aprime,70,30代,支障なし,支障なし,,False,45.0,0
drfmr9,aprime,70,60代,支障なし,支障なし,,True,54.0,0
ds9kv4,acal,70,40代,支障なし,支障なし,スピーカー,False,52.0,0
e3kzzw,acal,70,30代,支障なし,支障なし,有線ヘッドホン,True,59.0,0
e693f2,acal,70,50代,支障なし,支障なし,スピーカー,False,57.0,0
e6qnad,aprime,70,40代,支障なし,支障なし,,False,62.0,0
eb86cp,aprime,70,50代,支障なし,支障なし,,True,58.0,0
ekmjen,acal,70,30代,支障なし,支障なし,スピーカー,True,31.0,0
engs37,aprime,70,40代,支障なし,支障なし,,False,63.0,0
ewumqe,acal,70,40代,支障なし,支障なし,スピーカー,False,147.0,0
f35era,aprime,70,50代,支障なし,支障なし,,False,28.0,0
f7w3mj,acal,70,,支障なし,多少ある（聞き返すことがある等）,スピーカー,True,50.0,0
f92ss3,aprime,70,60代,多少ある（時々読み間違える等）,多少ある（聞き返すことがある等）,,True,59.0,0
f93un7,aprime,70,40代,支障なし,支障なし,,False,93.0,0
fcyebr,aprime,70,50代,支障なし,支障なし,,False,60.0,0
fhp9ka,acal,70,40代,支障なし,多少ある（聞き返すことがある等）,スピーカー,True,60.0,0
fnwvgc,acal,70,40代,支障なし,多少ある（聞き返すことがある等）,スピーカー,False,59.0,0
fwdmdk,aprime,70,40代,支障なし,支障なし,,True,49.0,0
g43u6b,acal,70,50代,支障なし,支障なし,スピーカー,True,46.0,0
g4sjcn,aprime,70,30代,支障なし,支障なし,,False,47.0,0
g6m26m,aprime,70,50代,支障なし,支障なし,,False,55.0,0
gc93re,aprime,70,40代,支障なし,支障なし,,False,61.0,0
gu66cu,aprime,70,30代,支障なし,支障なし,,True,18.0,0
hajetz,aprime,70,40代,支障なし,支障なし,,False,59.0,0
hbbxeq,aprime,70,50代,支障なし,支障なし,,False,59.0,0
hd3vd2,acal,70,50代,支障なし,支障なし,有線ヘッドホン,False,51.0,0
hjkrzz,acal,70,50代,支障なし,支障なし,有線ヘッドホン,False,59.0,0
hk7uhn,acal,70,70代,支障なし,支障なし,有線ヘッドホン,False,54.0,0
hkvvyw,aprime,70,50代,支障なし,支障なし,,True,81.0,0
hm7acs,aprime,70,60代,支障なし,支障なし,,True,56.0,0
hq3ejg,aprime,70,50代,支障なし,支障なし,,False,61.0,0
j9978y,aprime,70,40代,支障なし,支障なし,,False,56.0,0
jav5yw,aprime,74,20代,支障なし,支障なし,,False,46.0,0
jbwvsd,acal,70,50代,支障なし,支障なし,スピーカー,False,61.0,0
jg5nrv,aprime,70,30代,支障なし,多少ある（聞き返すことがある等）,,False,113.0,0
jmekpv,aprime,70,60代,支障なし,支障なし,,False,54.0,0
jp3rmj,acal,70,40代,支障なし,支障なし,スピーカー,True,44.0,0
jpfj42,aprime,70,50代,支障なし,支障なし,,True,48.0,0
jpr258,aprime,70,40代,支障なし,支障なし,,True,44.0,0
jv7cuy,aprime,70,30代,支障なし,支障なし,,False,24.0,0
k2nsvt,acal,70,70代,支障なし,支障なし,スピーカー,True,50.0,0
k2ttdg,acal,70,50代,支障なし,支障なし,スピーカー,False,28.0,0
k9xc6y,acal,70,40代,支障なし,多少ある（聞き返すことがある等）,有線ヘッドホン,False,61.0,0
kafz4v,acal,70,50代,支障なし,支障なし,無線,True,59.0,0
kknqsj,aprime,70,50代,支障なし,支障なし,,False,51.0,0
knrp78,acal,70,50代,支障なし,支障なし,スピーカー,False,60.0,0
knxs5x,acal,70,60代,支障なし,支障なし,スピーカー,False,20.0,0
kyxtgp,acal,70,50代,支障なし,支障なし,有線ヘッドホン,False,59.0,0
mfyd2r,acal,70,50代,支障なし,支障なし,スピーカー,False,50.0,0
mg3gwq,aprime,70,40代,支障なし,支障なし,,True,0.0,0
mh4c5m,aprime,70,50代,支障なし,支障なし,,False,61.0,0
mktztw,aprime,70,60代,支障なし,支障なし,,False,42.0,0
n93sbh,aprime,70,40代,支障なし,支障なし,,True,42.0,0
nmkmeb,acal,70,60代,支障なし,支障なし,スピーカー,False,43.0,1
nrtm2p,aprime,70,50代,支障なし,支障なし,,False,198.0,0
nvauv9,aprime,70,40代,支障なし,支障なし,,False,59.0,0
nymbz3,aprime,70,50代,支障なし,支障なし,,True,56.0,0
nzhjha,acal,70,60代,支障なし,支障なし,スピーカー,False,57.0,0
nzy2gx,acal,70,60代,支障なし,支障なし,スピーカー,True,112.0,0
p2mgd9,acal,70,50代,支障なし,支障なし,無線,False,63.0,0
p32zj8,acal,70,40代,支障なし,支障なし,無線,True,59.0,0
p6jw45,acal,70,50代,支障なし,支障なし,有線ヘッドホン,False,112.0,0
padjyj,aprime,70,60代,支障なし,支障なし,,False,59.0,0
pc7z98,acal,70,50代,支障なし,支障なし,無線,False,29.0,0
pnqzzt,aprime,70,60代,支障なし,支障なし,,False,61.0,0
prjd7d,acal,70,20代,支障なし,支障なし,有線ヘッドホン,False,59.0,0
pzuk5w,aprime,70,50代,支障なし,支障なし,,False,35.0,0
q4bd7u,aprime,70,70代,支障なし,支障なし,,False,61.0,0
q4qegr,aprime,70,40代,支障なし,支障なし,,True,63.0,0
qd5kya,aprime,70,50代,支障なし,支障なし,,False,56.0,0
qd5ryd,aprime,70,50代,支障なし,多少ある（聞き返すことがある等）,,True,60.0,0
qduaw3,aprime,70,40代,支障なし,支障なし,,False,41.0,0
qk8f4m,aprime,70,50代,支障なし,支障なし,,False,59.0,0
qmnmvu,acal,70,30代,支障なし,支障なし,スピーカー,False,55.0,0
qnza2n,aprime,70,40代,支障なし,支障なし,,True,53.0,0
qqjdev,aprime,70,40代,支障なし,支障なし,,True,47.0,0
qsc3hu,aprime,70,40代,支障なし,支障なし,,False,57.0,0
qtpk66,aprime,70,50代,支障なし,支障なし,,False,44.0,0
qy555z,acal,70,70代,支障なし,支障なし,スピーカー,True,89.0,0
r7zmkx,aprime,70,30代,支障なし,多少ある（聞き返すことがある等）,,False,4.0,0
r8vtwa,aprime,70,40代,支障なし,支障なし,,False,16.0,0
rfut85,aprime,70,60代,支障なし,支障なし,,True,62.0,0
rh7qmb,aprime,70,50代,支障なし,支障なし,,False,54.0,0
rhamzs,acal,70,50代,支障なし,多少ある（聞き返すことがある等）,有線ヘッドホン,False,59.0,0
rhvfqu,aprime,70,40代,支障なし,支障なし,,False,58.0,0
rmdh8u,aprime,70,30代,支障なし,支障なし,,True,55.0,0
rmw3du,aprime,70,40代,支障なし,多少ある（聞き返すことがある等）,,True,56.0,0
s2gceg,aprime,70,50代,多少ある（時々読み間違える等）,支障なし,,False,61.0,0
s79ufd,aprime,70,60代,支障なし,支障なし,,True,59.0,0
s7zuf5,acal,70,50代,支障なし,支障なし,スピーカー,False,56.0,0
sdafbg,aprime,70,30代,支障なし,支障なし,,False,61.0,0
sqmhr5,acal,70,50代,支障なし,支障なし,スピーカー,False,35.0,0
ssjpd2,aprime,70,50代,支障なし,支障なし,,True,47.0,0
stpnn6,acal,70,50代,多少ある（時々読み間違える等）,多少ある（聞き返すことがある等）,スピーカー,False,123.0,0
stsvsb,acal,70,40代,支障なし,支障なし,スピーカー,False,61.0,0
t26s69,acal,70,30代,支障なし,支障なし,有線ヘッドホン,False,59.0,0
t4njfp,aprime,70,50代,支障なし,支障なし,,True,61.0,0
tapugz,aprime,70,30代,支障なし,支障なし,,True,58.0,0
tcqe4q,aprime,73,40代,支障なし,支障なし,,混在,46.0,0
tepma2,aprime,70,30代,支障なし,支障なし,,True,59.0,0
u3nzyb,acal,70,40代,支障なし,支障なし,スピーカー,False,30.0,0
u7bqp9,aprime,70,50代,支障なし,支障なし,,False,60.0,0
u7wxm2,aprime,70,50代,支障なし,支障なし,,False,53.0,0
u8gh9x,acal,70,60代,支障なし,支障なし,スピーカー,False,56.0,0
uaxyfq,acal,70,70代,支障なし,多少ある（聞き返すことがある等）,スピーカー,True,57.0,0
us7gp5,aprime,70,40代,支障なし,支障なし,,True,48.0,0
uuc8qp,acal,70,60代,支障なし,支障なし,スピーカー,False,58.0,0
ux3hkt,aprime,70,70代,多少ある（時々読み間違える等）,多少ある（聞き返すことがある等）,,False,61.0,0
uyzjrv,aprime,70,40代,支障なし,支障なし,,False,60.0,0
v89wqq,aprime,70,50代,支障なし,支障なし,,False,56.0,0
vbpzrr,aprime,70,50代,支障なし,支障なし,,False,113.0,0
vfr63t,aprime,70,70代,支障なし,支障なし,,False,58.0,0
vfrz3y,aprime,70,50代,支障なし,支障なし,,True,55.0,0
vmqrps,aprime,70,50代,支障なし,支障なし,,False,60.0,0
w26tp5,aprime,70,50代,支障なし,支障なし,,True,51.0,0
w9h9rb,aprime,70,50代,支障なし,支障なし,,False,58.0,0
w9nt9r,aprime,70,50代,支障なし,支障なし,,True,53.0,0
weq9mp,aprime,70,40代,支障なし,多少ある（聞き返すことがある等）,,False,58.0,0
wmqha6,aprime,70,70代,支障なし,支障なし,,False,61.0,0
wnudsp,acal,70,40代,支障なし,支障なし,スピーカー,True,31.0,0
wrtbj8,aprime,69,30代,支障なし,支障なし,,False,59.0,0
wtg78p,aprime,70,50代,支障なし,支障なし,,True,52.0,0
wu85fb,aprime,70,20代,支障なし,支障なし,,False,61.0,0
wuk8ch,aprime,70,50代,支障なし,支障なし,,False,17.0,0
wvfpha,acal,70,40代,支障なし,多少ある（聞き返すことがある等）,有線ヘッドホン,True,45.0,0
wx6xru,acal,70,50代,支障なし,支障なし,スピーカー,False,57.0,0
wzhchf,aprime,70,40代,支障なし,支障なし,,False,60.0,0
x4se3h,aprime,70,50代,支障なし,支障なし,,False,57.0,0
x6veqf,acal,70,40代,支障なし,支障なし,スピーカー,True,45.0,0
x9q6n8,aprime,70,60代,支障なし,支障なし,,False,58.0,0
xd8tnb,acal,70,60代,支障なし,多少ある（聞き返すことがある等）,スピーカー,False,57.0,0
xf5bm3,aprime,70,40代,支障なし,支障なし,,True,59.0,0
xjvrwa,acal,70,40代,支障なし,支障なし,有線ヘッドホン,False,60.0,0
xmy87q,acal,70,60代,支障なし,支障なし,スピーカー,False,19.0,0
xsv5b9,acal,70,40代,支障なし,支障なし,スピーカー,False,61.0,0
xwpvu7,aprime,70,40代,支障なし,支障なし,,False,142.0,0
xxpgbq,aprime,70,30代,支障なし,支障なし,,True,53.0,0
