dimension,group,family,level_ms,n_correct,n_trials,accuracy
type,dakuon,,10.0,2,127,0.0157
type,dakuon,,15.0,1,30,0.0333
type,dakuon,,20.0,1,76,0.0132
type,dakuon,,25.0,3,111,0.027
type,dakuon,,30.0,1,43,0.0233
type,dakuon,,35.0,4,88,0.0455
type,dakuon,,40.0,1,23,0.0435
type,dakuon,,45.0,4,74,0.0541
type,dakuon,,50.0,4,44,0.0909
type,dakuon,,55.0,4,50,0.08
type,dakuon,,60.0,11,54,0.2037
type,dakuon,,65.0,2,17,0.1176
type,dakuon,,70.0,3,13,0.2308
type,dakuon,,75.0,2,26,0.0769
type,dakuon,,80.0,7,42,0.1667
type,dakuon,,85.0,5,25,0.2
type,dakuon,,90.0,6,19,0.3158
type,dakuon,,95.0,0,4,0.0
type,dakuon,,100.0,2,13,0.1538
type,dakuon,,105.0,5,10,0.5
type,handakuon,,10.0,0,31,0.0
type,handakuon,,15.0,3,22,0.1364
type,handakuon,,20.0,0,7,0.0
type,handakuon,,25.0,5,27,0.1852
type,handakuon,,30.0,4,23,0.1739
type,handakuon,,35.0,4,11,0.3636
type,handakuon,,40.0,3,19,0.1579
type,handakuon,,45.0,0,9,0.0
type,handakuon,,50.0,4,22,0.1818
type,handakuon,,55.0,1,10,0.1
type,handakuon,,65.0,6,10,0.6
type,handakuon,,70.0,1,5,0.2
type,handakuon,,75.0,0,8,0.0
type,handakuon,,90.0,1,8,0.125
type,seion,,10.0,22,248,0.0887
type,seion,,15.0,10,35,0.2857
type,seion,,20.0,32,102,0.3137
type,seion,,25.0,38,147,0.2585
type,seion,,30.0,11,71,0.1549
type,seion,,35.0,42,148,0.2838
type,seion,,40.0,23,105,0.219
type,seion,,45.0,49,108,0.4537
type,seion,,50.0,34,99,0.3434
type,seion,,55.0,17,44,0.3864
type,seion,,60.0,65,118,0.5508
type,seion,,65.0,26,47,0.5532
type,seion,,70.0,40,69,0.5797
type,seion,,75.0,20,58,0.3448
type,seion,,80.0,37,60,0.6167
type,seion,,85.0,28,40,0.7
type,seion,,90.0,26,57,0.4561
type,seion,,95.0,33,42,0.7857
type,seion,,100.0,12,13,0.9231
type,seion,,110.0,11,13,0.8462
type,seion,,115.0,33,36,0.9167
type,seion,,120.0,8,14,0.5714
type,seion,,125.0,24,31,0.7742
type,seion,,130.0,9,10,0.9
type,seion,,135.0,6,8,0.75
type,seion,,150.0,11,12,0.9167
gyou,あ,,10.0,7,26,0.2692
gyou,あ,,15.0,7,18,0.3889
gyou,あ,,20.0,23,28,0.8214
gyou,あ,,25.0,22,27,0.8148
gyou,あ,,35.0,21,25,0.84
gyou,あ,,45.0,25,32,0.7812
gyou,あ,,60.0,19,21,0.9048
gyou,あ,,85.0,7,7,1.0
gyou,か,,10.0,10,56,0.1786
gyou,か,,15.0,3,17,0.1765
gyou,か,,20.0,5,47,0.1064
gyou,か,,25.0,12,49,0.2449
gyou,か,,30.0,1,10,0.1
gyou,か,,35.0,11,54,0.2037
gyou,か,,40.0,4,6,0.6667
gyou,か,,45.0,7,19,0.3684
gyou,か,,50.0,4,26,0.1538
gyou,か,,55.0,4,9,0.4444
gyou,か,,60.0,12,35,0.3429
