dimension,group,family,level_pct,n_correct,n_trials,accuracy
type,dakuon,blur,26.0,12,54,0.2222
type,dakuon,blur,38.0,14,58,0.2414
type,dakuon,blur,48.0,25,61,0.4098
type,dakuon,blur,56.0,28,59,0.4746
type,dakuon,blur,64.0,40,54,0.7407
type,dakuon,blur,72.0,53,61,0.8689
type,dakuon,blur,84.0,46,52,0.8846
type,dakuon,blur,100.0,68,69,0.9855
type,dakuon,fade,0.4,1,63,0.0159
type,dakuon,fade,0.8,2,48,0.0417
type,dakuon,fade,1.4,25,60,0.4167
type,dakuon,fade,2.2,31,55,0.5636
type,dakuon,fade,3.5,42,52,0.8077
type,dakuon,fade,6.0,56,60,0.9333
type,dakuon,fade,12.0,43,47,0.9149
type,dakuon,fade,100.0,54,56,0.9643
type,dakuon,reveal,0.1,0,74,0.0
type,dakuon,reveal,0.3,2,56,0.0357
type,dakuon,reveal,0.5,1,66,0.0152
type,dakuon,reveal,1.0,12,75,0.16
type,dakuon,reveal,2.0,21,56,0.375
type,dakuon,reveal,4.0,44,66,0.6667
type,dakuon,reveal,9.0,63,66,0.9545
type,dakuon,reveal,100.0,61,61,1.0
type,dakuon,wipe,0.5,0,62,0.0
type,dakuon,wipe,1.0,0,48,0.0
type,dakuon,wipe,2.0,0,50,0.0
type,dakuon,wipe,4.0,0,66,0.0
type,dakuon,wipe,8.0,0,43,0.0
type,dakuon,wipe,14.0,0,59,0.0
type,dakuon,wipe,25.0,0,57,0.0
type,dakuon,wipe,100.0,44,45,0.9778
type,handakuon,blur,26.0,3,13,0.2308
type,handakuon,blur,38.0,3,10,0.3
type,handakuon,blur,48.0,4,12,0.3333
type,handakuon,blur,56.0,4,8,0.5
type,handakuon,blur,64.0,3,11,0.2727
type,handakuon,blur,72.0,7,14,0.5
type,handakuon,blur,84.0,8,9,0.8889
type,handakuon,blur,100.0,9,10,0.9
type,handakuon,fade,0.4,1,15,0.0667
type,handakuon,fade,0.8,1,18,0.0556
type,handakuon,fade,1.4,3,10,0.3
type,handakuon,fade,2.2,12,18,0.6667
type,handakuon,fade,3.5,15,16,0.9375
type,handakuon,fade,6.0,9,10,0.9
type,handakuon,fade,12.0,18,19,0.9474
type,handakuon,fade,100.0,14,14,1.0
type,handakuon,reveal,0.1,0,11,0.0
type,handakuon,reveal,0.3,0,12,0.0
type,handakuon,reveal,0.5,0,18,0.0
type,handakuon,reveal,1.0,0,5,0.0
type,handakuon,reveal,2.0,6,17,0.3529
type,handakuon,reveal,4.0,10,14,0.7143
type,handakuon,reveal,9.0,8,9,0.8889
type,handakuon,reveal,100.0,15,16,0.9375
type,handakuon,wipe,0.5,0,11,0.0
type,handakuon,wipe,1.0,0,9,0.0
type,handakuon,wipe,2.0,0,9,0.0
type,handakuon,wipe,4.0,1,11,0.0909
type,handakuon,wipe,8.0,0,11,0.0
type,handakuon,wipe,14.0,2,9,0.2222
type,handakuon,wipe,25.0,0,12,0.0
type,handakuon,wipe,100.0,7,7,1.0
type,seion,blur,26.0,27,114,0.2368
type,seion,blur,38.0,35,120,0.2917
type,seion,blur,48.0,63,110,0.5727
type,seion,blur,56.0,81,114,0.7105
type,seion,blur,64.0,97,117,0.8291
type,seion,blur,72.0,108,113,0.9558
type,seion,blur,84.0,120,123,0.9756
type,seion,blur,100.0,102,103,0.9903
type,seion,fade,0.4,6,105,0.0571
type,seion,fade,0.8,18,116,0.1552
type,seion,fade,1.4,57,112,0.5089
type,seion,fade,2.2,80,114,0.7018
type,seion,fade,3.5,103,115,0.8957
type,seion,fade,6.0,104,112,0.9286
type,seion,fade,12.0,111,115,0.9652
type,seion,fade,100.0,119,119,1.0
type,seion,reveal,0.1,6,103,0.0583
type,seion,reveal,0.3,11,115,0.0957
type,seion,reveal,0.5,14,96,0.1458
type,seion,reveal,1.0,26,103,0.2524
type,seion,reveal,2.0,70,115,0.6087
type,seion,reveal,4.0,85,103,0.8252
type,seion,reveal,9.0,102,108,0.9444
type,seion,reveal,100.0,102,103,0.9903
type,seion,wipe,0.5,1,111,0.009
type,seion,wipe,1.0,6,124,0.0484
type,seion,wipe,2.0,6,127,0.0472
type,seion,wipe,4.0,8,109,0.0734
type,seion,wipe,8.0,20,127,0.1575
type,seion,wipe,14.0,20,114,0.1754
type,seion,wipe,25.0,45,120,0.375
type,seion,wipe,100.0,126,129,0.9767
gyou,あ,blur,26.0,3,12,0.25
gyou,あ,blur,38.0,4,7,0.5714
gyou,あ,blur,48.0,7,15,0.4667
gyou,あ,blur,56.0,4,8,0.5
gyou,あ,blur,64.0,8,11,0.7273
gyou,あ,blur,72.0,10,12,0.8333
gyou,あ,blur,84.0,7,9,0.7778
gyou,あ,blur,100.0,13,13,1.0
gyou,あ,fade,0.4,1,11,0.0909
gyou,あ,fade,0.8,1,9,0.1111
gyou,あ,fade,1.4,4,7,0.5714
gyou,あ,fade,2.2,9,13,0.6923
gyou,あ,fade,3.5,6,7,0.8571
gyou,あ,fade,6.0,8,9,0.8889
gyou,あ,fade,12.0,12,14,0.8571
gyou,あ,fade,100.0,8,8,1.0
gyou,あ,reveal,0.1,1,18,0.0556
gyou,あ,reveal,0.3,1,20,0.05
gyou,あ,reveal,0.5,2,11,0.1818
gyou,あ,reveal,1.0,5,22,0.2273
gyou,あ,reveal,2.0,7,16,0.4375
gyou,あ,reveal,4.0,14,18,0.7778
gyou,あ,reveal,9.0,19,20,0.95
gyou,あ,reveal,100.0,12,12,1.0
gyou,あ,wipe,0.5,0,16,0.0
gyou,あ,wipe,1.0,0,15,0.0
gyou,あ,wipe,2.0,1,15,0.0667
gyou,あ,wipe,4.0,0,16,0.0
gyou,あ,wipe,8.0,2,11,0.1818
gyou,あ,wipe,14.0,5,19,0.2632
gyou,あ,wipe,25.0,4,15,0.2667
gyou,あ,wipe,100.0,13,13,1.0
gyou,か,blur,26.0,6,22,0.2727
gyou,か,blur,38.0,7,27,0.2593
gyou,か,blur,48.0,17,22,0.7727
gyou,か,blur,56.0,17,25,0.68
gyou,か,blur,64.0,21,25,0.84
gyou,か,blur,72.0,20,21,0.9524
gyou,か,blur,84.0,25,25,1.0
gyou,か,blur,100.0,19,19,1.0
gyou,か,fade,0.4,0,18,0.0
gyou,か,fade,0.8,4,21,0.1905
gyou,か,fade,1.4,7,27,0.2593
gyou,か,fade,2.2,10,15,0.6667
gyou,か,fade,3.5,24,28,0.8571
gyou,か,fade,6.0,19,21,0.9048
gyou,か,fade,12.0,13,15,0.8667
gyou,か,fade,100.0,26,26,1.0
gyou,か,reveal,0.1,0,17,0.0
gyou,か,reveal,0.3,0,19,0.0
gyou,か,reveal,0.5,0,21,0.0
gyou,か,reveal,1.0,4,19,0.2105
gyou,か,reveal,2.0,5,16,0.3125
gyou,か,reveal,4.0,11,15,0.7333
gyou,か,reveal,9.0,23,24,0.9583
gyou,か,reveal,100.0,19,19,1.0
gyou,か,wipe,0.5,0,23,0.0
gyou,か,wipe,1.0,1,24,0.0417
gyou,か,wipe,2.0,2,18,0.1111
gyou,か,wipe,4.0,0,25,0.0
gyou,か,wipe,8.0,3,21,0.1429
gyou,か,wipe,14.0,1,19,0.0526
gyou,か,wipe,25.0,7,26,0.2692
gyou,か,wipe,100.0,15,17,0.8824
gyou,さ,blur,26.0,8,38,0.2105
gyou,さ,blur,38.0,10,26,0.3846
gyou,さ,blur,48.0,13,29,0.4483
gyou,さ,blur,56.0,16,33,0.4848
gyou,さ,blur,64.0,21,29,0.7241
gyou,さ,blur,72.0,31,33,0.9394
gyou,さ,blur,84.0,27,30,0.9
gyou,さ,blur,100.0,27,28,0.9643
gyou,さ,fade,0.4,2,32,0.0625
gyou,さ,fade,0.8,3,20,0.15
gyou,さ,fade,1.4,15,26,0.5769
gyou,さ,fade,2.2,18,30,0.6
gyou,さ,fade,3.5,20,22,0.9091
gyou,さ,fade,6.0,30,31,0.9677
gyou,さ,fade,12.0,23,24,0.9583
gyou,さ,fade,100.0,22,22,1.0
gyou,さ,reveal,0.1,1,32,0.0312
gyou,さ,reveal,0.3,2,26,0.0769
gyou,さ,reveal,0.5,6,36,0.1667
gyou,さ,reveal,1.0,5,27,0.1852
gyou,さ,reveal,2.0,18,33,0.5455
gyou,さ,reveal,4.0,25,34,0.7353
gyou,さ,reveal,9.0,23,24,0.9583
gyou,さ,reveal,100.0,34,35,0.9714
gyou,さ,wipe,0.5,0,24,0.0
gyou,さ,wipe,1.0,0,21,0.0
gyou,さ,wipe,2.0,0,20,0.0
gyou,さ,wipe,4.0,0,27,0.0
gyou,さ,wipe,8.0,0,16,0.0
