dimension,group,family,modality,lambda,mu,sigma,converged,note,n_trials,n_chars
type,dakuon,,audio,0.23514,58.94925,11.43044,True,,889,17
type,handakuon,,audio,0.18239,14.73905,0.26847,True,,212,4
type,seion,,audio,0.89294,59.16712,28.73444,True,,1735,38
gyou,あ,,audio,0.85269,13.56757,3.35608,True,,184,4
gyou,か,,audio,0.6755,56.48542,32.85216,True,,389,8
gyou,さ,,audio,1.0,110.98819,18.45835,True,,435,9
gyou,た,,audio,0.57382,38.05213,10.19487,True,,315,7
gyou,な,,audio,0.81682,56.19861,5.53106,True,,239,5
gyou,は,,audio,0.27738,34.7293,11.17575,True,,746,14
gyou,ま,,audio,0.76986,58.41717,4.34241,True,,170,4
gyou,や,,audio,1.0,69.7907,15.91428,True,,131,3
gyou,ら,,audio,1.0,76.41537,20.35862,True,,188,4
gyou,わ,,audio,0.94444,50.18721,0.28745,True,,39,1
ink_quartile,Q1(画素少),,audio,1.0,100.58017,58.15754,True,,748,15
ink_quartile,Q2,,audio,1.0,82.49866,28.89664,True,,659,14
ink_quartile,Q3,,audio,0.75686,70.53002,20.22917,True,,702,15
ink_quartile,Q4(画素多),,audio,0.76142,61.93041,19.08473,True,,727,15
