dimension,group,family,modality,lambda,mu,sigma,converged,note,n_trials,n_chars
type,dakuon,blur,visual,1.0,52.19058,13.74125,True,,468,19
type,dakuon,fade,visual,0.9246,1.90592,0.53024,True,,441,19
type,dakuon,reveal,visual,0.97617,3.04608,0.91294,True,,520,19
type,dakuon,wipe,visual,0.97778,32.53056,0.1064,True,,430,19
type,handakuon,blur,visual,1.0,63.73916,22.51588,True,,87,4
type,handakuon,fade,visual,0.95383,1.83782,0.42353,True,,120,4
type,handakuon,reveal,visual,0.84615,2.03745,0.0999,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),102,4
type,handakuon,wipe,visual,1.0,52.22985,11.49725,True,,79,4
type,seion,blur,visual,1.0,44.95461,11.34816,True,,914,40
type,seion,fade,visual,0.95737,1.59469,0.52364,True,,908,40
type,seion,reveal,visual,0.95079,1.84204,0.73619,True,,846,40
type,seion,wipe,visual,0.97687,28.71399,8.85733,True,,961,40
gyou,あ,blur,visual,1.0,47.28346,18.72338,True,,87,5
gyou,あ,fade,visual,0.8943,1.48469,0.46791,True,,78,5
gyou,あ,reveal,visual,0.96739,2.42521,0.95709,True,,137,5
gyou,あ,wipe,visual,1.0,30.59344,8.87978,True,,120,5
gyou,か,blur,visual,1.0,43.23176,10.93642,True,,186,8
gyou,か,fade,visual,0.92764,1.8541,0.52347,True,,171,8
gyou,か,reveal,visual,0.97556,2.88078,0.78666,True,,150,8
gyou,か,wipe,visual,0.88318,33.54531,9.27821,True,,173,8
gyou,さ,blur,visual,1.0,49.26185,14.91489,True,,246,9
gyou,さ,fade,visual,0.97233,1.69597,0.6212,True,,207,9
gyou,さ,reveal,visual,0.96078,2.35639,0.98006,True,,247,9
gyou,さ,wipe,visual,1.0,29.99247,4.60763,True,,174,9
gyou,た,blur,visual,1.0,48.37721,6.89656,True,,237,9
gyou,た,fade,visual,0.96022,1.68504,0.37669,True,,207,9
gyou,た,reveal,visual,0.97101,2.24263,0.83471,True,,207,9
gyou,た,wipe,visual,1.0,38.19083,6.20357,True,,207,9
gyou,な,blur,visual,1.0,47.39028,6.58648,True,,115,5
gyou,な,fade,visual,0.97918,1.50111,0.72966,True,,123,5
gyou,な,reveal,visual,0.97127,1.78926,0.53299,True,,91,5
gyou,な,wipe,visual,0.9395,44.81555,15.10549,True,,105,5
gyou,は,blur,visual,1.0,52.13565,18.93379,True,,336,14
gyou,は,fade,visual,0.9493,1.90921,0.60647,True,,366,14
gyou,は,reveal,visual,0.95402,2.94059,0.93972,True,,369,14
gyou,は,wipe,visual,1.0,52.59712,14.75225,True,,322,14
gyou,ま,blur,visual,1.0,49.48758,11.58125,True,,93,4
gyou,ま,fade,visual,0.96737,2.03206,0.65314,True,,101,4
gyou,ま,reveal,visual,0.91911,1.84773,0.41905,True,,90,4
gyou,ま,wipe,visual,1.0,24.45105,0.46296,True,,93,4
gyou,や,blur,visual,1.0,41.60061,7.04047,True,,39,3
gyou,や,fade,visual,0.91196,1.23777,0.0996,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),72,3
gyou,や,reveal,visual,0.95868,1.30715,0.49907,True,,60,3
gyou,や,wipe,visual,1.0,22.49902,3.77542,True,,84,3
gyou,ら,blur,visual,1.0,44.91999,11.98129,True,,91,4
gyou,ら,fade,visual,0.92431,1.30184,0.18235,True,,105,4
gyou,ら,reveal,visual,0.89202,1.08514,0.36335,True,,63,4
gyou,ら,wipe,visual,1.0,29.82042,12.00701,True,,120,4
gyou,わ,blur,visual,1.0,45.72835,14.80628,True,,39,2
gyou,わ,fade,visual,1.0,2.23668,0.6842,True,,39,2
gyou,わ,reveal,visual,1.0,1.6102,0.70378,True,,54,2
gyou,わ,wipe,visual,1.0,47.57048,14.79697,True,,72,2
ink_quartile,Q1(画素少),blur,visual,0.98826,40.24045,10.37496,True,,357,16
ink_quartile,Q1(画素少),fade,visual,0.90886,1.51819,0.35764,True,,384,16
ink_quartile,Q1(画素少),reveal,visual,0.97252,2.12101,0.773,True,,377,16
ink_quartile,Q1(画素少),wipe,visual,1.0,35.8023,8.71596,True,,336,16
ink_quartile,Q2,blur,visual,0.99616,48.3669,13.7707,True,,378,15
ink_quartile,Q2,fade,visual,0.9526,1.54874,0.44178,True,,321,15
ink_quartile,Q2,reveal,visual,0.93717,2.05203,0.85782,True,,382,15
ink_quartile,Q2,wipe,visual,0.97901,35.3702,9.74439,True,,349,15
ink_quartile,Q3,blur,visual,0.99939,52.97512,10.58319,True,,354,16
ink_quartile,Q3,fade,visual,0.98608,1.95807,0.69534,True,,368,16
ink_quartile,Q3,reveal,visual,0.97106,2.69768,0.96472,True,,307,16
ink_quartile,Q3,wipe,visual,0.97634,32.82067,8.12636,True,,367,16
ink_quartile,Q4(画素多),blur,visual,1.0,49.58745,15.44394,True,,380,16
ink_quartile,Q4(画素多),fade,visual,0.96349,1.89917,0.63386,True,,396,16
ink_quartile,Q4(画素多),reveal,visual,0.95404,2.48244,0.783,True,,402,16
ink_quartile,Q4(画素多),wipe,visual,0.96881,37.27727,11.15208,True,,418,16
