modality,char,family,type,level,main_accuracy,main_n,compare_group,decoy_level,decoy_accuracy,decoy_n,level_diff,diff
audio,あ,,seion,10.0,0.0,35,all_decoy,10.0,0.05911,406,0.0,-0.05911
audio,あ,,seion,10.0,0.0,35,same_type_decoy,10.0,0.08871,248,0.0,-0.08871
audio,あ,,seion,20.0,0.75758,33,all_decoy,20.0,0.17838,185,0.0,0.5792
audio,あ,,seion,20.0,0.75758,33,same_type_decoy,20.0,0.31373,102,0.0,0.44385
audio,あ,,seion,30.0,0.9697,33,all_decoy,30.0,0.11679,137,0.0,0.85291
audio,あ,,seion,30.0,0.9697,33,same_type_decoy,30.0,0.15493,71,0.0,0.81477
audio,あ,,seion,35.0,1.0,35,all_decoy,35.0,0.20243,247,0.0,0.79757
audio,あ,,seion,35.0,1.0,35,same_type_decoy,35.0,0.28378,148,0.0,0.71622
audio,あ,,seion,50.0,0.90909,33,all_decoy,50.0,0.25455,165,0.0,0.65455
audio,あ,,seion,50.0,0.90909,33,same_type_decoy,50.0,0.34343,99,0.0,0.56566
audio,あ,,seion,65.0,1.0,34,all_decoy,65.0,0.45946,74,0.0,0.54054
audio,あ,,seion,65.0,1.0,34,same_type_decoy,65.0,0.55319,47,0.0,0.44681
audio,あ,,seion,90.0,0.94118,34,all_decoy,90.0,0.39286,84,0.0,0.54832
audio,あ,,seion,90.0,0.94118,34,same_type_decoy,90.0,0.45614,57,0.0,0.48504
audio,か,,seion,10.0,0.12121,33,all_decoy,10.0,0.05911,406,0.0,0.0621
audio,か,,seion,10.0,0.12121,33,same_type_decoy,10.0,0.08871,248,0.0,0.0325
audio,か,,seion,20.0,0.37143,35,all_decoy,20.0,0.17838,185,0.0,0.19305
audio,か,,seion,20.0,0.37143,35,same_type_decoy,20.0,0.31373,102,0.0,0.0577
audio,か,,seion,25.0,0.51515,33,all_decoy,25.0,0.1614,285,0.0,0.35375
audio,か,,seion,25.0,0.51515,33,same_type_decoy,25.0,0.2585,147,0.0,0.25665
audio,か,,seion,35.0,0.48485,33,all_decoy,35.0,0.20243,247,0.0,0.28242
audio,か,,seion,35.0,0.48485,33,same_type_decoy,35.0,0.28378,148,0.0,0.20106
audio,か,,seion,45.0,0.6,35,all_decoy,45.0,0.27749,191,0.0,0.32251
audio,か,,seion,45.0,0.6,35,same_type_decoy,45.0,0.4537,108,0.0,0.1463
audio,か,,seion,60.0,0.75758,33,all_decoy,60.0,0.44186,172,0.0,0.31572
audio,か,,seion,60.0,0.75758,33,same_type_decoy,60.0,0.55085,118,0.0,0.20673
audio,か,,seion,85.0,0.97059,34,all_decoy,85.0,0.50769,65,0.0,0.4629
audio,か,,seion,85.0,0.97059,34,same_type_decoy,85.0,0.7,40,0.0,0.27059
audio,が,,dakuon,10.0,0.0,34,all_decoy,10.0,0.05911,406,0.0,-0.05911
audio,が,,dakuon,10.0,0.0,34,same_type_decoy,10.0,0.01575,127,0.0,-0.01575
audio,が,,dakuon,20.0,0.0,33,all_decoy,20.0,0.17838,185,0.0,-0.17838
audio,が,,dakuon,20.0,0.0,33,same_type_decoy,20.0,0.01316,76,0.0,-0.01316
audio,が,,dakuon,25.0,0.0,35,all_decoy,25.0,0.1614,285,0.0,-0.1614
audio,が,,dakuon,25.0,0.0,35,same_type_decoy,25.0,0.02703,111,0.0,-0.02703
audio,が,,dakuon,35.0,0.0303,33,all_decoy,35.0,0.20243,247,0.0,-0.17213
audio,が,,dakuon,35.0,0.0303,33,same_type_decoy,35.0,0.04545,88,0.0,-0.01515
audio,が,,dakuon,45.0,0.0,33,all_decoy,45.0,0.27749,191,0.0,-0.27749
