char,gate_ms,n_correct,n_trials,accuracy
い,10,5,7,0.7143
い,15,2,5,0.4
い,20,8,8,1.0
い,25,6,6,1.0
い,35,5,5,1.0
い,45,8,9,0.8889
い,60,5,6,0.8333
い,full,5,5,1.0
う,10,2,11,0.1818
う,15,0,5,0.0
う,20,5,8,0.625
う,25,4,8,0.5
う,35,5,7,0.7143
う,45,7,11,0.6364
う,60,3,4,0.75
う,full,5,9,0.5556
え,10,0,4,0.0
え,20,5,6,0.8333
え,25,7,7,1.0
え,35,6,6,1.0
え,45,6,6,1.0
え,60,5,5,1.0
え,85,7,7,1.0
え,full,7,7,1.0
お,10,0,4,0.0
お,15,5,8,0.625
お,20,5,6,0.8333
お,25,5,6,0.8333
お,35,5,7,0.7143
お,45,4,6,0.6667
お,60,6,6,1.0
お,full,6,8,0.75
き,10,1,6,0.1667
き,15,2,7,0.2857
き,25,2,4,0.5
き,30,1,6,0.1667
き,40,4,6,0.6667
き,50,2,4,0.5
き,70,6,8,0.75
き,full,2,4,0.5
ぎ,10,0,8,0.0
ぎ,20,0,11,0.0
ぎ,25,0,5,0.0
ぎ,35,0,7,0.0
ぎ,45,0,10,0.0
ぎ,60,0,7,0.0
ぎ,80,1,7,0.1429
ぎ,full,1,8,0.125
く,10,1,4,0.25
く,15,1,10,0.1
く,20,1,2,0.5
く,25,2,7,0.2857
く,35,4,9,0.4444
く,45,2,3,0.6667
く,60,3,6,0.5
く,full,4,7,0.5714
ぐ,10,0,9,0.0
ぐ,20,0,9,0.0
ぐ,25,0,10,0.0
ぐ,35,0,9,0.0
ぐ,50,0,10,0.0
ぐ,60,0,8,0.0
ぐ,85,0,8,0.0
ぐ,full,0,9,0.0
け,10,1,9,0.1111
け,20,0,5,0.0
け,25,0,7,0.0
け,35,0,8,0.0
け,45,1,2,0.5
け,55,4,9,0.4444
け,80,8,8,1.0
け,full,3,3,1.0
げ,10,0,5,0.0
げ,20,0,7,0.0
げ,25,0,8,0.0
げ,35,1,7,0.1429
げ,50,1,5,0.2
げ,60,2,5,0.4
げ,85,4,9,0.4444
げ,full,1,5,0.2
こ,10,7,10,0.7
こ,20,4,5,0.8
こ,25,8,8,1.0
こ,35,6,8,0.75
こ,45,4,4,1.0
こ,60,7,9,0.7778
こ,85,7,8,0.875
こ,full,5,5,1.0
ご,10,0,5,0.0
ご,20,0,8,0.0
ご,30,0,4,0.0
ご,35,0,6,0.0
ご,50,1,7,0.1429
ご,65,2,6,0.3333
ご,90,2,7,0.2857
ご,full,2,5,0.4
さ,10,0,9,0.0
さ,40,0,4,0.0
さ,60,0,4,0.0
さ,75,0,9,0.0
さ,95,0,2,0.0
さ,120,5,5,1.0
さ,150,8,8,1.0
さ,full,1,1,1.0
ざ,10,0,5,0.0
ざ,25,0,9,0.0
ざ,35,0,10,0.0
ざ,45,0,5,0.0
ざ,60,2,12,0.1667
ざ,80,2,6,0.3333
ざ,105,5,10,0.5
ざ,full,6,12,0.5
じ,10,0,11,0.0
じ,25,0,7,0.0
じ,30,0,5,0.0
じ,40,0,11,0.0
じ,50,0,7,0.0
じ,70,1,7,0.1429
じ,90,1,7,0.1429
じ,full,0,8,0.0
す,10,0,8,0.0
す,30,1,8,0.125
す,40,0,10,0.0
す,50,5,10,0.5
す,60,1,5,0.2
す,75,0,11,0.0
す,90,5,10,0.5
す,full,1,7,0.1429
ず,10,1,5,0.2
ず,25,0,9,0.0
ず,35,0,6,0.0
ず,45,0,5,0.0
ず,55,0,7,0.0
ず,75,0,5,0.0
ず,100,1,9,0.1111
ず,full,0,5,0.0
せ,10,0,6,0.0
せ,40,0,8,0.0
せ,55,0,8,0.0
せ,70,0,9,0.0
せ,85,1,5,0.2
せ,110,6,7,0.8571
せ,135,6,8,0.75
