char,family,axis,level,n_correct,n_trials,accuracy
い,blur,progress_pct,26.0,0,1,0.0
い,blur,progress_pct,38.0,1,1,1.0
い,blur,progress_pct,48.0,2,2,1.0
い,blur,progress_pct,56.0,1,1,1.0
い,blur,progress_pct,72.0,2,2,1.0
い,blur,progress_pct,84.0,1,1,1.0
い,blur,progress_pct,100.0,1,1,1.0
い,fade,progress_pct,0.4,1,2,0.5
い,fade,progress_pct,0.8,0,1,0.0
い,fade,progress_pct,2.2,2,2,1.0
い,fade,progress_pct,3.5,1,1,1.0
い,fade,progress_pct,6.0,2,2,1.0
い,fade,progress_pct,12.0,1,1,1.0
い,reveal,progress_pct,0.1,1,5,0.2
い,reveal,progress_pct,0.25,0,7,0.0
い,reveal,progress_pct,0.5,1,3,0.3333
い,reveal,progress_pct,1.0,0,5,0.0
い,reveal,progress_pct,2.0,5,8,0.625
い,reveal,progress_pct,4.0,5,5,1.0
い,reveal,progress_pct,9.0,4,4,1.0
い,reveal,progress_pct,100.0,5,5,1.0
い,wipe,progress_pct,0.5,0,2,0.0
い,wipe,progress_pct,1.0,0,3,0.0
い,wipe,progress_pct,2.0,0,1,0.0
い,wipe,progress_pct,4.0,0,4,0.0
い,wipe,progress_pct,14.0,1,1,1.0
い,wipe,progress_pct,25.0,2,4,0.5
う,blur,progress_pct,26.0,0,1,0.0
う,blur,progress_pct,38.0,1,1,1.0
う,blur,progress_pct,48.0,1,1,1.0
う,blur,progress_pct,56.0,0,1,0.0
う,blur,progress_pct,64.0,2,2,1.0
う,blur,progress_pct,84.0,1,1,1.0
う,blur,progress_pct,100.0,2,2,1.0
う,fade,progress_pct,0.4,0,3,0.0
う,fade,progress_pct,0.8,0,3,0.0
う,fade,progress_pct,1.4,1,2,0.5
う,fade,progress_pct,2.2,3,4,0.75
う,fade,progress_pct,3.5,1,1,1.0
う,fade,progress_pct,6.0,1,2,0.5
う,fade,progress_pct,12.0,5,5,1.0
う,fade,progress_pct,100.0,1,1,1.0
う,reveal,progress_pct,0.1,0,2,0.0
う,reveal,progress_pct,0.25,0,3,0.0
う,reveal,progress_pct,0.5,1,3,0.3333
う,reveal,progress_pct,1.0,0,2,0.0
う,reveal,progress_pct,2.0,0,3,0.0
う,reveal,progress_pct,4.0,2,3,0.6667
う,reveal,progress_pct,9.0,3,3,1.0
う,reveal,progress_pct,100.0,4,4,1.0
う,wipe,progress_pct,0.5,0,3,0.0
う,wipe,progress_pct,1.0,0,6,0.0
う,wipe,progress_pct,2.0,0,1,0.0
う,wipe,progress_pct,4.0,0,6,0.0
う,wipe,progress_pct,8.0,0,4,0.0
う,wipe,progress_pct,14.0,0,2,0.0
う,wipe,progress_pct,25.0,1,5,0.2
う,wipe,progress_pct,100.0,3,3,1.0
え,blur,progress_pct,26.0,0,4,0.0
え,blur,progress_pct,38.0,1,2,0.5
え,blur,progress_pct,48.0,3,8,0.375
え,blur,progress_pct,56.0,0,1,0.0
え,blur,progress_pct,64.0,2,4,0.5
え,blur,progress_pct,72.0,6,6,1.0
え,blur,progress_pct,84.0,2,3,0.6667
え,blur,progress_pct,100.0,5,5,1.0
え,fade,progress_pct,0.4,0,2,0.0
え,fade,progress_pct,1.4,1,2,0.5
え,fade,progress_pct,2.2,1,2,0.5
え,fade,progress_pct,3.5,1,1,1.0
え,fade,progress_pct,6.0,2,2,1.0
え,fade,progress_pct,12.0,0,1,0.0
え,fade,progress_pct,100.0,2,2,1.0
え,reveal,progress_pct,0.1,0,5,0.0
え,reveal,progress_pct,0.25,1,2,0.5
え,reveal,progress_pct,0.5,0,3,0.0
え,reveal,progress_pct,1.0,5,6,0.8333
え,reveal,progress_pct,2.0,1,1,1.0
え,reveal,progress_pct,4.0,5,5,1.0
え,reveal,progress_pct,9.0,3,3,1.0
え,reveal,progress_pct,100.0,2,2,1.0
え,wipe,progress_pct,0.5,0,3,0.0
え,wipe,progress_pct,2.0,0,3,0.0
え,wipe,progress_pct,4.0,0,2,0.0
え,wipe,progress_pct,8.0,0,1,0.0
え,wipe,progress_pct,14.0,1,3,0.3333
え,wipe,progress_pct,25.0,1,1,1.0
え,wipe,progress_pct,100.0,2,2,1.0
お,blur,progress_pct,26.0,2,4,0.5
お,blur,progress_pct,38.0,1,1,1.0
お,blur,progress_pct,48.0,1,2,0.5
お,blur,progress_pct,56.0,2,4,0.5
お,blur,progress_pct,64.0,3,3,1.0
お,blur,progress_pct,72.0,1,1,1.0
お,blur,progress_pct,84.0,3,3,1.0
お,blur,progress_pct,100.0,3,3,1.0
お,fade,progress_pct,0.4,0,1,0.0
お,fade,progress_pct,0.8,1,1,1.0
お,fade,progress_pct,1.4,0,1,0.0
お,fade,progress_pct,2.2,1,1,1.0
お,fade,progress_pct,3.5,1,1,1.0
お,fade,progress_pct,6.0,1,1,1.0
お,fade,progress_pct,12.0,2,2,1.0
お,fade,progress_pct,100.0,1,1,1.0
お,reveal,progress_pct,0.1,0,5,0.0
お,reveal,progress_pct,0.25,0,3,0.0
お,reveal,progress_pct,0.5,0,1,0.0
