char,gyou,type,ink_pixels,ink_quartile,gamma,lambda,mu,sigma,converged,n_trials,note,lambda_observed_full,n_full
い,あ,seion,5463,Q1(画素少),0.01471,0.92744,7.56611,4.53072,True,46,,1.0,5
う,あ,seion,5459,Q1(画素少),0.01471,0.68235,17.08617,4.61714,True,54,,0.55556,9
え,あ,seion,6891,Q2,0.01471,1.0,19.58903,0.25821,True,41,,1.0,7
お,あ,seion,9253,Q4(画素多),0.01471,0.80645,14.69985,0.24748,True,43,,0.75,8
き,か,seion,7997,Q3,0.01471,0.85833,34.07317,19.28103,True,41,推定λとfull実測が0.36ポイント食い違う,0.5,4
ぎ,か,dakuon,8662,Q4(画素多),0.01471,0.14286,78.07576,0.07,True,55,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λ(0.14)・full実測(0.12)とも低い: 刺激不良の疑い,0.125,8
く,か,seion,4433,Q1(画素少),0.01471,0.56527,22.77944,9.56115,True,41,,0.57143,7
ぐ,か,dakuon,5420,Q1(画素少),0.01471,0.0,-5.12008,0.075,True,63,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λ(0.00)・full実測(0.00)とも低い: 刺激不良の疑い,0.0,9
け,か,seion,7032,Q2,0.01471,1.0,55.12468,5.46419,True,48,,1.0,3
げ,か,dakuon,7888,Q3,0.01471,0.43887,47.14462,6.79302,True,46,推定λ(0.44)・full実測(0.20)とも低い: 刺激不良の疑い,0.2,5
こ,か,seion,4666,Q1(画素少),0.01471,0.85797,6.07181,2.68435,True,52,,1.0,5
ご,か,dakuon,5352,Q1(画素少),0.01471,0.30769,50.18187,0.72278,True,43,推定λ(0.31)・full実測(0.40)とも低い: 刺激不良の疑い,0.4,5
さ,さ,seion,6465,Q2,0.01471,1.0,105.25078,0.14,True,41,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
ざ,さ,dakuon,7282,Q2,0.01471,0.4375,60.3887,0.67255,True,57,推定λ(0.44)だけ低い(full実測0.50): 当てはめの問題の疑い,0.5,12
じ,さ,dakuon,5868,Q1(画素少),0.01471,0.14286,58.81721,0.08,True,55,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λ(0.14)・full実測(0.00)とも低い: 刺激不良の疑い,0.0,8
す,さ,seion,7531,Q2,0.01471,0.30556,45.07723,0.08,True,62,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λ(0.31)・full実測(0.14)とも低い: 刺激不良の疑い,0.14286,7
ず,さ,dakuon,8326,Q3,0.01471,0.11111,89.95086,0.09,True,46,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λ(0.11)・full実測(0.00)とも低い: 刺激不良の疑い,0.0,5
せ,さ,seion,8161,Q3,0.01471,0.8,85.8481,0.72179,True,51,推定λとfull実測が0.20ポイント食い違う,1.0,6
ぜ,さ,dakuon,8870,Q4(画素多),0.01471,0.45455,54.794,0.21314,True,37,推定λ(0.45)だけ低い(full実測0.60): 当てはめの問題の疑い,0.6,5
そ,さ,seion,7450,Q2,0.01471,0.75,121.18083,1.08534,True,34,推定λとfull実測が0.75ポイント食い違う,0.0,5
ぞ,さ,dakuon,8187,Q3,0.01471,0.25,80.55271,0.62291,True,52,推定λ(0.25)・full実測(0.20)とも低い: 刺激不良の疑い,0.2,5
た,た,seion,7380,Q2,0.01471,0.92857,30.85858,0.47347,True,49,,0.875,8
だ,た,dakuon,8151,Q3,0.01471,0.0,42.07894,0.085,True,54,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λ(0.00)・full実測(0.11)とも低い: 刺激不良の疑い,0.11111,9
ち,た,seion,7550,Q3,0.01471,1.0,33.91397,17.09648,True,43,,1.0,5
て,た,seion,5365,Q1(画素少),0.01471,0.72241,32.00583,5.1934,True,46,推定λとfull実測が0.15ポイント食い違う,0.875,8
で,た,dakuon,6273,Q1(画素少),0.01471,0.375,45.09366,0.11445,True,37,推定λ(0.38)だけ低い(full実測0.62): 当てはめの問題の疑い,0.625,8
と,た,seion,5959,Q1(画素少),0.01471,0.57315,24.80704,4.71583,True,39,,0.44444,9
ど,た,dakuon,6724,Q2,0.01471,0.20033,74.52544,0.07492,True,47,推定λ(0.20)・full実測(0.00)とも低い: 刺激不良の疑い,0.0,10
な,な,seion,8289,Q3,0.01471,0.79088,58.12306,4.7309,True,41,推定λとfull実測が0.21ポイント食い違う,1.0,7
に,な,seion,6145,Q1(画素少),0.01471,0.83333,49.71078,0.38354,True,54,,0.75,12
ぬ,な,seion,10715,Q4(画素多),0.01471,0.87632,53.81141,5.61399,True,57,,0.77778,9
ね,な,seion,9726,Q4(画素多),0.01471,0.8,69.25158,0.38885,True,46,推定λとfull実測が0.16ポイント食い違う,0.63636,11
の,な,seion,8757,Q4(画素多),0.01471,0.72739,63.55231,1.91147,True,41,,0.71429,7
は,は,seion,9297,Q4(画素多),0.01471,1.0,34.18712,17.02022,True,58,,0.875,8
ば,は,dakuon,10213,Q4(画素多),0.01471,0.11765,17.94043,0.065,True,48,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λ(0.12)・full実測(0.00)とも低い: 刺激不良の疑い,0.0,6
