char,family,gyou,type,ink_pixels,ink_quartile,gamma,lambda,mu,sigma,converged,n_trials,note,lambda_observed_full,n_full
い,blur,あ,seion,5463,Q1(画素少),0.01389,1.0,29.84688,0.074,True,9,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
い,fade,あ,seion,5463,Q1(画素少),0.01389,1.0,0.82056,0.47531,True,9,full実測データなし,,0
い,reveal,あ,seion,5463,Q1(画素少),0.01389,1.0,1.78637,0.55869,True,42,,1.0,5
い,wipe,あ,seion,5463,Q1(画素少),0.01389,0.6,6.57579,0.0245,True,15,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
う,blur,あ,seion,5459,Q1(画素少),0.01389,0.875,35.04886,0.074,True,9,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
う,fade,あ,seion,5459,Q1(画素少),0.01389,0.84641,1.369,0.0996,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.15ポイント食い違う,1.0,1
う,reveal,あ,seion,5459,Q1(画素少),0.01389,1.0,3.60088,1.02614,True,23,,1.0,4
う,wipe,あ,seion,5459,Q1(画素少),0.01389,1.0,25.14521,0.09958,True,30,,1.0,3
え,blur,あ,seion,6891,Q2,0.01389,1.0,56.09406,12.4585,True,33,,1.0,5
え,fade,あ,seion,6891,Q2,0.01389,1.0,3.94961,15.91263,True,12,,1.0,2
え,reveal,あ,seion,6891,Q2,0.01389,1.0,0.73208,0.18742,True,27,,1.0,2
え,wipe,あ,seion,6891,Q2,0.01389,1.0,14.0733,0.09963,True,15,,1.0,2
お,blur,あ,seion,9253,Q4(画素多),0.01389,1.0,32.47476,18.54386,True,21,,1.0,3
お,fade,あ,seion,9253,Q4(画素多),0.01389,1.0,1.18373,0.59806,True,9,,1.0,1
お,reveal,あ,seion,9253,Q4(画素多),0.01389,1.0,3.76143,0.86846,True,27,,1.0,1
お,wipe,あ,seion,9253,Q4(画素多),0.01389,1.0,18.24039,10.90315,True,27,,1.0,6
き,blur,か,seion,7997,Q3,0.01389,1.0,56.84282,7.36319,True,15,,1.0,2
き,fade,か,seion,7997,Q3,0.01389,1.0,1.31345,0.44554,True,27,,1.0,4
