char,method,gamma,lambda,mu,sigma,converged,n_trials,q_at_tmin,q_at_tmax_obs,q_at_tmax_global,t_for_q50,t_for_q80,t_for_q95,acc_at_tmin,acc_at_tmax,lambda_observed_full,q_emp_tmin,q_emp_tmax,nonmonotonic,nonmonotonic_drop,nonmonotonic_detail,note
つ,free,0.01471,0.67321,1.77094,19.28295,True,237,0.6051,0.98683,0.99954,1.77094,28.50279,58.54843,0.4,0.66667,0.84848,0.46211,0.78193,True,0.29412,30ms(0.71)→35ms(0.41),
つ,fixed_full,0.01471,0.84848,5.59923,51.51421,True,237,0.52134,0.82366,0.94284,5.59923,77.01309,157.27968,,,,,,,,,lambdaをfull実測0.848(n=33)に固定;q95到達には観測最大(150ms)を超える外挿(t=157ms)が必要
つ,strict,0.01471,1.0,29.77908,65.00395,True,138,0.42451,0.70046,0.86406,29.77908,119.89369,221.17925,,,,,,,,,厳しい版参加者選別後(残り52人);q95到達には観測最大(150ms)を超える外挿(t=221ms)が必要
ぱ,free,0.01471,0.42604,15.08731,0.20138,True,237,0.0,1.0,1.0,15.08731,15.36648,15.68025,0.0,0.48571,0.63636,-0.02366,0.75767,False,0.00606,30ms(0.40)→40ms(0.39),
ぱ,fixed_full,0.01471,0.63636,29.74287,11.48535,True,237,0.15201,0.97083,0.99997,29.74287,45.66495,63.56079,,,,,,,,,lambdaをfull実測0.636(n=33)に固定
ぱ,strict,0.01471,0.42858,15.15483,0.24315,True,139,0.0,1.0,1.0,15.15483,15.49191,15.87078,,,,,,,,,厳しい版参加者選別後(残り52人)
ら,free,0.01471,0.41512,46.03874,5.15697,True,235,0.00092,1.0,1.0,46.03874,53.18781,61.22312,0.0,0.33333,0.51429,-0.02944,0.63779,True,0.16667,65ms(0.50)→110ms(0.33),
ら,fixed_full,0.01471,0.51429,49.33668,6.08802,True,235,0.00156,0.99995,1.0,49.33668,57.77647,67.26249,,,,,,,,,lambdaをfull実測0.514(n=35)に固定
ら,isotonic,0.01471,0.42119,46.82797,5.69931,True,235,0.00156,0.99998,1.0,46.82797,54.72888,63.60923,,,,,,,,,保序回帰で単調化した後に再当てはめ
ら,strict,0.01471,0.40506,45.69634,3.93103,True,135,0.00011,1.0,1.0,45.69634,51.1459,57.27101,,,,,,,,,厳しい版参加者選別後(残り52人)
し,free,0.01471,0.27381,23.84197,5.63112,True,235,0.07885,0.99838,1.0,23.84197,31.64836,40.42247,0.06061,0.12121,0.42857,0.11091,0.25735,True,0.30303,50ms(0.42)→60ms(0.12),
し,fixed_full,0.01471,0.42857,37.2123,16.32261,True,235,0.1588,0.80156,0.999,37.2123,59.84024,85.27323,,,,,,,,,lambdaをfull実測0.429(n=35)に固定
し,isotonic,0.01471,0.28302,24.9402,6.31722,True,235,0.08588,0.99613,1.0,24.9402,33.69773,43.54087,,,,,,,,,保序回帰で単調化した後に再当てはめ
し,strict,0.01471,0.28421,20.12297,0.06,True,134,0.0,1.0,1.0,20.12297,20.20614,20.29962,,,,,,,,,厳しい版参加者選別後(残り52人)
が,free,0.01471,0.00847,2.04597,0.075,True,236,,,,,,,0.0,0.0303,0.02941,-1.0,1.06061,False,0.0303,35ms(0.03)→45ms(0.00),sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);lambda<=gammaで正規化不能(逆引き完全に退化)
が,fixed_full,0.01471,0.02941,67.16557,0.075,True,236,0.0,1.0,1.0,67.16557,67.26954,67.3864,,,,,,,,,lambdaをfull実測0.029(n=34)に固定;lambda-gamma=0.015が小さく数値的に不安定
が,strict,0.01471,0.05882,74.94988,0.075,True,134,0.0,1.0,1.0,74.94988,75.05385,75.17071,,,,,,,,,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);厳しい版参加者選別後(残り52人);lambda-gamma=0.044が小さく数値的に不安定
あ,free,0.01471,0.9645,19.41106,0.46077,True,237,0.0,1.0,1.0,19.41106,20.04982,20.76776,0.0,0.94118,0.93939,-0.0159,1.00193,False,0.09091,35ms(1.00)→50ms(0.91),
あ,fixed_full,0.01471,0.93939,19.5828,0.29641,True,237,0.0,1.0,1.0,19.5828,19.99371,20.45556,,,,,,,,,lambdaをfull実測0.939(n=33)に固定
あ,strict,0.01471,1.0,19.29823,0.42368,True,138,0.0,1.0,1.0,19.29823,19.88558,20.54574,,,,,,,,,厳しい版参加者選別後(残り52人)
か,free,0.01471,1.0,34.56596,18.19507,True,236,0.20585,0.94114,0.99825,34.56596,59.78968,88.14022,0.12121,0.97059,0.94118,0.11496,1.03175,False,0.0303,25ms(0.52)→35ms(0.48),
か,fixed_full,0.01471,0.94118,31.73948,16.39933,True,236,0.20988,0.96259,0.99926,31.73948,54.47377,80.02629,,,,,,,,,lambdaをfull実測0.941(n=34)に固定
か,strict,0.01471,1.0,36.3306,15.22723,True,137,0.15069,0.96069,0.99943,36.3306,57.44002,81.16624,,,,,,,,,厳しい版参加者選別後(残り52人)
ま,free,0.01471,0.90269,45.9237,2.82191,True,237,0.0,1.0,1.0,45.9237,49.8357,54.23265,0.0,0.97143,0.84848,-0.01764,1.14745,False,0.0,,
ま,fixed_full,0.01471,0.84848,45.17279,2.61354,True,237,0.0,1.0,1.0,45.17279,48.79592,52.86819,,,,,,,,,lambdaをfull実測0.848(n=33)に固定
ま,strict,0.01471,0.98276,49.40919,0.576,True,137,0.0,1.0,1.0,49.40919,50.2077,51.10519,,,,,,,,,厳しい版参加者選別後(残り52人)
