participant_id,group,full_acc,full_acc_healthy,floor_acc,n_floor,decoy_acc,n_decoy,dominant_response_share,resume_or_replay,refresh_hz,audio_device
22zvh6,acal,0.66667,1.0,0.0,4,0.55556,36,0.25,False,58.0,有線ヘッドホン
2svajw,aprime,1.0,1.0,0.0,4,0.27778,36,0.125,False,61.0,
2vrc3s,acal,0.5,1.0,0.0,4,0.22222,36,0.125,False,53.0,スピーカー
2x7avj,aprime,1.0,1.0,0.25,4,0.63889,36,0.16667,False,55.0,
2yhsey,aprime,1.0,,0.0,4,0.47222,36,0.08333,False,61.0,
2zgfq6,acal,0.66667,1.0,0.0,4,0.33333,36,0.25,False,63.0,スピーカー
34pk2a,aprime,1.0,1.0,0.0,4,0.27778,36,0.125,False,62.0,
38a9qz,aprime,1.0,,0.0,4,0.61111,36,0.125,False,119.0,
3d5qw7,aprime,1.0,,0.0,4,0.5,36,0.125,False,62.0,
3f2h8t,acal,0.33333,1.0,0.0,4,0.19444,36,0.20833,False,122.0,スピーカー
3j6g3v,acal,0.5,1.0,0.0,4,0.38889,36,0.20833,False,56.0,スピーカー
3r75am,aprime,1.0,,0.25,4,0.63889,36,0.125,False,58.0,
3vxx5c,aprime,1.0,,0.0,4,0.41667,36,0.16667,True,61.0,
48nspu,acal,0.66667,1.0,0.0,4,0.44444,36,0.20833,False,43.0,スピーカー
4b3ute,aprime,1.0,1.0,0.0,4,0.36111,36,0.16667,False,45.0,
4cbcbt,aprime,1.0,1.0,0.0,4,0.47222,36,0.16667,False,51.0,
4e28p4,acal,0.66667,1.0,0.0,4,0.19444,36,0.25,False,60.0,スピーカー
4g5j75,aprime,1.0,,0.0,4,0.38889,36,0.125,False,45.0,
4jtpbj,aprime,1.0,1.0,0.0,4,0.47222,36,0.08333,False,60.0,
4qvmg6,acal,0.66667,,0.25,4,0.44444,36,0.25,False,79.0,無線
4r2xz4,acal,0.0,,0.0,4,0.0,36,0.66667,False,58.0,スピーカー
4sevzn,acal,0.66667,1.0,0.0,4,0.27778,36,0.25,False,59.0,有線ヘッドホン
4wacpa,aprime,1.0,1.0,0.0,4,0.33333,36,0.20833,False,57.0,
52caav,aprime,1.0,1.0,0.5,4,0.69444,36,0.125,False,56.0,
53bs9x,acal,0.16667,,0.0,4,0.11111,36,0.25,False,31.0,スピーカー
53kee2,acal,0.83333,,0.0,4,0.52778,36,0.25,False,99.0,スピーカー
56rctp,acal,0.33333,1.0,0.0,4,0.22222,36,0.20833,True,122.0,無線
5cbe5h,aprime,1.0,1.0,0.0,4,0.47222,36,0.125,False,49.0,
5eqper,aprime,1.0,1.0,0.0,4,0.27778,36,0.08333,True,55.0,
5gccuk,aprime,1.0,1.0,0.25,4,0.55556,36,0.16667,False,47.0,
5mk55k,aprime,0.83333,1.0,0.0,4,0.38889,36,0.125,False,61.0,
5rue3f,aprime,1.0,,0.0,4,0.5,36,0.16667,False,60.0,
5wq2ku,aprime,1.0,,0.0,4,0.44444,36,0.125,False,43.0,
62hmq8,aprime,1.0,1.0,0.0,4,0.30556,36,0.20833,False,61.0,
62wurq,aprime,1.0,,0.0,1,0.5,2,0.5,True,58.0,
6avefq,aprime,1.0,1.0,0.5,4,0.61111,36,0.125,False,57.0,
6qrr66,aprime,1.0,,0.0,4,0.63889,36,0.125,False,63.0,
6uzyh7,aprime,1.0,1.0,0.0,4,0.47222,36,0.16667,False,40.0,
6x4tck,aprime,1.0,,0.25,4,0.5,36,0.125,False,60.0,
6xdvt6,aprime,1.0,,0.0,4,0.5,36,0.16667,False,59.0,
6xt88w,acal,0.66667,1.0,0.0,4,0.16667,36,0.20833,False,57.0,有線ヘッドホン
746gmf,acal,0.5,1.0,0.0,4,0.25,36,0.125,False,58.0,スピーカー
759u5k,acal,0.16667,,0.25,4,0.19444,36,0.25,False,51.0,スピーカー
75a86d,aprime,1.0,1.0,0.0,8,0.45833,72,0.14583,True,62.0,
79tbh8,aprime,1.0,,0.25,4,0.44444,36,0.125,False,71.0,
7fkd3f,aprime,1.0,1.0,0.5,4,0.58333,36,0.125,False,55.0,
7r46cp,aprime,1.0,,0.0,4,0.55556,36,0.16667,False,59.0,
7smzpz,aprime,1.0,,0.25,4,0.58333,36,0.125,False,47.0,
