cut,modality,char,family,mu,lambda,n_trials,n_participants,converged
baseline,audio,あ,,19.41106,0.9645,237,90,True
baseline,audio,か,,34.56596,1.0,236,90,True
baseline,audio,が,,2.04597,0.00847,236,90,True
baseline,audio,ぱ,,15.08731,0.42604,237,90,True
baseline,audio,し,,23.84197,0.27381,235,90,True
baseline,audio,つ,,1.77094,0.67321,237,90,True
baseline,audio,ま,,45.9237,0.90269,237,90,True
baseline,audio,ら,,46.03874,0.41512,235,90,True
baseline,visual,あ,blur,45.41926,1.0,123,163,True
baseline,visual,あ,fade,1.31654,1.0,120,163,True
baseline,visual,あ,reveal,1.18829,0.95743,126,163,True
baseline,visual,あ,wipe,23.41955,1.0,120,163,True
baseline,visual,か,blur,45.56228,1.0,126,163,True
baseline,visual,か,fade,1.39455,0.93467,121,163,True
baseline,visual,か,reveal,1.69459,1.0,120,163,True
baseline,visual,か,wipe,38.42291,0.93353,123,163,True
baseline,visual,が,blur,56.54411,1.0,120,163,True
baseline,visual,が,fade,1.84781,0.95157,124,163,True
baseline,visual,が,reveal,3.33637,0.92597,120,163,True
baseline,visual,が,wipe,55.34718,1.0,126,163,True
baseline,visual,ぱ,blur,68.84793,1.0,120,163,True
baseline,visual,ぱ,fade,2.71828,0.96168,126,163,True
baseline,visual,ぱ,reveal,3.44473,0.87006,123,163,True
baseline,visual,ぱ,wipe,99.45348,0.93334,120,163,True
baseline,visual,し,blur,33.36534,0.95765,123,163,True
baseline,visual,し,fade,1.45557,1.0,121,163,True
baseline,visual,し,reveal,1.24485,0.97666,126,163,True
baseline,visual,し,wipe,17.2001,1.0,120,163,True
baseline,visual,つ,blur,31.37188,1.0,127,163,True
baseline,visual,つ,fade,1.58399,1.0,121,163,True
baseline,visual,つ,reveal,1.61739,1.0,120,163,True
baseline,visual,つ,wipe,30.38048,0.93266,123,163,True
baseline,visual,ま,blur,44.5377,1.0,121,163,True
baseline,visual,ま,fade,1.39341,0.92972,123,163,True
baseline,visual,ま,reveal,2.4149,1.0,120,163,True
baseline,visual,ま,wipe,3.96602,0.95238,126,163,True
baseline,visual,ら,blur,47.6378,1.0,120,163,True
baseline,visual,ら,fade,1.68598,1.0,126,163,True
baseline,visual,ら,reveal,0.9652,0.87649,123,163,True
baseline,visual,ら,wipe,24.78022,0.875,121,163,True
rt_iqr,audio,あ,,19.37096,0.97006,228,90,True
rt_iqr,audio,か,,30.90034,1.0,207,90,True
rt_iqr,audio,が,,-5.34004,0.00889,225,90,True
rt_iqr,audio,ぱ,,15.04959,0.42308,213,90,True
rt_iqr,audio,し,,21.85515,0.27632,207,90,True
rt_iqr,audio,つ,,-7.72803,0.7717,213,90,True
rt_iqr,audio,ま,,45.72813,0.90727,214,90,True
rt_iqr,audio,ら,,44.38954,0.42,200,90,True
rt_iqr,visual,あ,blur,43.06389,1.0,118,163,True
rt_iqr,visual,あ,fade,1.25877,1.0,114,163,True
rt_iqr,visual,あ,reveal,1.08915,0.95389,123,163,True
rt_iqr,visual,あ,wipe,23.39635,1.0,109,163,True
rt_iqr,visual,か,blur,42.74025,1.0,117,163,True
rt_iqr,visual,か,fade,1.36495,0.93564,117,163,True
rt_iqr,visual,か,reveal,1.59763,1.0,113,163,True
rt_iqr,visual,か,wipe,35.88867,0.93327,107,163,True
rt_iqr,visual,が,blur,54.64077,1.0,113,163,True
rt_iqr,visual,が,fade,1.85421,0.96612,117,163,True
rt_iqr,visual,が,reveal,3.30041,0.92301,113,163,True
rt_iqr,visual,が,wipe,76.88764,1.0,99,163,True
rt_iqr,visual,ぱ,blur,67.71138,1.0,115,163,True
rt_iqr,visual,ぱ,fade,2.76045,0.96354,119,163,True
rt_iqr,visual,ぱ,reveal,3.63199,0.92925,109,163,True
rt_iqr,visual,ぱ,wipe,52.08567,1.0,103,163,True
rt_iqr,visual,し,blur,29.92806,0.93341,116,163,True
rt_iqr,visual,し,fade,1.2986,0.98614,116,163,True
rt_iqr,visual,し,reveal,1.13235,0.97568,113,163,True
