family,band_index,s_range,n_trials,n_errors,entropy_bits,entropy_max_bits,entropy_norm,n_distinct_wrong,top1_char,top1_share,top2_char,top2_share
fade,1,0.4-1.4%,368,282,5.334,6.17,0.865,52,あ,0.078,ん,0.053
fade,2,2.2-6.0%,368,59,4.744,6.17,0.769,32,は,0.119,に,0.068
fade,3,12.0-100.0%,246,2,1.0,6.17,0.162,2,ね,0.5,ば,0.5
reveal,1,0.1-0.5%,368,334,5.536,6.17,0.897,61,ん,0.06,あ,0.057
reveal,2,1.0-4.0%,368,157,5.351,6.17,0.867,53,か,0.108,ち,0.051
reveal,3,9.0-100.0%,242,9,2.419,6.17,0.392,6,ば,0.333,か,0.222
blur,1,26.0-48.0%,369,227,5.218,6.17,0.846,53,も,0.07,の,0.07
blur,2,56.0-72.0%,368,85,4.681,6.17,0.759,35,ば,0.118,ひ,0.106
blur,3,84.0-100.0%,243,8,1.549,6.17,0.251,4,ば,0.625,ね,0.125
wipe,1,0.5-2.0%,367,351,5.071,6.17,0.822,60,は,0.157,に,0.094
wipe,2,4.0-14.0%,365,293,4.932,6.17,0.799,52,は,0.106,に,0.102
wipe,3,25.0-100.0%,247,81,4.369,6.17,0.708,27,に,0.123,か,0.086
