family,progress_pct,n_trials,n_errors,entropy_bits,entropy_max_bits,entropy_norm,n_distinct_wrong,top1_char,top1_share,top2_char,top2_share
fade,0.4,123,115,4.826,6.17,0.782,39,あ,0.13,ん,0.087
fade,0.8,123,104,5.041,6.17,0.817,41,に,0.087,ひ,0.067
fade,1.4,122,63,5.016,6.17,0.813,37,か,0.063,つ,0.063
fade,2.2,125,36,4.514,6.17,0.732,26,は,0.139,ふ,0.056
fade,3.5,122,15,3.774,6.17,0.612,14,は,0.133,に,0.067
fade,6.0,121,8,2.75,6.17,0.446,7,に,0.25,ぷ,0.125
fade,12.0,121,2,1.0,6.17,0.162,2,ね,0.5,ば,0.5
fade,100.0,125,0,,6.17,,0,,,,
reveal,0.1,125,123,5.294,6.17,0.858,49,あ,0.073,ん,0.057
reveal,0.25,122,115,5.211,6.17,0.845,45,ち,0.061,ぬ,0.052
reveal,0.5,121,96,5.23,6.17,0.848,45,ん,0.073,ふ,0.062
reveal,1.0,121,83,5.385,6.17,0.873,47,ほ,0.06,か,0.048
reveal,2.0,125,47,4.696,6.17,0.761,31,か,0.106,と,0.085
reveal,4.0,122,27,3.542,6.17,0.574,16,か,0.296,ば,0.111
reveal,9.0,121,5,2.322,6.17,0.376,5,の,0.2,ば,0.2
reveal,100.0,121,4,1.5,6.17,0.243,3,ば,0.5,ね,0.25
blur,26.0,122,90,4.861,6.17,0.788,40,の,0.111,あ,0.089
blur,38.0,125,78,4.901,6.17,0.794,37,も,0.09,の,0.077
blur,48.0,122,59,4.549,6.17,0.737,28,ひ,0.119,ぬ,0.068
blur,56.0,121,47,4.706,6.17,0.763,30,ば,0.106,ぬ,0.064
blur,64.0,122,25,3.403,6.17,0.552,13,ひ,0.24,み,0.12
blur,72.0,125,13,2.5,6.17,0.405,7,は,0.385,ば,0.154
blur,84.0,122,5,0.722,6.17,0.117,2,ば,0.8,ぶ,0.2
blur,100.0,121,3,1.585,6.17,0.257,3,ね,0.333,ゔ,0.333
wipe,0.5,121,114,5.055,6.17,0.819,45,は,0.096,ん,0.079
wipe,1.0,121,119,4.731,6.17,0.767,42,は,0.176,に,0.084
wipe,2.0,125,118,4.627,6.17,0.75,43,は,0.195,に,0.127
wipe,4.0,122,106,4.654,6.17,0.754,36,に,0.132,は,0.104
wipe,8.0,122,97,4.664,6.17,0.756,36,は,0.134,わ,0.082
wipe,14.0,121,90,4.431,6.17,0.718,28,に,0.1,た,0.078
wipe,25.0,125,76,4.283,6.17,0.694,25,に,0.118,か,0.092
wipe,100.0,122,5,2.322,6.17,0.376,5,あ,0.2,ね,0.2
