char,family,n_trials,n_errors,entropy_bits,entropy_max_bits,entropy_norm,n_distinct_wrong,top1_char,top1_share,top2_char,top2_share
あ,fade,120,33,4.332,6.17,0.702,22,に,0.091,ひ,0.091
あ,reveal,126,55,4.786,6.17,0.776,32,と,0.091,を,0.091
あ,blur,123,40,4.246,6.17,0.688,22,ぬ,0.15,の,0.075
あ,wipe,120,80,4.703,6.17,0.762,35,お,0.175,の,0.062
か,fade,121,40,4.434,6.17,0.719,25,ふ,0.1,が,0.1
か,reveal,120,57,4.815,6.17,0.78,33,あ,0.105,む,0.053
か,blur,126,38,3.967,6.17,0.643,19,ひ,0.184,の,0.079
か,wipe,123,104,4.678,6.17,0.758,37,わ,0.125,た,0.096
が,fade,124,51,4.09,6.17,0.663,24,か,0.216,ん,0.098
が,reveal,120,77,4.304,6.17,0.698,32,か,0.26,ち,0.065
が,blur,120,53,4.704,6.17,0.762,34,か,0.151,ひ,0.113
が,wipe,126,110,4.646,6.17,0.753,35,か,0.109,わ,0.1
ぱ,fade,126,60,4.364,6.17,0.707,28,は,0.183,ば,0.1
ぱ,reveal,123,82,4.938,6.17,0.8,40,ば,0.11,は,0.098
ぱ,blur,120,70,4.047,6.17,0.656,29,ば,0.271,は,0.114
ぱ,wipe,120,106,2.775,6.17,0.45,14,に,0.292,は,0.283
し,fade,121,36,4.382,6.17,0.71,24,に,0.139,あ,0.083
し,reveal,126,54,4.956,6.17,0.803,35,ん,0.093,と,0.056
し,blur,123,22,3.534,6.17,0.573,14,も,0.227,ね,0.136
し,wipe,120,75,3.117,6.17,0.505,16,は,0.347,に,0.147
つ,fade,121,38,4.344,6.17,0.704,23,あ,0.132,ひ,0.079
つ,reveal,120,54,4.986,6.17,0.808,36,ち,0.074,あ,0.074
つ,blur,127,21,3.332,6.17,0.54,12,う,0.19,ち,0.143
つ,wipe,123,96,4.614,6.17,0.748,36,て,0.156,ん,0.104
ま,fade,123,42,4.413,6.17,0.715,26,あ,0.119,ん,0.095
ま,reveal,120,63,5.005,6.17,0.811,36,ち,0.063,ふ,0.048
ま,blur,121,36,4.343,6.17,0.704,23,る,0.083,よ,0.083
ま,wipe,126,57,3.669,6.17,0.595,19,は,0.263,に,0.105
ら,fade,126,43,4.665,6.17,0.756,29,ち,0.093,ん,0.093
ら,reveal,123,58,4.744,6.17,0.769,32,あ,0.103,ん,0.086
ら,blur,120,40,4.365,6.17,0.708,23,へ,0.1,も,0.075
ら,wipe,121,97,4.413,6.17,0.715,35,り,0.206,に,0.093
