modality,family,bin_label,bin_lo,bin_hi,n_trials,n_chars_with_data,entropy_bits_weighted,entropy_max_bits,perplexity_2powH,perplexity_max_n_choices
visual,fade,0〜1%,0.0,1.0,246,8,4.076,6.17,16.86,72
visual,fade,1〜3%,1.0,3.0,247,8,2.17,6.17,4.5,72
visual,fade,3〜8%,3.0,8.0,243,8,0.575,6.17,1.49,72
visual,fade,8〜20%,8.0,20.0,121,8,0.089,6.17,1.06,72
visual,fade,20〜50%,20.0,50.0,0,0,,6.17,,72
visual,fade,50〜90%,50.0,90.0,0,0,,6.17,,72
visual,fade,90〜101%,90.0,101.0,125,8,0.0,6.17,1.0,72
visual,reveal,0〜1%,0.0,1.0,489,8,4.657,6.17,25.24,72
visual,reveal,1〜3%,1.0,3.0,125,8,1.657,6.17,3.15,72
visual,reveal,3〜8%,3.0,8.0,122,8,0.928,6.17,1.9,72
visual,reveal,8〜20%,8.0,20.0,121,8,0.219,6.17,1.16,72
visual,reveal,20〜50%,20.0,50.0,0,0,,6.17,,72
visual,reveal,50〜90%,50.0,90.0,0,0,,6.17,,72
visual,reveal,90〜101%,90.0,101.0,121,8,0.159,6.17,1.12,72
visual,blur,0〜1%,0.0,1.0,0,0,,6.17,,72
visual,blur,1〜3%,1.0,3.0,0,0,,6.17,,72
visual,blur,3〜8%,3.0,8.0,0,0,,6.17,,72
visual,blur,8〜20%,8.0,20.0,0,0,,6.17,,72
visual,blur,20〜50%,20.0,50.0,369,8,3.381,6.17,10.42,72
visual,blur,50〜90%,50.0,90.0,490,8,1.077,6.17,2.11,72
visual,blur,90〜101%,90.0,101.0,121,8,0.132,6.17,1.1,72
visual,wipe,0〜1%,0.0,1.0,242,8,3.821,6.17,14.13,72
visual,wipe,1〜3%,1.0,3.0,125,8,3.111,6.17,8.64,72
visual,wipe,3〜8%,3.0,8.0,244,8,3.211,6.17,9.26,72
visual,wipe,8〜20%,8.0,20.0,121,8,2.302,6.17,4.93,72
visual,wipe,20〜50%,20.0,50.0,125,8,1.816,6.17,3.52,72
visual,wipe,50〜90%,50.0,90.0,0,0,,6.17,,72
visual,wipe,90〜101%,90.0,101.0,122,8,0.217,6.17,1.16,72
audio,audio,0〜15ms,0.0,15.0,304,8,3.466,6.087,11.05,68
audio,audio,15〜25ms,15.0,25.0,337,8,2.309,6.087,4.96,68
audio,audio,25〜35ms,25.0,35.0,372,8,1.74,6.087,3.34,68
audio,audio,35〜50ms,35.0,50.0,335,8,1.578,6.087,2.98,68
audio,audio,50〜70ms,50.0,70.0,273,8,1.147,6.087,2.21,68
audio,audio,70〜100000ms,70.0,100000.0,269,6,0.925,6.087,1.9,68
audio,audio,打ち切りなし,nan,nan,270,8,1.001,6.087,2.0,68
