family,progress_pct,frames_differ,n300,acc300,acc300_lo95,acc300_hi95,n500,acc500,acc500_lo95,acc500_hi95,diff_500_minus_300
blur,64.0,True,41,0.73171,0.58066,0.84305,81,0.82716,0.73054,0.89416,0.09545
blur,56.0,True,83,0.63855,0.5312,0.73365,38,0.55263,0.39706,0.69854,-0.08592
blur,100.0,True,83,0.98795,0.93486,0.99787,38,0.94737,0.82715,0.98545,-0.04058
blur,84.0,True,42,0.95238,0.8421,0.98684,80,0.9625,0.89545,0.98717,0.01012
blur,26.0,True,42,0.28571,0.17167,0.43567,80,0.25,0.16806,0.35485,-0.03571
blur,48.0,True,42,0.47619,0.3336,0.62278,80,0.5375,0.42904,0.64252,0.06131
blur,38.0,True,83,0.33735,0.24484,0.44425,42,0.45238,0.31223,0.60051,0.11503
blur,72.0,True,83,0.91566,0.836,0.95855,42,0.85714,0.72159,0.93284,-0.05852
fade,3.5,True,42,0.83333,0.69396,0.91684,80,0.9,0.81489,0.94845,0.06667
fade,1.4,False,42,0.47619,0.3336,0.62278,80,0.4875,0.38108,0.59507,0.01131
fade,12.0,True,41,1.0,0.91433,1.0,80,0.975,0.91336,0.99312,-0.025
fade,6.0,False,83,0.93976,0.86662,0.974,38,0.92105,0.79201,0.97279,-0.01871
fade,0.8,False,85,0.15294,0.09161,0.24428,38,0.15789,0.07444,0.30417,0.00495
fade,0.4,False,42,0.02381,0.00422,0.12321,81,0.08642,0.04249,0.1678,0.06261
fade,100.0,True,83,1.0,0.95576,1.0,42,1.0,0.9162,1.0,0.0
fade,2.2,False,83,0.74699,0.64398,0.82815,42,0.64286,0.49166,0.77011,-0.10413
reveal,9.0,True,38,0.92105,0.79201,0.97279,83,0.9759,0.91634,0.99337,0.05485
reveal,1.0,False,80,0.3125,0.2215,0.42068,41,0.31707,0.19565,0.46984,0.00457
reveal,4.0,True,80,0.7,0.59232,0.78935,42,0.92857,0.80991,0.97541,0.22857
reveal,0.5,False,38,0.15789,0.07444,0.30417,83,0.22892,0.15173,0.33008,0.07102
reveal,0.25,False,80,0.075,0.03483,0.15412,42,0.02381,0.00422,0.12321,-0.05119
reveal,100.0,True,80,0.9625,0.89545,0.98717,41,0.97561,0.87405,0.99568,0.01311
reveal,0.1,False,42,0.02381,0.00422,0.12321,83,0.01205,0.00213,0.06514,-0.01176
reveal,2.0,False,42,0.52381,0.37722,0.6664,83,0.6747,0.56814,0.76581,0.15089
wipe,14.0,True,80,0.275,0.18918,0.38144,41,0.21951,0.12003,0.36705,-0.05549
wipe,100.0,True,80,0.95,0.87838,0.98039,42,0.97619,0.87679,0.99578,0.02619
wipe,8.0,True,38,0.18421,0.09222,0.33419,84,0.21429,0.14007,0.31349,0.03008
wipe,4.0,True,80,0.1375,0.07855,0.22967,42,0.11905,0.05194,0.25,-0.01845
wipe,1.0,False,80,0.0,0.0,0.04582,41,0.04878,0.01348,0.16139,0.04878
wipe,0.5,False,38,0.05263,0.01455,0.17285,83,0.06024,0.026,0.13338,0.00761
wipe,2.0,False,42,0.07143,0.02459,0.19009,83,0.04819,0.0189,0.11746,-0.02324
wipe,25.0,True,42,0.42857,0.29118,0.57794,83,0.37349,0.2772,0.48098,-0.05508
