char,family,diacritic,audio_usable,judgement,frac_clamped_upper,t_clamp_start_ms,t_domain_min_ms,t_domain_max_ms,lambda_visual,gamma_visual,mu_visual,visual_converged,error_quality,error_quality_level_s_pct,error_quality_n_errors,error_quality_entropy_norm,perplexity_near_mu,perplexity_n_trials
あ,fade,清音,True,成立,0.0,,10.0,90.0,1.0,0.01389,1.31654,True,データ不足,1.4,4,0.324,2.58,15
あ,reveal,清音,True,一部成立,0.8625,20.85,10.0,90.0,0.95743,0.01389,1.18829,True,混在,1.0,8,0.486,5.66,16
あ,blur,清音,True,成立,0.0,,10.0,90.0,1.0,0.01389,45.41926,True,データ不足,48.0,5,0.376,3.23,15
あ,wipe,清音,True,成立,0.0,,10.0,90.0,1.0,0.01389,23.41955,True,細部混同,25.0,8,0.211,3.14,16
か,fade,清音,True,一部成立,0.0275,82.98,10.0,85.0,0.93467,0.01389,1.39455,True,データ不足,1.4,7,0.362,4.11,15
か,reveal,清音,True,成立,0.0,,10.0,85.0,1.0,0.01389,1.69459,True,データ不足,2.0,6,0.365,3.48,16
か,blur,清音,True,成立,0.0,,10.0,85.0,1.0,0.01389,45.56228,True,細部混同,48.0,8,0.324,4.0,16
か,wipe,清音,True,一部成立,0.0325,82.64,10.0,85.0,0.93353,0.01389,38.42291,True,混在,25.0,14,0.423,7.1,16
が,fade,濁音,False,対象外(聴覚曲線が転写に使えない),,,,,0.95157,0.01389,1.84781,True,データ不足,2.2,3,0.257,2.05,15
が,reveal,濁音,False,対象外(聴覚曲線が転写に使えない),,,,,0.92597,0.01389,3.33637,True,細部混同,4.0,8,0.088,2.41,16
が,blur,濁音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,56.54411,True,データ不足,56.0,7,0.455,5.29,14
が,wipe,濁音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,55.34718,True,混在,25.0,16,0.409,5.74,16
ぱ,fade,半濁音,False,対象外(聴覚曲線が転写に使えない),,,,,0.96168,0.01389,2.71828,True,混在,2.2,11,0.443,6.84,16
ぱ,reveal,半濁音,False,対象外(聴覚曲線が転写に使えない),,,,,0.87006,0.01389,3.44473,True,データ不足,4.0,7,0.362,4.11,15
ぱ,blur,半濁音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,68.84793,True,細部混同,72.0,8,0.211,3.23,15
ぱ,wipe,半濁音,False,対象外(聴覚曲線が転写に使えない),,,,,0.93334,0.01389,99.45348,True,データ不足,100.0,1,0.0,1.29,14
し,fade,清音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,1.45557,True,データ不足,1.4,6,0.419,4.27,14
し,reveal,清音,False,対象外(聴覚曲線が転写に使えない),,,,,0.97666,0.01389,1.24485,True,データ不足,1.0,7,0.455,4.95,15
し,blur,清音,False,対象外(聴覚曲線が転写に使えない),,,,,0.95765,0.01389,33.36534,True,データ不足,38.0,3,0.257,1.99,16
し,wipe,清音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,17.2001,True,細部混同,14.0,10,0.352,5.15,15
つ,fade,清音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,1.58399,True,データ不足,1.4,7,0.455,4.65,16
つ,reveal,清音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,1.61739,True,データ不足,2.0,3,0.257,2.05,15
つ,blur,清音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,31.37188,True,混在,26.0,9,0.442,5.43,17
つ,wipe,清音,False,対象外(聴覚曲線が転写に使えない),,,,,0.93266,0.01389,30.38048,True,細部混同,25.0,11,0.39,6.06,15
ま,fade,清音,True,一部成立,0.625,53.21,10.0,125.0,0.92972,0.01389,1.39341,True,データ不足,1.4,6,0.365,3.66,15
ま,reveal,清音,True,成立,0.0,,10.0,125.0,1.0,0.01389,2.4149,True,データ不足,2.0,6,0.419,3.79,16
ま,blur,清音,True,成立,0.0,,10.0,125.0,1.0,0.01389,44.5377,True,データ不足,48.0,6,0.419,4.27,14
ま,wipe,清音,True,一部成立,0.615,54.38,10.0,125.0,0.95238,0.01389,3.96602,True,データ不足,4.0,7,0.362,3.91,16
ら,fade,清音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,1.68598,True,混在,1.4,9,0.478,6.26,16
ら,reveal,清音,False,対象外(聴覚曲線が転写に使えない),,,,,0.87649,0.01389,0.9652,True,混在,1.0,8,0.486,6.05,15
ら,blur,清音,False,対象外(聴覚曲線が転写に使えない),,,,,1.0,0.01389,47.6378,True,混在,48.0,11,0.461,7.22,16
ら,wipe,清音,False,対象外(聴覚曲線が転写に使えない),,,,,0.875,0.01389,24.78022,True,データ不足,25.0,7,0.299,3.62,15
