char,family,speed,n_boot,converged_rate,mu_median,mu_lo95,mu_hi95,lambda_median,lambda_lo95,lambda_hi95,sigma_median,sigma_lo95,sigma_hi95
あ,blur,300,400,1.0,48.32088,35.47667,57.0628,1.0,0.89078,1.0,12.32463,0.52766,18.02985
あ,blur,500,400,1.0,42.62912,23.64382,53.85379,1.0,0.88692,1.0,13.74067,6.88509,22.90043
あ,blur,pooled,400,1.0,45.81953,34.7655,53.58178,1.0,0.97554,1.0,13.71217,9.26279,19.53889
あ,fade,300,400,1.0,1.17076,0.8228,1.73058,1.0,0.97718,1.0,0.4331,0.0996,0.73459
あ,fade,500,400,1.0,1.40356,0.85551,2.06197,1.0,0.92808,1.0,0.59943,0.0996,1.44604
あ,fade,pooled,400,1.0,1.29407,0.91949,1.72829,1.0,0.94603,1.0,0.51094,0.0996,0.87981
あ,reveal,300,400,1.0,1.03179,0.66088,1.35631,1.0,1.0,1.0,0.36039,0.20347,0.666
あ,reveal,500,400,1.0,1.79214,0.55647,3.36393,1.0,0.75883,1.0,0.90052,0.0999,1.70633
あ,reveal,pooled,400,1.0,1.28737,0.72024,2.14201,1.0,0.88673,1.0,0.51002,0.1472,1.23699
あ,wipe,300,400,1.0,20.23508,5.62546,37.12161,1.0,0.76917,1.0,9.94788,0.0995,22.04827
あ,wipe,500,400,1.0,25.24133,13.3924,41.8579,1.0,1.0,1.0,12.15282,4.5207,26.88111
あ,wipe,pooled,400,1.0,23.49128,16.08407,34.14424,1.0,1.0,1.0,11.68395,6.73047,20.28621
か,blur,300,400,1.0,47.58918,34.66362,56.10203,1.0,1.0,1.0,9.19075,0.38786,14.63542
か,blur,500,400,1.0,43.51628,32.65047,52.6448,1.0,1.0,1.0,9.39779,4.96335,14.06986
か,blur,pooled,400,1.0,45.61796,37.96646,52.03572,1.0,1.0,1.0,9.7409,6.60559,13.03771
か,fade,300,400,1.0,1.65758,0.88974,3.82338,1.0,0.85011,1.0,1.33382,0.0996,3.01004
か,fade,500,400,1.0,1.44493,0.87611,2.67446,0.97553,0.90554,1.0,0.57204,0.24939,2.36849
か,fade,pooled,400,1.0,1.47517,1.08209,2.62618,0.96642,0.89134,1.0,0.53485,0.19973,2.23604
か,reveal,300,400,1.0,1.62697,0.92429,3.02797,1.0,0.87502,1.0,0.43108,0.0999,1.19774
か,reveal,500,400,1.0,1.48859,0.80321,2.22804,1.0,1.0,1.0,0.59412,0.33683,0.9196
か,reveal,pooled,400,1.0,1.62149,0.96962,2.30901,1.0,0.93322,1.0,0.58326,0.21715,0.98502
か,wipe,300,400,1.0,44.76966,13.91658,96.12116,0.91449,0.63463,1.0,9.23371,0.0995,13.56119
か,wipe,500,400,1.0,32.79608,23.52597,91.15331,1.0,1.0,1.0,5.80767,0.0995,10.17196
か,wipe,pooled,400,1.0,37.31779,25.64316,72.58453,0.94085,0.78362,1.0,7.61999,0.0995,12.75079
が,blur,300,400,1.0,51.43733,34.258,63.91935,1.0,1.0,1.0,13.39567,7.19329,23.85725
が,blur,500,400,1.0,61.34256,48.90782,69.22432,1.0,0.80943,1.0,12.10999,0.378,34.89852
が,blur,pooled,400,1.0,56.51303,45.27504,63.97165,1.0,0.9424,1.0,13.81218,7.14769,23.05276
が,fade,300,400,1.0,1.87907,1.49267,2.18492,1.0,1.0,1.0,0.20707,0.0996,0.35995
が,fade,500,400,1.0,1.93649,1.48032,3.70867,0.94229,0.82251,1.0,0.19582,0.0996,1.5546
が,fade,pooled,400,1.0,1.85571,1.55305,2.46047,0.96022,0.90104,1.0,0.19208,0.0996,0.59275
が,reveal,300,400,1.0,4.09768,1.9417,10.03372,0.88771,0.61084,1.0,0.79555,0.0999,3.19823
が,reveal,500,400,1.0,1.91047,1.02536,3.35213,1.0,0.8387,1.0,0.28625,0.0999,1.07871
が,reveal,pooled,400,1.0,3.16936,1.26876,5.0228,0.89878,0.6931,1.0,0.82769,0.0999,1.7089
が,wipe,300,400,1.0,67.22065,30.75581,97.27608,1.0,1.0,1.0,0.0995,0.0995,0.0995
が,wipe,500,400,1.0,66.64442,30.07941,97.48458,1.0,1.0,1.0,0.0995,0.0995,0.0995
が,wipe,pooled,400,1.0,64.03214,31.34648,97.32737,1.0,1.0,1.0,0.0995,0.0995,0.0995
ぱ,blur,300,400,1.0,66.78211,45.3446,80.56209,1.0,0.60891,1.0,11.65347,0.43144,19.3049
ぱ,blur,500,400,1.0,67.17096,48.05817,82.81855,1.0,1.0,1.0,16.21281,7.22409,27.87526
ぱ,blur,pooled,400,1.0,68.03944,56.79339,77.6359,1.0,0.83434,1.0,15.16637,10.01445,21.7422
ぱ,fade,300,400,1.0,3.30537,2.13306,4.69323,1.0,0.89376,1.0,0.77697,0.0996,1.3876
ぱ,fade,500,400,1.0,2.31703,1.17041,3.40692,0.95572,0.74685,1.0,0.66241,0.0996,1.27351
ぱ,fade,pooled,400,1.0,2.71227,2.14784,3.50177,0.96493,0.88682,1.0,0.72884,0.44393,1.16306
ぱ,reveal,300,400,1.0,6.09095,1.04544,12.1175,0.8888,0.57622,1.0,2.19725,0.0999,4.46249
