version,axis,char,family,speed,gamma,lambda,mu,sigma,converged,n_trials,n_rows,n_participants,note
excl_clamp0,actual,あ,fade,pooled,0.01389,1.0,1.31654,0.56012,True,120,120,40,
excl_clamp0,actual,あ,fade,300,0.01389,1.0,1.18718,0.42763,True,63,63,21,
excl_clamp0,actual,あ,fade,500,0.01389,1.0,1.47762,0.69309,True,57,57,19,
excl_clamp0,actual,あ,reveal,pooled,0.01389,0.95743,1.18829,0.48373,True,126,126,42,
excl_clamp0,actual,あ,reveal,300,0.01389,1.0,1.03375,0.38479,True,63,63,21,
excl_clamp0,actual,あ,reveal,500,0.01389,1.0,2.03508,1.11881,True,63,63,21,
excl_clamp0,actual,あ,blur,pooled,0.01389,1.0,45.41926,13.99266,True,123,123,41,
excl_clamp0,actual,あ,blur,300,0.01389,1.0,47.96331,12.86231,True,63,63,21,
excl_clamp0,actual,あ,blur,500,0.01389,1.0,42.71618,14.97848,True,60,60,20,
excl_clamp0,actual,あ,wipe,pooled,0.01389,1.0,23.41955,11.94483,True,120,120,39,
excl_clamp0,actual,あ,wipe,300,0.01389,1.0,20.59682,10.36183,True,60,60,19,
excl_clamp0,actual,あ,wipe,500,0.01389,1.0,26.02742,13.26011,True,60,60,20,
excl_clamp0,actual,か,fade,pooled,0.01389,0.93467,1.39455,0.49001,True,121,121,39,
excl_clamp0,actual,か,fade,300,0.01389,0.88796,1.25881,0.29212,True,61,61,20,
excl_clamp0,actual,か,fade,500,0.01389,0.96495,1.41568,0.58845,True,60,60,19,
excl_clamp0,actual,か,reveal,pooled,0.01389,1.0,1.69459,0.6725,True,120,120,40,
excl_clamp0,actual,か,reveal,300,0.01389,0.95654,1.51466,0.42459,True,57,57,19,
excl_clamp0,actual,か,reveal,500,0.01389,1.0,1.4826,0.6264,True,63,63,21,
excl_clamp0,actual,か,blur,pooled,0.01389,1.0,45.56228,10.0969,True,126,126,42,
excl_clamp0,actual,か,blur,300,0.01389,1.0,47.50438,9.74698,True,63,63,21,
excl_clamp0,actual,か,blur,500,0.01389,1.0,43.71765,10.21087,True,63,63,21,
excl_clamp0,actual,か,wipe,pooled,0.01389,0.93353,38.42291,8.09011,True,123,123,41,
excl_clamp0,actual,か,wipe,300,0.01389,0.90592,46.52843,10.78513,True,60,60,20,
excl_clamp0,actual,か,wipe,500,0.01389,1.0,35.25337,6.47569,True,63,63,21,
excl_clamp0,actual,が,fade,pooled,0.01389,0.95157,1.84781,0.20823,True,124,124,41,
excl_clamp0,actual,が,fade,300,0.01389,1.0,1.86941,0.23062,True,64,64,21,
excl_clamp0,actual,が,fade,500,0.01389,0.89965,1.81401,0.18129,True,60,60,20,
excl_clamp0,actual,が,reveal,pooled,0.01389,0.92597,3.33637,0.97479,True,120,120,39,
excl_clamp0,actual,が,reveal,300,0.01389,0.85736,4.20873,0.83095,True,60,60,19,
excl_clamp0,actual,が,reveal,500,0.01389,0.95101,1.80532,0.33824,True,60,60,20,
excl_clamp0,actual,が,blur,pooled,0.01389,1.0,56.54411,14.80171,True,120,120,40,
excl_clamp0,actual,が,blur,300,0.01389,1.0,51.46873,14.1187,True,63,63,21,
excl_clamp0,actual,が,blur,500,0.01389,0.98157,61.47911,14.21758,True,57,57,19,
excl_clamp0,actual,が,wipe,pooled,0.01389,1.0,55.34718,0.0995,True,126,126,42,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,actual,が,wipe,300,0.01389,1.0,93.54132,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,actual,が,wipe,500,0.01389,1.0,49.35808,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,actual,ぱ,fade,pooled,0.01389,0.96168,2.71828,0.74823,True,126,126,42,
excl_clamp0,actual,ぱ,fade,300,0.01389,1.0,3.46876,0.93569,True,63,63,21,
excl_clamp0,actual,ぱ,fade,500,0.01389,0.95133,2.33569,0.72724,True,63,63,21,
excl_clamp0,actual,ぱ,reveal,pooled,0.01389,0.87006,3.44473,0.95844,True,123,123,41,
excl_clamp0,actual,ぱ,reveal,300,0.01389,0.89151,6.27726,2.34468,True,60,60,20,
excl_clamp0,actual,ぱ,reveal,500,0.01389,0.95215,2.465,0.35521,True,63,63,21,
excl_clamp0,actual,ぱ,blur,pooled,0.01389,1.0,68.84793,15.86281,True,120,120,39,
excl_clamp0,actual,ぱ,blur,300,0.01389,1.0,70.28243,14.61406,True,60,60,20,
excl_clamp0,actual,ぱ,blur,500,0.01389,1.0,67.35226,17.18451,True,60,60,19,
excl_clamp0,actual,ぱ,wipe,pooled,0.01389,0.93334,99.45348,0.10398,True,120,120,40,
excl_clamp0,actual,ぱ,wipe,300,0.01389,0.88889,57.57333,0.0995,True,57,57,19,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,actual,ぱ,wipe,500,0.01389,1.0,49.35808,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,actual,し,fade,pooled,0.01389,1.0,1.45557,0.49591,True,121,121,41,
excl_clamp0,actual,し,fade,300,0.01389,0.9757,1.21779,0.22582,True,63,63,21,
excl_clamp0,actual,し,fade,500,0.01389,1.0,1.52415,0.53319,True,58,58,20,
excl_clamp0,actual,し,reveal,pooled,0.01389,0.97666,1.24485,0.554,True,126,126,42,
excl_clamp0,actual,し,reveal,300,0.01389,1.0,1.02528,0.60099,True,63,63,21,
excl_clamp0,actual,し,reveal,500,0.01389,0.95112,1.46415,0.48242,True,63,63,21,
excl_clamp0,actual,し,blur,pooled,0.01389,0.95765,33.36534,5.07482,True,123,123,41,
excl_clamp0,actual,し,blur,300,0.01389,1.0,36.16229,6.40944,True,63,63,21,
excl_clamp0,actual,し,blur,500,0.01389,0.92,26.15416,0.11395,True,60,60,20,
excl_clamp0,actual,し,wipe,pooled,0.01389,1.0,17.2001,7.8442,True,120,120,39,
excl_clamp0,actual,し,wipe,300,0.01389,1.0,20.29112,7.50123,True,60,60,19,
