modality,char,level,n_correct,n_trials,accuracy
聴覚,あ,10.0,0,35,0.0
聴覚,あ,20.0,25,33,0.7576
聴覚,あ,30.0,32,33,0.9697
聴覚,あ,35.0,35,35,1.0
聴覚,あ,50.0,30,33,0.9091
聴覚,あ,65.0,34,34,1.0
聴覚,あ,90.0,32,34,0.9412
聴覚,か,10.0,4,33,0.1212
聴覚,か,20.0,13,35,0.3714
聴覚,か,25.0,17,33,0.5152
聴覚,か,35.0,16,33,0.4848
聴覚,か,45.0,21,35,0.6
聴覚,か,60.0,25,33,0.7576
聴覚,か,85.0,33,34,0.9706
聴覚,が,10.0,0,34,0.0
聴覚,が,20.0,0,33,0.0
聴覚,が,25.0,0,35,0.0
聴覚,が,35.0,1,33,0.0303
聴覚,が,45.0,0,33,0.0
聴覚,が,60.0,0,35,0.0
聴覚,が,85.0,1,33,0.0303
聴覚,し,10.0,2,33,0.0606
聴覚,し,20.0,2,34,0.0588
聴覚,し,30.0,9,34,0.2647
聴覚,し,35.0,7,33,0.2121
聴覚,し,40.0,9,35,0.2571
聴覚,し,50.0,14,33,0.4242
聴覚,し,60.0,4,33,0.1212
聴覚,つ,10.0,14,35,0.4
聴覚,つ,20.0,16,33,0.4848
聴覚,つ,30.0,24,34,0.7059
聴覚,つ,35.0,14,34,0.4118
聴覚,つ,50.0,21,33,0.6364
聴覚,つ,65.0,23,35,0.6571
聴覚,つ,85.0,22,33,0.6667
聴覚,ぱ,10.0,0,34,0.0
聴覚,ぱ,15.0,6,34,0.1765
聴覚,ぱ,25.0,12,33,0.3636
聴覚,ぱ,30.0,14,35,0.4
聴覚,ぱ,40.0,13,33,0.3939
聴覚,ぱ,50.0,16,33,0.4848
聴覚,ぱ,70.0,17,35,0.4857
聴覚,ま,10.0,0,33,0.0
聴覚,ま,25.0,1,35,0.0286
聴覚,ま,35.0,1,33,0.0303
聴覚,ま,50.0,25,34,0.7353
聴覚,ま,65.0,29,34,0.8529
聴覚,ま,85.0,29,33,0.8788
聴覚,ま,125.0,34,35,0.9714
聴覚,ら,10.0,0,33,0.0
聴覚,ら,25.0,1,33,0.0303
聴覚,ら,35.0,2,35,0.0571
聴覚,ら,50.0,9,33,0.2727
聴覚,ら,65.0,17,34,0.5
聴覚,ら,85.0,14,34,0.4118
聴覚,ら,110.0,11,33,0.3333
視覚,あ,0.1,0,16,0.0
視覚,あ,0.3,2,16,0.125
視覚,あ,0.4,1,16,0.0625
視覚,あ,0.5,8,30,0.2667
視覚,あ,0.8,4,14,0.2857
視覚,あ,1.0,8,31,0.2581
視覚,あ,1.4,11,15,0.7333
視覚,あ,2.0,13,31,0.4194
視覚,あ,2.2,13,16,0.8125
視覚,あ,3.5,13,14,0.9286
視覚,あ,4.0,17,32,0.5312
視覚,あ,6.0,16,16,1.0
視覚,あ,8.0,5,14,0.3571
視覚,あ,9.0,16,16,1.0
視覚,あ,12.0,14,14,1.0
視覚,あ,14.0,5,15,0.3333
視覚,あ,25.0,8,16,0.5
視覚,あ,26.0,4,16,0.25
視覚,あ,38.0,5,15,0.3333
視覚,あ,48.0,10,15,0.6667
視覚,あ,56.0,9,16,0.5625
視覚,あ,64.0,11,15,0.7333
視覚,あ,72.0,15,16,0.9375
視覚,あ,84.0,14,15,0.9333
視覚,あ,100.0,59,59,1.0
視覚,か,0.1,0,15,0.0
視覚,か,0.3,0,16,0.0
視覚,か,0.4,1,14,0.0714
視覚,か,0.5,4,29,0.1379
視覚,か,0.8,4,16,0.25
視覚,か,1.0,6,31,0.1935
視覚,か,1.4,8,15,0.5333
視覚,か,2.0,10,31,0.3226
視覚,か,2.2,11,15,0.7333
視覚,か,3.5,15,16,0.9375
視覚,か,4.0,13,29,0.4483
視覚,か,6.0,11,14,0.7857
視覚,か,8.0,1,16,0.0625
視覚,か,9.0,16,16,1.0
視覚,か,12.0,15,15,1.0
視覚,か,14.0,2,15,0.1333
視覚,か,25.0,2,16,0.125
視覚,か,26.0,4,15,0.2667
視覚,か,38.0,5,16,0.3125
視覚,か,48.0,8,16,0.5
視覚,か,56.0,8,15,0.5333
視覚,か,64.0,15,16,0.9375
視覚,か,72.0,16,16,1.0
視覚,か,84.0,16,16,1.0
視覚,か,100.0,60,61,0.9836
視覚,が,0.1,0,16,0.0
視覚,が,0.3,0,14,0.0
視覚,が,0.4,0,15,0.0
視覚,が,0.5,0,31,0.0
視覚,が,0.8,0,16,0.0
視覚,が,1.0,1,30,0.0333
視覚,が,1.4,2,16,0.125
視覚,が,2.0,7,31,0.2258
視覚,が,2.2,12,15,0.8
視覚,が,3.5,13,15,0.8667
視覚,が,4.0,8,32,0.25
視覚,が,6.0,15,16,0.9375
視覚,が,8.0,0,15,0.0
視覚,が,9.0,13,14,0.9286
視覚,が,12.0,15,15,1.0
視覚,が,14.0,0,16,0.0
視覚,が,25.0,0,16,0.0
視覚,が,26.0,6,14,0.4286
視覚,が,38.0,1,15,0.0667
視覚,が,48.0,3,16,0.1875
視覚,が,56.0,7,14,0.5
視覚,が,64.0,8,15,0.5333
視覚,が,72.0,13,16,0.8125
視覚,が,84.0,14,14,1.0
視覚,が,100.0,61,63,0.9683
視覚,し,0.1,0,16,0.0
視覚,し,0.3,3,16,0.1875
視覚,し,0.4,1,15,0.0667
視覚,し,0.5,5,30,0.1667
視覚,し,0.8,3,16,0.1875
視覚,し,1.0,10,30,0.3333
視覚,し,1.4,8,14,0.5714
視覚,し,2.0,16,32,0.5
視覚,し,2.2,13,15,0.8667
視覚,し,3.5,15,16,0.9375
視覚,し,4.0,18,30,0.6
視覚,し,6.0,14,14,1.0
視覚,し,8.0,2,15,0.1333
視覚,し,9.0,14,15,0.9333
視覚,し,12.0,15,15,1.0
視覚,し,14.0,5,15,0.3333
視覚,し,25.0,12,15,0.8
