space,family,char,n_frames,t_max_ms,clip_low,clip_high,s_min,s_max,b2_a,b2_b
rawp,fade,あ,8,90.0,2,0,0.0,3.158,0.2,-3.5
rawp,fade,か,8,85.0,0,0,0.467,3.606,0.02667,0.5
rawp,fade,が,8,85.0,0,0,0.371,0.987,0.01333,-0.5
rawp,fade,ぱ,7,70.0,1,0,0.0,3.12,0.02,2.0
rawp,fade,し,6,60.0,1,0,0.0,1.297,0.01333,0.5
rawp,fade,つ,8,85.0,0,0,0.991,4.165,0.03333,1.5
rawp,fade,ま,10,125.0,3,0,0.0,2.252,0.10667,-3.5
rawp,fade,ら,9,110.0,2,0,0.0,1.697,0.00667,1.0
rawp,reveal,あ,8,90.0,2,0,0.0,2.779,0.17333,-3.0
rawp,reveal,か,8,85.0,0,0,0.421,4.73,0.03333,0.5
rawp,reveal,が,8,85.0,8,0,0.0,0.0,0.00667,-20.0
rawp,reveal,ぱ,7,70.0,1,0,0.0,4.384,0.02,3.0
rawp,reveal,し,6,60.0,2,0,0.0,1.067,0.01333,0.0
rawp,reveal,つ,8,85.0,0,0,1.31,2.956,0.02,1.5
rawp,reveal,ま,10,125.0,3,0,0.0,4.725,0.20667,-7.0
rawp,reveal,ら,9,110.0,2,0,0.0,1.008,0.00667,0.5
rawp,blur,あ,8,90.0,2,0,0.0,91.421,2.7,-20.0
rawp,blur,か,8,85.0,0,0,26.445,91.131,0.7,20.0
rawp,blur,が,8,85.0,8,0,0.0,0.0,0.00667,-20.0
rawp,blur,ぱ,7,70.0,1,0,0.0,77.375,4.0,10.5
rawp,blur,し,6,60.0,0,0,8.318,32.129,0.18,20.0
rawp,blur,つ,8,85.0,0,0,27.33,48.969,0.48,20.0
rawp,blur,ま,10,125.0,3,0,0.0,67.466,1.42,-20.0
rawp,blur,ら,9,110.0,2,0,0.0,47.951,0.26667,20.0
rawp,wipe,あ,8,90.0,2,0,0.0,62.689,1.82,-20.0
rawp,wipe,か,8,85.0,0,3,23.758,100.0,0.57333,20.0
rawp,wipe,が,8,85.0,0,0,54.642,54.936,0.34667,14.5
rawp,wipe,ぱ,7,70.0,0,0,98.723,99.53,2.68667,10.0
rawp,wipe,し,6,60.0,2,0,0.0,14.685,0.18667,2.0
rawp,wipe,つ,8,85.0,0,0,27.751,52.57,0.62,20.0
rawp,wipe,ま,10,125.0,0,0,3.26,4.186,0.02,3.0
rawp,wipe,ら,9,110.0,0,0,21.172,24.952,0.06667,20.0
rawp,fade+blur,あ,8,90.0,0,0,0.0,92.425,0,0
rawp,fade+blur,か,8,85.0,0,0,47.27,92.137,0,0
rawp,fade+blur,が,8,85.0,0,0,40.941,46.127,0,0
rawp,fade+blur,ぱ,7,70.0,0,0,2.925,62.138,0,0
rawp,fade+blur,し,6,60.0,0,0,37.754,52.25,0,0
rawp,fade+blur,つ,8,85.0,0,0,54.343,65.932,0,0
rawp,fade+blur,ま,10,125.0,0,0,12.523,71.372,0,0
rawp,fade+blur,ら,9,110.0,0,0,25.151,53.141,0,0
rawp,fade+wipe,あ,8,90.0,0,0,0.0,80.012,0,0
rawp,fade+wipe,か,8,85.0,0,3,47.709,100.0,0,0
rawp,fade+wipe,が,8,85.0,0,0,49.365,49.659,0,0
rawp,fade+wipe,ぱ,7,70.0,0,0,77.341,91.016,0,0
rawp,fade+wipe,し,6,60.0,0,0,23.116,52.497,0,0
rawp,fade+wipe,つ,8,85.0,0,0,54.917,68.975,0,0
rawp,fade+wipe,ま,10,125.0,0,0,48.274,54.045,0,0
rawp,fade+wipe,ら,9,110.0,0,0,47.135,51.09,0,0
rawp,reveal+blur,あ,8,90.0,0,0,0.0,92.425,0,0
rawp,reveal+blur,か,8,85.0,0,0,46.87,92.137,0,0
rawp,reveal+blur,が,8,85.0,0,0,2.101,35.731,0,0
rawp,reveal+blur,ぱ,7,70.0,0,0,3.582,72.964,0,0
rawp,reveal+blur,し,6,60.0,0,0,35.441,52.535,0,0
rawp,reveal+blur,つ,8,85.0,0,0,53.013,65.27,0,0
rawp,reveal+blur,ま,10,125.0,0,0,0.0,71.372,0,0
rawp,reveal+blur,ら,9,110.0,0,0,16.567,53.813,0,0
rawp,reveal+wipe,あ,8,90.0,0,0,0.0,80.012,0,0
rawp,reveal+wipe,か,8,85.0,0,3,47.398,100.0,0,0
rawp,reveal+wipe,が,8,85.0,0,0,49.346,49.654,0,0
rawp,reveal+wipe,ぱ,7,70.0,0,0,77.458,91.474,0,0
rawp,reveal+wipe,し,6,60.0,0,0,0.0,52.867,0,0
rawp,reveal+wipe,つ,8,85.0,0,0,53.453,68.79,0,0
rawp,reveal+wipe,ま,10,125.0,0,0,48.219,56.645,0,0
rawp,reveal+wipe,ら,9,110.0,0,0,47.083,51.129,0,0
qnorm,fade,あ,8,90.0,2,5,0.0,100.0,0.8,-13.5
qnorm,fade,か,8,85.0,0,0,0.464,3.606,0.02667,0.5
qnorm,fade,が,8,85.0,1,7,0.0,100.0,0.45333,0.0
qnorm,fade,ぱ,7,70.0,1,5,0.0,100.0,0.66667,-2.5
qnorm,fade,し,6,60.0,1,0,0.0,6.695,0.08,-0.5
qnorm,fade,つ,8,85.0,0,0,1.444,10.686,0.08,1.5
qnorm,fade,ま,10,125.0,3,1,0.0,100.0,0.14,-5.0
qnorm,fade,ら,9,110.0,2,0,0.0,7.845,0.08,-2.0
qnorm,reveal,あ,8,90.0,2,5,0.0,100.0,0.68667,-11.5
qnorm,reveal,か,8,85.0,0,0,0.417,4.729,0.03333,0.5
qnorm,reveal,が,8,85.0,1,7,0.0,100.0,1.49333,0.0
qnorm,reveal,ぱ,7,70.0,1,5,0.0,100.0,0.86667,-3.5
qnorm,reveal,し,6,60.0,1,0,0.0,7.098,0.09333,-1.0
qnorm,reveal,つ,8,85.0,0,0,1.545,6.337,0.04,1.5
qnorm,reveal,ま,10,125.0,3,1,0.0,100.0,0.36,-14.0
qnorm,reveal,ら,9,110.0,2,0,0.0,5.332,0.05333,-1.5
qnorm,blur,あ,8,90.0,2,6,0.0,100.0,2.74667,-20.0
qnorm,blur,か,8,85.0,0,0,26.381,91.122,0.7,20.0
qnorm,blur,が,8,85.0,1,7,0.0,100.0,4.0,20.0
qnorm,blur,ぱ,7,70.0,1,6,0.0,100.0,4.0,20.0
qnorm,blur,し,6,60.0,0,0,11.879,86.98,0.89333,12.0
qnorm,blur,つ,8,85.0,0,0,30.415,93.429,0.99333,20.0
qnorm,blur,ま,10,125.0,3,6,0.0,100.0,1.48667,-20.0
qnorm,blur,ら,9,110.0,2,4,0.0,100.0,1.49333,-20.0
qnorm,wipe,あ,8,90.0,2,6,0.0,100.0,1.86,-20.0
qnorm,wipe,か,8,85.0,0,0,23.054,74.928,0.51333,20.0
qnorm,wipe,が,8,85.0,0,7,52.633,100.0,2.34667,20.0
qnorm,wipe,ぱ,7,70.0,1,6,0.0,100.0,2.4,20.0
qnorm,wipe,し,6,60.0,1,1,0.0,100.0,1.39333,-16.0
qnorm,wipe,つ,8,85.0,0,0,29.478,88.922,0.92,20.0
qnorm,wipe,ま,10,125.0,0,1,2.347,100.0,0.05333,1.5
qnorm,wipe,ら,9,110.0,0,0,20.097,33.66,0.11333,19.5
qnorm,fade+blur,あ,8,90.0,1,6,0.0,100.0,0,0
qnorm,fade+blur,か,8,85.0,0,0,47.248,92.129,0,0
qnorm,fade+blur,が,8,85.0,0,7,0.0,100.0,0,0
qnorm,fade+blur,ぱ,7,70.0,1,6,0.0,100.0,0,0
qnorm,fade+blur,し,6,60.0,0,0,40.484,91.567,0,0
qnorm,fade+blur,つ,8,85.0,0,0,55.991,96.017,0,0
qnorm,fade+blur,ま,10,125.0,0,6,0.0,100.0,0,0
qnorm,fade+blur,ら,9,110.0,0,4,3.523,100.0,0,0
qnorm,fade+wipe,あ,8,90.0,1,6,0.0,100.0,0,0
qnorm,fade+wipe,か,8,85.0,0,0,47.416,81.125,0,0
qnorm,fade+wipe,が,8,85.0,0,7,47.394,100.0,0,0
qnorm,fade+wipe,ぱ,7,70.0,1,6,0.0,100.0,0,0
