mode,family,char,n_points,clip_low,clip_high,s_min,s_max,backward_steps
raw,fade,あ,7,1,0,0.4,100.0,2
raw,fade,か,7,0,0,0.511,10.677,1
raw,fade,ま,7,3,0,0.4,59.771,0
raw,reveal,あ,7,0,0,0.1,100.0,2
raw,reveal,か,7,0,0,0.356,6.941,1
raw,reveal,ま,7,3,0,0.1,8.5,0
raw,blur,あ,7,1,0,26.0,100.0,2
raw,blur,か,7,1,0,26.0,68.235,1
raw,blur,ま,7,3,0,26.0,78.857,0
raw,wipe,あ,7,1,0,0.5,100.0,2
raw,wipe,か,7,0,1,13.295,100.0,1
raw,wipe,ま,7,0,0,0.5,65.714,0
isotonic,fade,あ,7,1,0,0.4,4.971,0
isotonic,fade,か,7,0,0,0.511,10.677,0
isotonic,fade,ま,7,3,0,0.4,59.771,0
isotonic,reveal,あ,7,0,0,0.1,7.824,0
isotonic,reveal,か,7,0,0,0.356,6.941,0
isotonic,reveal,ま,7,3,0,0.1,8.5,0
isotonic,blur,あ,7,1,0,26.0,92.706,0
isotonic,blur,か,7,1,0,26.0,68.235,0
isotonic,blur,ま,7,3,0,26.0,78.857,0
isotonic,wipe,あ,7,1,0,0.5,95.588,0
isotonic,wipe,か,7,0,1,13.295,100.0,0
isotonic,wipe,ま,7,0,0,0.5,65.714,0
