q,v1,v2,char,win1,n
natural,ぼかし·c1,ぼかし·c2,あ,3,3
natural,ぼかし·c1,ぼかし·c2,か,4,5
natural,ぼかし·c1,ぼかし·c2,が,0,7
natural,ぼかし·c1,ぼかし·c2,し,0,6
natural,ぼかし·c1,ぼかし·c2,つ,0,10
natural,ぼかし·c1,ぼかし·c2,ぱ,2,4
natural,ぼかし·c1,ぼかし·c2,ま,0,7
natural,ぼかし·c1,ぼかし·c2,ら,1,13
natural,ぼかし·c1,ぼかし·c3,あ,6,9
natural,ぼかし·c1,ぼかし·c3,か,1,3
natural,ぼかし·c1,ぼかし·c3,が,3,5
natural,ぼかし·c1,ぼかし·c3,し,4,10
natural,ぼかし·c1,ぼかし·c3,つ,4,5
natural,ぼかし·c1,ぼかし·c3,ぱ,4,6
natural,ぼかし·c1,ぼかし·c3,ま,1,7
natural,ぼかし·c1,ぼかし·c3,ら,7,9
natural,ぼかし·c1,ぼかし·c4,あ,8,8
natural,ぼかし·c1,ぼかし·c4,か,4,5
natural,ぼかし·c1,ぼかし·c4,が,0,7
natural,ぼかし·c1,ぼかし·c4,し,0,3
natural,ぼかし·c1,ぼかし·c4,つ,0,8
natural,ぼかし·c1,ぼかし·c4,ぱ,2,7
natural,ぼかし·c1,ぼかし·c4,ま,0,4
natural,ぼかし·c1,ぼかし·c4,ら,0,6
natural,ぼかし·c1,うすい·c1,あ,1,9
natural,ぼかし·c1,うすい·c1,か,0,9
natural,ぼかし·c1,うすい·c1,が,3,4
natural,ぼかし·c1,うすい·c1,し,9,11
natural,ぼかし·c1,うすい·c1,つ,4,5
natural,ぼかし·c1,うすい·c1,ぱ,1,5
natural,ぼかし·c1,うすい·c1,ま,1,10
natural,ぼかし·c1,うすい·c1,ら,1,5
natural,ぼかし·c1,点ふえ·c1,あ,5,5
natural,ぼかし·c1,点ふえ·c1,か,0,4
natural,ぼかし·c1,点ふえ·c1,が,4,7
natural,ぼかし·c1,点ふえ·c1,し,6,6
natural,ぼかし·c1,点ふえ·c1,つ,4,9
natural,ぼかし·c1,点ふえ·c1,ぱ,1,5
natural,ぼかし·c1,点ふえ·c1,ま,0,3
natural,ぼかし·c1,点ふえ·c1,ら,8,10
natural,ぼかし·c1,端から·c1,あ,7,8
natural,ぼかし·c1,端から·c1,か,0,6
natural,ぼかし·c1,端から·c1,が,0,2
natural,ぼかし·c1,端から·c1,し,3,6
natural,ぼかし·c1,端から·c1,つ,4,5
natural,ぼかし·c1,端から·c1,ぱ,1,9
natural,ぼかし·c1,端から·c1,ま,4,5
natural,ぼかし·c1,端から·c1,ら,5,8
natural,ぼかし·c2,ぼかし·c3,あ,1,5
natural,ぼかし·c2,ぼかし·c3,か,2,8
natural,ぼかし·c2,ぼかし·c3,が,5,5
natural,ぼかし·c2,ぼかし·c3,し,13,13
natural,ぼかし·c2,ぼかし·c3,つ,5,5
natural,ぼかし·c2,ぼかし·c3,ぱ,3,5
natural,ぼかし·c2,ぼかし·c3,ま,4,4
natural,ぼかし·c2,ぼかし·c3,ら,7,7
natural,ぼかし·c2,ぼかし·c4,あ,8,8
