v1,v2,diff,ci_lo,ci_hi,separated
ぼかし·c1正答率,ぼかし·c2情報量,-0.599,-0.812,-0.439,1
ぼかし·c1正答率,ぼかし·c3正答率中点,-0.006,-0.193,0.189,0
ぼかし·c1正答率,ぼかし·c4情報量中点,-0.422,-0.629,-0.221,1
ぼかし·c1正答率,うすい·c1正答率,-0.51,-0.716,-0.331,1
ぼかし·c1正答率,うすい·c2情報量,-0.478,-0.701,-0.281,1
ぼかし·c1正答率,うすい·c3正答率中点,-0.251,-0.451,-0.077,1
ぼかし·c1正答率,うすい·c4情報量中点,-0.01,-0.204,0.199,0
ぼかし·c1正答率,点ふえ·c1正答率,0.174,-0.047,0.41,0
ぼかし·c1正答率,点ふえ·c2情報量,-0.836,-1.062,-0.666,1
ぼかし·c1正答率,点ふえ·c3正答率中点,0.444,0.258,0.662,1
ぼかし·c1正答率,点ふえ·c4情報量中点,-0.828,-1.036,-0.652,1
ぼかし·c1正答率,端から·c1正答率,-0.185,-0.391,0.001,0
ぼかし·c1正答率,端から·c2情報量,-0.102,-0.291,0.094,0
ぼかし·c1正答率,端から·c3正答率中点,-0.449,-0.653,-0.265,1
ぼかし·c1正答率,端から·c4情報量中点,-0.39,-0.606,-0.201,1
ぼかし·c2情報量,ぼかし·c3正答率中点,0.593,0.384,0.836,1
ぼかし·c2情報量,ぼかし·c4情報量中点,0.176,-0.011,0.371,0
ぼかし·c2情報量,うすい·c1正答率,0.089,-0.089,0.265,0
ぼかし·c2情報量,うすい·c2情報量,0.121,-0.096,0.351,0
ぼかし·c2情報量,うすい·c3正答率中点,0.347,0.158,0.546,1
ぼかし·c2情報量,うすい·c4情報量中点,0.588,0.379,0.839,1
ぼかし·c2情報量,点ふえ·c1正答率,0.773,0.583,1.005,1
ぼかし·c2情報量,点ふえ·c2情報量,-0.237,-0.442,-0.05,1
ぼかし·c2情報量,点ふえ·c3正答率中点,1.042,0.847,1.288,1
ぼかし·c2情報量,点ふえ·c4情報量中点,-0.229,-0.432,-0.021,1
ぼかし·c2情報量,端から·c1正答率,0.414,0.223,0.634,1
ぼかし·c2情報量,端から·c2情報量,0.496,0.317,0.698,1
ぼかし·c2情報量,端から·c3正答率中点,0.15,-0.028,0.356,0
ぼかし·c2情報量,端から·c4情報量中点,0.209,0.016,0.411,1
ぼかし·c3正答率中点,ぼかし·c4情報量中点,-0.417,-0.64,-0.231,1
ぼかし·c3正答率中点,うすい·c1正答率,-0.504,-0.753,-0.317,1
ぼかし·c3正答率中点,うすい·c2情報量,-0.472,-0.702,-0.29,1
ぼかし·c3正答率中点,うすい·c3正答率中点,-0.246,-0.481,-0.035,1
ぼかし·c3正答率中点,うすい·c4情報量中点,-0.005,-0.195,0.18,0
ぼかし·c3正答率中点,点ふえ·c1正答率,0.18,-0.05,0.409,0
ぼかし·c3正答率中点,点ふえ·c2情報量,-0.83,-1.035,-0.682,1
ぼかし·c3正答率中点,点ふえ·c3正答率中点,0.449,0.189,0.719,1
ぼかし·c3正答率中点,点ふえ·c4情報量中点,-0.822,-1.033,-0.644,1
ぼかし·c3正答率中点,端から·c1正答率,-0.179,-0.387,-0.004,1
ぼかし·c3正答率中点,端から·c2情報量,-0.096,-0.309,0.086,0
ぼかし·c3正答率中点,端から·c3正答率中点,-0.443,-0.654,-0.239,1
ぼかし·c3正答率中点,端から·c4情報量中点,-0.384,-0.604,-0.193,1
ぼかし·c4情報量中点,うすい·c1正答率,-0.088,-0.292,0.112,0
ぼかし·c4情報量中点,うすい·c2情報量,-0.056,-0.261,0.147,0
ぼかし·c4情報量中点,うすい·c3正答率中点,0.171,-0.02,0.377,0
ぼかし·c4情報量中点,うすい·c4情報量中点,0.412,0.183,0.65,1
ぼかし·c4情報量中点,点ふえ·c1正答率,0.597,0.404,0.827,1
ぼかし·c4情報量中点,点ふえ·c2情報量,-0.414,-0.63,-0.224,1
ぼかし·c4情報量中点,点ふえ·c3正答率中点,0.866,0.66,1.108,1
ぼかし·c4情報量中点,点ふえ·c4情報量中点,-0.405,-0.617,-0.202,1
ぼかし·c4情報量中点,端から·c1正答率,0.238,0.027,0.452,1
ぼかし·c4情報量中点,端から·c2情報量,0.32,0.115,0.516,1
ぼかし·c4情報量中点,端から·c3正答率中点,-0.026,-0.202,0.148,0
ぼかし·c4情報量中点,端から·c4情報量中点,0.033,-0.199,0.246,0
うすい·c1正答率,うすい·c2情報量,0.032,-0.174,0.256,0
うすい·c1正答率,うすい·c3正答率中点,0.259,0.076,0.469,1
うすい·c1正答率,うすい·c4情報量中点,0.499,0.306,0.744,1
うすい·c1正答率,点ふえ·c1正答率,0.684,0.499,0.931,1
うすい·c1正答率,点ふえ·c2情報量,-0.326,-0.545,-0.115,1
うすい·c1正答率,点ふえ·c3正答率中点,0.954,0.757,1.202,1
うすい·c1正答率,点ふえ·c4情報量中点,-0.318,-0.52,-0.118,1
うすい·c1正答率,端から·c1正答率,0.325,0.101,0.581,1
うすい·c1正答率,端から·c2情報量,0.408,0.213,0.614,1
うすい·c1正答率,端から·c3正答率中点,0.061,-0.137,0.261,0
うすい·c1正答率,端から·c4情報量中点,0.12,-0.072,0.341,0
うすい·c2情報量,うすい·c3正答率中点,0.227,0.025,0.446,1
うすい·c2情報量,うすい·c4情報量中点,0.468,0.291,0.68,1
うすい·c2情報量,点ふえ·c1正答率,0.652,0.469,0.854,1
うすい·c2情報量,点ふえ·c2情報量,-0.358,-0.597,-0.152,1
うすい·c2情報量,点ふえ·c3正答率中点,0.922,0.697,1.175,1
うすい·c2情報量,点ふえ·c4情報量中点,-0.35,-0.582,-0.148,1
うすい·c2情報量,端から·c1正答率,0.293,0.077,0.513,1
うすい·c2情報量,端から·c2情報量,0.376,0.152,0.616,1
うすい·c2情報量,端から·c3正答率中点,0.029,-0.181,0.24,0
うすい·c2情報量,端から·c4情報量中点,0.088,-0.114,0.266,0
うすい·c3正答率中点,うすい·c4情報量中点,0.241,0.044,0.455,1
うすい·c3正答率中点,点ふえ·c1正答率,0.425,0.207,0.653,1
うすい·c3正答率中点,点ふえ·c2情報量,-0.585,-0.798,-0.385,1
うすい·c3正答率中点,点ふえ·c3正答率中点,0.695,0.477,0.945,1
うすい·c3正答率中点,点ふえ·c4情報量中点,-0.576,-0.787,-0.398,1
うすい·c3正答率中点,端から·c1正答率,0.067,-0.135,0.265,0
うすい·c3正答率中点,端から·c2情報量,0.149,-0.053,0.368,0
うすい·c3正答率中点,端から·c3正答率中点,-0.197,-0.411,0.02,0
うすい·c3正答率中点,端から·c4情報量中点,-0.139,-0.36,0.071,0
うすい·c4情報量中点,点ふえ·c1正答率,0.185,-0.016,0.374,0
うすい·c4情報量中点,点ふえ·c2情報量,-0.825,-1.063,-0.633,1
うすい·c4情報量中点,点ふえ·c3正答率中点,0.454,0.236,0.68,1
うすい·c4情報量中点,点ふえ·c4情報量中点,-0.817,-1.077,-0.599,1
うすい·c4情報量中点,端から·c1正答率,-0.174,-0.401,0.032,0
うすい·c4情報量中点,端から·c2情報量,-0.092,-0.329,0.119,0
うすい·c4情報量中点,端から·c3正答率中点,-0.438,-0.674,-0.225,1
うすい·c4情報量中点,端から·c4情報量中点,-0.379,-0.61,-0.17,1
点ふえ·c1正答率,点ふえ·c2情報量,-1.01,-1.277,-0.803,1
点ふえ·c1正答率,点ふえ·c3正答率中点,0.269,0.029,0.506,1
点ふえ·c1正答率,点ふえ·c4情報量中点,-1.002,-1.271,-0.782,1
点ふえ·c1正答率,端から·c1正答率,-0.359,-0.592,-0.135,1
点ふえ·c1正答率,端から·c2情報量,-0.276,-0.5,-0.067,1
点ふえ·c1正答率,端から·c3正答率中点,-0.623,-0.853,-0.407,1
点ふえ·c1正答率,端から·c4情報量中点,-0.564,-0.771,-0.377,1
点ふえ·c2情報量,点ふえ·c3正答率中点,1.28,1.087,1.541,1
点ふえ·c2情報量,点ふえ·c4情報量中点,0.008,-0.215,0.227,0
点ふえ·c2情報量,端から·c1正答率,0.651,0.45,0.889,1
点ふえ·c2情報量,端から·c2情報量,0.734,0.53,0.96,1
点ふえ·c2情報量,端から·c3正答率中点,0.387,0.21,0.586,1
点ふえ·c2情報量,端から·c4情報量中点,0.446,0.267,0.651,1
点ふえ·c3正答率中点,点ふえ·c4情報量中点,-1.271,-1.562,-1.065,1
点ふえ·c3正答率中点,端から·c1正答率,-0.628,-0.878,-0.435,1
点ふえ·c3正答率中点,端から·c2情報量,-0.546,-0.785,-0.355,1
点ふえ·c3正答率中点,端から·c3正答率中点,-0.892,-1.151,-0.672,1
点ふえ·c3正答率中点,端から·c4情報量中点,-0.833,-1.09,-0.616,1
点ふえ·c4情報量中点,端から·c1正答率,0.643,0.438,0.868,1
点ふえ·c4情報量中点,端から·c2情報量,0.725,0.527,0.95,1
点ふえ·c4情報量中点,端から·c3正答率中点,0.379,0.179,0.6,1
点ふえ·c4情報量中点,端から·c4情報量中点,0.438,0.242,0.665,1
端から·c1正答率,端から·c2情報量,0.083,-0.085,0.268,0
端から·c1正答率,端から·c3正答率中点,-0.264,-0.482,-0.051,1
端から·c1正答率,端から·c4情報量中点,-0.205,-0.409,-0.002,1
端から·c2情報量,端から·c3正答率中点,-0.346,-0.54,-0.16,1
端から·c2情報量,端から·c4情報量中点,-0.288,-0.49,-0.101,1
端から·c3正答率中点,端から·c4情報量中点,0.059,-0.139,0.244,0
