variant,score,ci_lo,ci_hi
点ふえ·c2情報量,0.534,0.412,0.703
点ふえ·c4情報量中点,0.502,0.366,0.681
ぼかし·c2情報量,0.24,0.1,0.378
うすい·c2情報量,0.22,0.076,0.37
端から·c3正答率中点,0.177,0.036,0.327
うすい·c1正答率,0.165,0.027,0.322
ぼかし·c4情報量中点,0.158,0.033,0.3
端から·c4情報量中点,0.105,-0.036,0.243
うすい·c3正答率中点,0.005,-0.14,0.143
端から·c2情報量,-0.07,-0.21,0.067
端から·c1正答率,-0.078,-0.235,0.068
うすい·c4情報量中点,-0.239,-0.399,-0.097
ぼかし·c1正答率,-0.255,-0.404,-0.126
ぼかし·c3正答率中点,-0.282,-0.429,-0.154
点ふえ·c1正答率,-0.443,-0.628,-0.297
点ふえ·c3正答率中点,-0.741,-0.93,-0.6
