variant,score,ci_lo,ci_hi
点ふえ·c2情報量,0.558,0.433,0.713
点ふえ·c4情報量中点,0.55,0.42,0.722
ぼかし·c2情報量,0.321,0.198,0.464
うすい·c1正答率,0.232,0.102,0.383
うすい·c2情報量,0.2,0.055,0.362
端から·c3正答率中点,0.171,0.039,0.31
ぼかし·c4情報量中点,0.144,0.003,0.28
端から·c4情報量中点,0.112,-0.019,0.264
うすい·c3正答率中点,-0.027,-0.166,0.118
端から·c1正答率,-0.093,-0.24,0.057
端から·c2情報量,-0.176,-0.314,-0.04
うすい·c4情報量中点,-0.267,-0.432,-0.116
ぼかし·c3正答率中点,-0.272,-0.427,-0.148
ぼかし·c1正答率,-0.278,-0.417,-0.15
点ふえ·c1正答率,-0.452,-0.621,-0.307
点ふえ·c3正答率中点,-0.722,-0.899,-0.577
