modality,char,level,n_correct,n_trials,accuracy
視覚,あ,3.0,2,2,1.0
視覚,あ,6.0,1,2,0.5
視覚,あ,13.0,2,2,1.0
視覚,あ,22.0,1,1,1.0
視覚,あ,34.0,2,2,1.0
視覚,あ,50.0,1,2,0.5
視覚,あ,55.5,48,60,0.8
視覚,あ,70.0,2,2,1.0
視覚,あ,100.0,2,2,1.0
視覚,か,3.0,0,2,0.0
視覚,か,6.0,2,2,1.0
視覚,か,13.0,4,4,1.0
視覚,か,22.0,3,3,1.0
視覚,か,34.0,3,3,1.0
視覚,か,50.0,3,3,1.0
視覚,か,70.0,3,3,1.0
視覚,か,100.0,2,2,1.0
視覚,が,3.0,0,1,0.0
視覚,が,6.0,1,1,1.0
視覚,が,13.0,2,2,1.0
視覚,が,22.0,2,2,1.0
視覚,が,34.0,2,2,1.0
視覚,が,50.0,2,2,1.0
視覚,が,70.0,2,2,1.0
視覚,が,100.0,2,2,1.0
視覚,し,3.0,0,1,0.0
視覚,し,6.0,1,1,1.0
視覚,し,13.0,1,1,1.0
視覚,し,22.0,1,1,1.0
視覚,し,34.0,2,2,1.0
視覚,し,50.0,2,2,1.0
視覚,し,70.0,2,2,1.0
視覚,し,100.0,1,1,1.0
視覚,つ,3.0,1,2,0.5
視覚,つ,6.0,4,4,1.0
視覚,つ,13.0,3,3,1.0
視覚,つ,22.0,2,2,1.0
視覚,つ,34.0,4,4,1.0
視覚,つ,50.0,2,2,1.0
視覚,つ,70.0,4,4,1.0
視覚,つ,100.0,3,3,1.0
視覚,ぱ,3.0,2,2,1.0
視覚,ぱ,6.0,1,1,1.0
視覚,ぱ,13.0,2,2,1.0
視覚,ぱ,22.0,1,1,1.0
視覚,ぱ,34.0,1,1,1.0
視覚,ぱ,50.0,2,2,1.0
視覚,ぱ,70.0,1,1,1.0
視覚,ぱ,100.0,1,1,1.0
視覚,ま,3.0,1,1,1.0
視覚,ま,6.0,2,2,1.0
視覚,ま,13.0,1,1,1.0
視覚,ま,22.0,2,2,1.0
視覚,ま,34.0,1,1,1.0
視覚,ま,50.0,1,1,1.0
視覚,ま,70.0,2,2,1.0
視覚,ま,100.0,2,2,1.0
視覚,ら,3.0,1,2,0.5
視覚,ら,6.0,1,1,1.0
視覚,ら,13.0,1,1,1.0
視覚,ら,22.0,1,1,1.0
視覚,ら,34.0,1,1,1.0
視覚,ら,50.0,1,1,1.0
視覚,ら,70.0,2,2,1.0
視覚,ら,100.0,1,1,1.0
