ts,phase,participant_id,worker_id,group,assign_index,is_test,counter_n
1787308510663,calib,curltest-mt2tc8s9-calib-0,w-curltest-mt2tc8s9-calib-0,acal,0,TRUE,1
1787308510976,calib,curltest-mt2tc8s9-calib-1,w-curltest-mt2tc8s9-calib-1,aprime,0,TRUE,2
1787359497284,calib,curltest-mt3np27e-calib-0,w-curltest-mt3np27e-calib-0,acal,0,TRUE,1
1787359497580,calib,curltest-mt3np27e-calib-1,w-curltest-mt3np27e-calib-1,aprime,0,TRUE,2
1787308511266,calib,curltest-mt2tc8s9-calib-2,w-curltest-mt2tc8s9-calib-2,acal,1,TRUE,3
1787308511502,calib,curltest-mt2tc8s9-calib-3,w-curltest-mt2tc8s9-calib-3,aprime,1,TRUE,4
1787359497798,calib,curltest-mt3np27e-calib-2,w-curltest-mt3np27e-calib-2,acal,1,TRUE,3
1787359498034,calib,curltest-mt3np27e-calib-3,w-curltest-mt3np27e-calib-3,aprime,1,TRUE,4
1787308511722,calib,curltest-mt2tc8s9-calib-4,w-curltest-mt2tc8s9-calib-4,acal,2,TRUE,5
1787308511914,calib,curltest-mt2tc8s9-calib-5,w-curltest-mt2tc8s9-calib-5,aprime,2,TRUE,6
1787359498280,calib,curltest-mt3np27e-calib-4,w-curltest-mt3np27e-calib-4,acal,2,TRUE,5
1787359498467,calib,curltest-mt3np27e-calib-5,w-curltest-mt3np27e-calib-5,aprime,2,TRUE,6
1787308512105,calib,curltest-mt2tc8s9-calib-6,w-curltest-mt2tc8s9-calib-6,acal,3,TRUE,7
1787308512263,calib,curltest-mt2tc8s9-calib-7,w-curltest-mt2tc8s9-calib-7,aprime,3,TRUE,8
1787359498696,calib,curltest-mt3np27e-calib-6,w-curltest-mt3np27e-calib-6,acal,3,TRUE,7
1787359498909,calib,curltest-mt3np27e-calib-7,w-curltest-mt3np27e-calib-7,aprime,3,TRUE,8
1787308512474,calib,curltest-mt2tc8s9-calib-8,w-curltest-mt2tc8s9-calib-8,acal,4,TRUE,9
1787308512632,calib,curltest-mt2tc8s9-calib-9,w-curltest-mt2tc8s9-calib-9,aprime,4,TRUE,10
1787359499000,calib,curltest-mt3np27e-calib-8,w-curltest-mt3np27e-calib-8,acal,4,TRUE,9
1787359499182,calib,curltest-mt3np27e-calib-9,w-curltest-mt3np27e-calib-9,aprime,4,TRUE,10
1787308512808,calib,curltest-mt2tc8s9-calib-10,w-curltest-mt2tc8s9-calib-10,acal,5,TRUE,11
1787308512956,calib,curltest-mt2tc8s9-calib-11,w-curltest-mt2tc8s9-calib-11,aprime,5,TRUE,12
1787359499298,calib,curltest-mt3np27e-calib-10,w-curltest-mt3np27e-calib-10,acal,5,TRUE,11
1787359499435,calib,curltest-mt3np27e-calib-11,w-curltest-mt3np27e-calib-11,aprime,5,TRUE,12
1787308513210,calib,curltest-mt2tc8s9-calib-12,w-curltest-mt2tc8s9-calib-12,acal,6,TRUE,13
1787308513424,calib,curltest-mt2tc8s9-calib-13,w-curltest-mt2tc8s9-calib-13,aprime,6,TRUE,14
1787359499606,calib,curltest-mt3np27e-calib-12,w-curltest-mt3np27e-calib-12,acal,6,TRUE,13
1787359499805,calib,curltest-mt3np27e-calib-13,w-curltest-mt3np27e-calib-13,aprime,6,TRUE,14
1787308513591,calib,curltest-mt2tc8s9-calib-14,w-curltest-mt2tc8s9-calib-14,acal,7,TRUE,15
1787308513775,calib,curltest-mt2tc8s9-calib-15,w-curltest-mt2tc8s9-calib-15,aprime,7,TRUE,16
1787359499905,calib,curltest-mt3np27e-calib-14,w-curltest-mt3np27e-calib-14,acal,7,TRUE,15
1787359500066,calib,curltest-mt3np27e-calib-15,w-curltest-mt3np27e-calib-15,aprime,7,TRUE,16
1787308513999,calib,curltest-mt2tc8s9-calib-16,w-curltest-mt2tc8s9-calib-16,acal,8,TRUE,17
1787308514667,calib,curltest-mt2tc8s9-dup-a,w-curltest-mt2tc8s9-dup-a,aprime,8,TRUE,18
1787359500213,calib,curltest-mt3np27e-calib-16,w-curltest-mt3np27e-calib-16,acal,8,TRUE,17
1787359500734,calib,curltest-mt3np27e-dup-a,w-curltest-mt3np27e-dup-a,aprime,8,TRUE,18
