modality,char,level,n_correct,n_trials,accuracy
聴覚,あ,20.0,1,1,1.0
聴覚,あ,40.0,1,1,1.0
聴覚,あ,60.0,1,1,1.0
聴覚,あ,80.0,1,1,1.0
聴覚,あ,110.0,1,1,1.0
聴覚,あ,150.0,1,1,1.0
聴覚,あ,220.0,1,1,1.0
聴覚,か,20.0,0,1,0.0
聴覚,か,40.0,1,1,1.0
聴覚,か,60.0,1,1,1.0
聴覚,か,80.0,1,1,1.0
聴覚,か,110.0,1,1,1.0
聴覚,か,150.0,1,1,1.0
聴覚,か,220.0,1,1,1.0
聴覚,が,20.0,1,1,1.0
聴覚,が,40.0,1,1,1.0
聴覚,が,60.0,1,1,1.0
聴覚,が,80.0,1,1,1.0
聴覚,が,110.0,1,1,1.0
聴覚,が,150.0,1,1,1.0
聴覚,が,220.0,1,1,1.0
聴覚,し,20.0,0,1,0.0
聴覚,し,40.0,1,1,1.0
聴覚,し,60.0,1,1,1.0
聴覚,し,80.0,1,1,1.0
聴覚,し,110.0,1,1,1.0
聴覚,し,150.0,1,1,1.0
聴覚,し,220.0,1,1,1.0
聴覚,つ,20.0,0,1,0.0
聴覚,つ,40.0,0,1,0.0
聴覚,つ,60.0,1,1,1.0
聴覚,つ,80.0,1,1,1.0
聴覚,つ,110.0,1,1,1.0
聴覚,つ,150.0,1,1,1.0
聴覚,つ,220.0,1,1,1.0
聴覚,ぱ,20.0,0,1,0.0
聴覚,ぱ,40.0,1,1,1.0
聴覚,ぱ,60.0,1,1,1.0
聴覚,ぱ,80.0,1,1,1.0
聴覚,ぱ,110.0,1,1,1.0
聴覚,ぱ,150.0,1,1,1.0
聴覚,ぱ,220.0,1,1,1.0
聴覚,ま,20.0,0,1,0.0
聴覚,ま,40.0,1,1,1.0
聴覚,ま,60.0,1,1,1.0
聴覚,ま,80.0,1,1,1.0
聴覚,ま,110.0,1,1,1.0
聴覚,ま,150.0,1,1,1.0
聴覚,ま,220.0,1,1,1.0
聴覚,ら,20.0,0,1,0.0
聴覚,ら,40.0,0,1,0.0
聴覚,ら,60.0,0,1,0.0
聴覚,ら,80.0,0,1,0.0
聴覚,ら,110.0,1,1,1.0
聴覚,ら,150.0,1,1,1.0
聴覚,ら,220.0,1,1,1.0
視覚,あ,6.0,0,1,0.0
視覚,あ,13.0,1,1,1.0
視覚,あ,22.0,1,1,1.0
視覚,あ,34.0,1,1,1.0
視覚,あ,50.0,1,1,1.0
視覚,あ,70.0,1,1,1.0
視覚,あ,100.0,1,1,1.0
視覚,か,6.0,0,1,0.0
視覚,か,13.0,0,1,0.0
視覚,か,22.0,0,1,0.0
視覚,か,34.0,0,1,0.0
視覚,か,50.0,1,1,1.0
視覚,か,70.0,0,1,0.0
視覚,か,100.0,1,1,1.0
視覚,が,6.0,2,2,1.0
視覚,が,13.0,2,2,1.0
視覚,が,22.0,2,2,1.0
視覚,が,34.0,2,2,1.0
視覚,が,50.0,2,2,1.0
視覚,が,70.0,2,2,1.0
視覚,が,100.0,2,2,1.0
視覚,し,6.0,1,1,1.0
視覚,し,13.0,1,1,1.0
視覚,し,22.0,1,1,1.0
視覚,し,34.0,1,1,1.0
視覚,し,50.0,1,1,1.0
視覚,し,70.0,1,1,1.0
視覚,し,100.0,1,1,1.0
視覚,つ,6.0,0,1,0.0
視覚,つ,13.0,0,1,0.0
視覚,つ,22.0,0,1,0.0
視覚,つ,34.0,0,1,0.0
視覚,つ,50.0,1,1,1.0
視覚,つ,70.0,1,1,1.0
視覚,つ,100.0,1,1,1.0
視覚,ぱ,6.0,1,1,1.0
視覚,ぱ,13.0,1,1,1.0
視覚,ぱ,22.0,1,1,1.0
視覚,ぱ,34.0,1,1,1.0
視覚,ぱ,50.0,1,1,1.0
視覚,ぱ,70.0,1,1,1.0
視覚,ぱ,100.0,1,1,1.0
視覚,ま,6.0,2,2,1.0
視覚,ま,13.0,2,2,1.0
視覚,ま,22.0,2,2,1.0
視覚,ま,34.0,2,2,1.0
視覚,ま,50.0,2,2,1.0
視覚,ま,70.0,2,2,1.0
視覚,ま,100.0,2,2,1.0
視覚,ら,6.0,1,1,1.0
視覚,ら,13.0,1,1,1.0
視覚,ら,22.0,1,1,1.0
視覚,ら,34.0,1,1,1.0
視覚,ら,50.0,1,1,1.0
視覚,ら,70.0,1,1,1.0
視覚,ら,100.0,1,1,1.0
