p,ti,tgt,resp,ok,fam,gate,pct,fil,chk,rt,base,acts
A,1,れ,れ,1,,60,,1,,1804,,
A,2,ゆ,い,0,,60,,1,,1441,,
A,3,ぱ,ぱ,1,,80,,0,,1920,,
A,4,が,が,1,,150,,0,,1905,,
A,5,げ,け,0,,40,,1,,1353,,
A,6,か,か,1,,150,,0,,1306,,
A,7,し,す,0,,20,,0,,2614,,
A,8,ざ,ざ,1,,220,,1,,1621,,
A,9,ぬ,う,0,,20,,1,,1650,,
A,10,し,し,1,,150,,0,,1338,,
A,11,が,が,1,,80,,0,,1593,,
A,12,ら,ら,1,,,,0,full,1499,,
A,13,そ,ふ,0,,20,,1,,2416,,
A,14,が,が,1,,40,,0,,1787,,
A,15,わ,わ,1,,40,,1,,2014,,
A,16,ね,ね,1,,110,,1,,1562,,
A,17,ら,な,0,,80,,0,,1398,,
A,18,こ,こ,1,,40,,1,,1457,,
A,19,ま,ま,1,,40,,0,,1623,,
A,20,つ,つ,1,,220,,0,,1260,,
A,21,え,え,1,,220,,1,,1486,,
A,22,ら,な,0,,40,,0,,1456,,
A,23,あ,あ,1,,40,,0,,1338,,
A,24,も,お,0,,150,,1,,6362,,
A,25,ら,ら,1,,110,,0,,1952,,
A,26,か,ぱ,0,,20,,0,,2074,,
A,27,し,し,1,,80,,0,,1039,,
A,28,が,が,1,,110,,0,,1817,,
A,29,つ,つ,1,,60,,0,,1458,,
A,30,ま,ま,1,,80,,0,,1323,,
A,31,か,か,1,,40,,0,,1773,,
A,32,ね,ほ,0,,20,,1,,2446,,
A,33,が,が,1,,60,,0,,1548,,
A,34,つ,つ,1,,20,,0,floor,2058,,
A,35,な,な,1,,110,,1,,1412,,
A,36,あ,あ,1,,20,,0,floor,1322,,
A,37,か,か,1,,80,,0,,1204,,
A,38,ぱ,ぱ,1,,60,,0,,1591,,
A,39,か,か,1,,110,,0,,1489,,
A,40,し,し,1,,20,,0,floor,1876,,
A,41,え,え,1,,80,,1,,1396,,
A,42,が,が,1,,220,,0,,2267,,
A,43,ぱ,ぱ,1,,150,,0,,1593,,
A,44,ら,な,0,,60,,0,,1338,,
A,45,が,が,1,,,,0,full,1471,,
A,46,あ,あ,1,,60,,0,,1697,,
A,47,が,が,1,,20,,0,floor,2044,,
A,48,ら,ら,1,,,,0,full,1743,,
A,49,る,う,0,,40,,1,,2027,,
A,50,し,し,1,,110,,0,,2823,,
A,51,つ,つ,1,,80,,0,,1380,,
A,52,し,し,1,,60,,0,,1098,,
A,53,ま,ま,1,,60,,0,,1215,,
A,54,け,き,0,,40,,1,,1578,,
A,55,ら,ほ,0,,20,,0,,1774,,
A,56,ら,ら,1,,150,,0,,1622,,
A,57,ま,ま,1,,110,,0,,1443,,
A,58,へ,へ,1,,150,,1,,1324,,
A,59,か,か,1,,60,,0,,1335,,
A,60,ぱ,ぱ,1,,220,,0,,1577,,
A,61,ぱ,ぱ,1,,110,,0,,1354,,
A,62,ぎ,ぎ,1,,220,,1,,1787,,
A,63,と,ど,0,,80,,1,,2432,,
A,64,ぱ,ぷ,0,,20,,0,,3197,,
A,65,が,が,1,,20,,0,,1548,,
A,66,つ,ち,0,,40,,0,,1922,,
A,67,ま,ふ,0,,20,,0,,2553,,
A,68,ら,ら,1,,,,0,full,1620,,
A,69,き,き,1,,150,,1,,1294,,
A,70,ら,ら,1,,220,,0,,1653,,
A,71,ろ,ろ,1,,60,,1,,1519,,
A,72,し,し,1,,40,,0,,2043,,
A,73,あ,あ,1,,110,,0,,1245,,
A,74,ん,ん,1,,60,,1,,1877,,
A,75,ぱ,ぱ,1,,40,,0,,1624,,
A,76,あ,あ,1,,80,,0,,1501,,
A,77,つ,ち,0,,20,,0,,1967,,
A,78,あ,あ,1,,220,,0,,1216,,
A,79,ざ,い,0,,20,,1,,1399,,
A,80,そ,す,0,,80,,1,,1757,,
A,81,ま,ま,1,,150,,0,,1324,,
A,82,ま,ま,1,,220,,0,,1321,,
A,83,か,か,1,,220,,0,,1426,,
A,84,が,が,1,,20,,0,floor,1892,,
A,85,あ,あ,1,,150,,0,,1278,,
A,86,か,か,1,,,,0,full,1263,,
A,87,と,と,1,,220,,1,,1308,,
A,88,し,し,1,,220,,0,,1321,,
A,89,ほ,ほ,1,,150,,1,,1564,,
A,90,あ,あ,1,,20,,0,,1264,,
A,91,は,は,1,,110,,1,,1202,,
A,92,つ,つ,1,,150,,0,,1235,,
A,93,で,で,1,,220,,1,,2495,,
A,94,つ,つ,1,,110,,0,,1287,,
B,1,あ,あ,1,blur,,50,0,,1032,600,0.488
B,2,り,り,1,fade,,50,1,,1261,600,0.489
B,3,へ,へ,1,reveal,,70,1,,1966,600,0.689
B,4,か,か,1,wipe,,100,0,,1337,600,1
B,5,が,が,1,fade,,6,0,,1413,1000,0.053
B,6,が,が,1,fade,,34,0,,1225,600,0.335
B,7,ら,ら,1,reveal,,13,0,,1463,600,0.111
