設問番号,作業者ID,課題URL
1,y2hw2y,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=y2hw2y
2,9yfkkt,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=9yfkkt
3,rkts8x,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=rkts8x
4,t9njtq,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=t9njtq
5,z7g96d,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=z7g96d
6,57g9uy,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=57g9uy
7,x9wkwy,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=x9wkwy
8,cjfpsb,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=cjfpsb
9,k8w97t,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=k8w97t
10,qens6g,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=qens6g
11,fyc3mq,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=fyc3mq
12,6uytqp,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=6uytqp
13,uud9ca,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=uud9ca
14,s5739w,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=s5739w
15,nv2zb7,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=nv2zb7
16,vtssme,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=vtssme
17,zetdwd,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=zetdwd
18,rvbvwq,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=rvbvwq
19,8u6z9g,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=8u6z9g
20,qehqyb,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=qehqyb
21,nr4j76,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=nr4j76
22,cawtt5,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=cawtt5
23,hdp7bb,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=hdp7bb
24,zcmfhk,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=zcmfhk
25,jpbdsq,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=jpbdsq
26,9r4rh7,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=9r4rh7
27,nfwfvt,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=nfwfvt
28,tux72c,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=tux72c
29,tnzfhv,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=tnzfhv
30,5h8wrj,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=5h8wrj
31,kdktuf,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=kdktuf
32,6vxbqn,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=6vxbqn
33,u5ccq3,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=u5ccq3
34,zrh2fq,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=zrh2fq
35,hzh2hv,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=hzh2hv
36,hjuyhj,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=hjuyhj
37,df5d39,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=df5d39
38,tjdrsh,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=tjdrsh
39,mzmggc,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=mzmggc
40,y9pqy2,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=y9pqy2
41,wympgv,https://kana-task.web.app/transfer_calib2.html?prod=1&wid=wympgv
