設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F03用)	F01:ラベル	F02:ラベル	F03:テキストエリア	F04:ラベル
1	0			メールでお送りしたコード1を入力してください		
chk01	1	114516088688		メールでお送りしたコード2を入力してください		
chk02	1	114516088688		メールでお送りしたコード2を入力してください		
chk03	1	114516088688		メールでお送りしたコード2を入力してください		
chk04	1	114516088688		メールでお送りしたコード2を入力してください		
chk05	1	114516088688		メールでお送りしたコード2を入力してください		
chk06	1	114516088688		メールでお送りしたコード2を入力してください		
chk07	1	114516088688		メールでお送りしたコード2を入力してください		
chk08	1	114516088688		メールでお送りしたコード2を入力してください		
chk09	1	114516088688		メールでお送りしたコード2を入力してください		
chk10	1	114516088688		メールでお送りしたコード2を入力してください		
