設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F05用)	F01:ラベル	F02:ラベル	F03:リンクボタン（ＵＲＬ）	F04:ラベル	F05:テキストエリア
d6evm8	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=d6evm8	課題の最後に表示される「完了コード」を入力してください	
hnvgfs	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=hnvgfs	課題の最後に表示される「完了コード」を入力してください	
enpdkm	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=enpdkm	課題の最後に表示される「完了コード」を入力してください	
khyajh	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=khyajh	課題の最後に表示される「完了コード」を入力してください	
jvmdvv	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=jvmdvv	課題の最後に表示される「完了コード」を入力してください	
6jv2re	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=6jv2re	課題の最後に表示される「完了コード」を入力してください	
txmxwc	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=txmxwc	課題の最後に表示される「完了コード」を入力してください	
ew3cq5	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=ew3cq5	課題の最後に表示される「完了コード」を入力してください	
9n4zt9	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=9n4zt9	課題の最後に表示される「完了コード」を入力してください	
hhpuns	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=hhpuns	課題の最後に表示される「完了コード」を入力してください	
md46xh	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=md46xh	課題の最後に表示される「完了コード」を入力してください	
stk6um	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=stk6um	課題の最後に表示される「完了コード」を入力してください	
3g9wdb	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=3g9wdb	課題の最後に表示される「完了コード」を入力してください	
8rpmxx	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=8rpmxx	課題の最後に表示される「完了コード」を入力してください	
9t3hfx	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=9t3hfx	課題の最後に表示される「完了コード」を入力してください	
dcq47m	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=dcq47m	課題の最後に表示される「完了コード」を入力してください	
vjkgbz	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=vjkgbz	課題の最後に表示される「完了コード」を入力してください	
v6n32k	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=v6n32k	課題の最後に表示される「完了コード」を入力してください	
3m2syy	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=3m2syy	課題の最後に表示される「完了コード」を入力してください	
xbutfh	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=xbutfh	課題の最後に表示される「完了コード」を入力してください	
6tyhce	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_comfort.html?prod=1&wid=6tyhce	課題の最後に表示される「完了コード」を入力してください	
