設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F05用)	F01:ラベル	F02:ラベル	F03:リンクボタン（ＵＲＬ）	F04:ラベル	F05:テキストエリア
y2hw2y	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=y2hw2y	課題の最後に表示される「完了コード」を入力してください	
9yfkkt	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=9yfkkt	課題の最後に表示される「完了コード」を入力してください	
rkts8x	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=rkts8x	課題の最後に表示される「完了コード」を入力してください	
t9njtq	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=t9njtq	課題の最後に表示される「完了コード」を入力してください	
z7g96d	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=z7g96d	課題の最後に表示される「完了コード」を入力してください	
57g9uy	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=57g9uy	課題の最後に表示される「完了コード」を入力してください	
x9wkwy	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=x9wkwy	課題の最後に表示される「完了コード」を入力してください	
cjfpsb	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=cjfpsb	課題の最後に表示される「完了コード」を入力してください	
k8w97t	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=k8w97t	課題の最後に表示される「完了コード」を入力してください	
qens6g	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=qens6g	課題の最後に表示される「完了コード」を入力してください	
fyc3mq	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=fyc3mq	課題の最後に表示される「完了コード」を入力してください	
6uytqp	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=6uytqp	課題の最後に表示される「完了コード」を入力してください	
uud9ca	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=uud9ca	課題の最後に表示される「完了コード」を入力してください	
s5739w	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=s5739w	課題の最後に表示される「完了コード」を入力してください	
nv2zb7	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=nv2zb7	課題の最後に表示される「完了コード」を入力してください	
vtssme	0		ページを開き、課題を完了させてください。##最後に表示される「完了コード」を忘れずに書き留めてください。		https://kana-task.web.app/transfer_calib2.html?prod=1&wid=vtssme	課題の最後に表示される「完了コード」を入力してください	
